temperature_c,soc,ocv_v
15.0,0.6,3.8405766683764977
15.0,0.65,3.8895865929197564
15.0,0.7,3.947906398611185
15.0,0.75,3.994304457442833
15.0,0.8,4.04208000128121
15.0,0.85,4.0809117683286225
15.0,0.9,4.0966562143512535
15.0,0.95,4.123552853492773
15.0,0.98,4.164486103244692
25.0,0.6,3.8405766683764937
25.0,0.65,3.8895865929197604
25.0,0.7,3.9479063986111793
25.0,0.75,3.994304457442835
25.0,0.8,4.0420800012812155
25.0,0.85,4.080911768328623
25.0,0.9,4.09665621435125
25.0,0.95,4.123552853492766
25.0,0.98,4.164486103244703
30.0,0.6,3.8405766683765012
30.0,0.65,3.889586592919761
30.0,0.7,3.9479063986111793
30.0,0.75,3.9943044574428295
30.0,0.8,4.042080001281219
30.0,0.85,4.080911768328617
30.0,0.9,4.096656214351251
30.0,0.95,4.123552853492766
30.0,0.98,4.164486103244699
