trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason
phase6r_ic_0000,test,True,8,
phase6r_ic_0001,train,True,8,
phase6r_ic_0002,train,True,8,
phase6r_ic_0003,validation,True,8,
phase6r_ic_0004,train,True,8,
phase6r_ic_0005,validation,True,8,
phase6r_ic_0006,validation,True,8,
phase6r_ic_0007,train,True,8,
phase6r_ic_0008,train,True,8,
phase6r_ic_0009,train,True,8,
phase6r_ic_0010,validation,True,8,
phase6r_ic_0011,train,True,8,
phase6r_ic_0012,train,True,8,
phase6r_ic_0013,train,True,8,
phase6r_ic_0014,train,True,8,
phase6r_ic_0015,train,True,8,
phase6r_ic_0016,train,True,8,
phase6r_ic_0017,train,True,8,
phase6r_ic_0018,test,True,8,
phase6r_ic_0019,test,True,8,
phase6r_ic_0020,train,True,8,
phase6r_ic_0021,train,True,8,
phase6r_ic_0022,train,True,8,
phase6r_ic_0023,validation,True,8,
phase6r_ic_0024,train,True,8,
phase6r_ic_0025,train,True,8,
phase6r_ic_0026,train,True,8,
phase6r_ic_0027,train,True,8,
phase6r_ic_0028,train,True,8,
phase6r_ic_0029,train,True,8,
phase6r_ic_0030,test,True,8,
phase6r_ic_0031,train,True,8,
phase6r_ic_0032,test,True,8,
phase6r_ic_0033,train,True,8,
phase6r_ic_0034,train,True,8,
phase6r_ic_0035,train,True,8,
phase6r_ic_0036,validation,True,8,
phase6r_ic_0037,train,True,8,
phase6r_ic_0038,train,True,8,
phase6r_ic_0039,train,True,8,
phase6r_ic_0040,train,True,8,
phase6r_ic_0041,train,True,8,
phase6r_ic_0042,validation,True,8,
phase6r_ic_0043,train,True,8,
phase6r_ic_0044,train,True,8,
phase6r_ic_0045,validation,True,8,
phase6r_ic_0046,train,True,8,
phase6r_ic_0047,validation,True,8,
phase6r_ic_0048,test,True,8,
phase6r_ic_0049,train,True,8,
phase6r_ic_0050,train,True,8,
phase6r_ic_0051,train,True,8,
phase6r_ic_0052,train,True,8,
phase6r_ic_0053,train,True,8,
phase6r_ic_0054,train,True,8,
phase6r_ic_0055,validation,True,8,
phase6r_ic_0056,validation,True,8,
phase6r_ic_0057,train,True,8,
phase6r_ic_0058,train,True,8,
phase6r_ic_0059,validation,True,8,
phase6r_ic_0060,train,True,8,
phase6r_ic_0061,validation,True,8,
phase6r_ic_0062,train,True,8,
phase6r_ic_0063,train,True,8,
phase6r_ic_0064,test,True,8,
phase6r_ic_0065,test,True,8,
phase6r_ic_0066,test,True,8,
phase6r_ic_0067,test,True,8,
phase6r_ic_0068,train,True,8,
phase6r_ic_0069,train,True,8,
phase6r_ic_0070,validation,True,8,
phase6r_ic_0071,train,True,8,
