regularization_alpha,initialization_seed,validation_mae_a,validation_rmse_a,optimization_iterations,optimization_loss
0.0001,11,0.2007780324569229,0.42706879676203024,445,2.339112176420787e-05
0.0001,22,0.05190033818781111,0.13446864201669725,494,1.2357849726397091e-05
0.0001,33,0.07574716508629668,0.21320982836499722,353,1.3682378484305837e-05
0.0001,44,0.10171704000764448,0.21762432594019696,556,1.490265400631357e-05
0.0001,55,0.11407234095995934,0.24718958909989613,432,1.2731275013322539e-05
0.001,11,0.05263123715504498,0.10685419474386496,1303,5.709401933238143e-05
0.001,22,0.05868393892267428,0.127395087483705,840,6.822518115486923e-05
0.001,33,0.05273084208286381,0.10926170087027783,1130,5.702847159447253e-05
0.001,44,0.06212878634669831,0.14571452752947756,871,5.6458169246451374e-05
0.001,55,0.04315612593162234,0.09860641898055564,1232,5.34156241879114e-05
0.01,11,0.057946186740946155,0.13078513750674264,1113,0.0003686580738080316
0.01,22,0.05688356538950252,0.1266834739833345,1076,0.00037456831061975955
0.01,33,0.06021950449682848,0.1349626246096096,899,0.00037101131729845295
0.01,44,0.060026102933441634,0.13803522427472453,1930,0.0003679514767299548
0.01,55,0.06648117722475295,0.15088955315269598,1056,0.0003759904964152955
0.1,11,0.07966243295142879,0.17928372198359976,673,0.0032332579125659675
0.1,22,0.08022069575890255,0.17986780967837132,675,0.003234518030222585
0.1,33,0.07971371772900358,0.1785816164419972,610,0.0032352880549353868
0.1,44,0.08222115740301393,0.18342028731225138,776,0.0032312667805964148
0.1,55,0.08018136119338921,0.17954944882696242,699,0.003234485243926371
1.0,11,0.17022016794742195,0.35257483042384224,283,0.022684032269632705
1.0,22,0.13938555351052115,0.2863104957137216,345,0.022603058571510355
1.0,33,0.1702083413233355,0.35273464256553655,252,0.02268410693741069
1.0,44,0.13938908736301342,0.2862388434750318,375,0.02260271279451944
1.0,55,0.17021217835051444,0.35278606662972006,415,0.022684098238232715
