peak_current_a,switch_time_min,sustainable_current_a,source,reached_target_soc,final_soc,charge_time_min,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,safety_override_count,voltage_limit_exceeded,temperature_limit_exceeded,current_limit_exceeded,current_change_limit_exceeded,success
7.0,5.0,5.0,reduced_model,True,0.7995134612525823,52.083333333333336,4.14001,33.50001,7.0,2.0,0,False,False,False,False,True
8.0,3.0,5.0,reduced_model,True,0.7997066677185456,52.083333333333336,4.14000999999997,33.500009999999996,8.0,2.0,0,False,False,False,False,True
8.0,4.0,4.5,reduced_model,True,0.7995080387559579,52.083333333333336,4.140009999999992,33.500009999999996,8.0,2.0,0,False,False,False,False,True
7.0,4.0,5.0,reduced_model,True,0.8,52.166666666666664,4.140009999999957,33.500009999999996,7.0,2.0,0,False,False,False,False,True
7.0,5.0,4.5,reduced_model,True,0.8,52.166666666666664,4.140009999999997,33.50001,7.0,2.0,0,False,False,False,False,True
8.0,4.0,5.0,reduced_model,True,0.8,52.166666666666664,4.140009999999997,33.50001,8.0,2.0,0,False,False,False,False,True
9.0,2.0,5.0,reduced_model,True,0.7997999695922733,52.166666666666664,4.140009999999963,33.50001,9.0,2.0,0,False,False,False,False,True
9.0,3.0,4.5,reduced_model,True,0.7998450900587748,52.166666666666664,4.140009999999959,33.500009999999996,9.0,2.0,0,False,False,False,False,True
9.0,3.0,5.0,reduced_model,True,0.7999144126897589,52.166666666666664,4.14001,33.50001,9.0,2.0,0,False,False,False,False,True
7.0,3.0,5.0,reduced_model,True,0.7998722573204293,52.25,4.140009999999998,33.50001,7.0,2.0,0,False,False,False,False,True
7.0,4.0,4.5,reduced_model,True,0.7998662802348627,52.25,4.140009999999981,33.50001,7.0,2.0,0,False,False,False,False,True
8.0,2.0,5.0,reduced_model,True,0.7997736806797112,52.25,4.140009999999992,33.50001,8.0,2.0,0,False,False,False,False,True
8.0,3.0,4.5,reduced_model,True,0.8,52.25,4.1400099999999345,33.50001,8.0,2.0,0,False,False,False,False,True
7.0,2.0,5.0,reduced_model,True,0.799809261057348,52.416666666666664,4.140009999999998,33.50001,7.0,2.0,0,False,False,False,False,True
9.0,2.0,4.5,reduced_model,True,0.7998986066355529,52.416666666666664,4.140009999999999,33.50001,9.0,2.0,0,False,False,False,False,True
7.0,3.0,4.5,reduced_model,True,0.7998421003144409,52.5,4.140009999999977,33.50001,7.0,2.0,0,False,False,False,False,True
8.0,2.0,4.5,reduced_model,True,0.7997563665146064,52.583333333333336,4.140009999999953,33.50001,8.0,2.0,0,False,False,False,False,True
7.0,2.0,4.5,reduced_model,True,0.7997523091604659,52.833333333333336,4.140009999999968,33.50001,7.0,2.0,0,False,False,False,False,True
8.0,5.0,4.5,reduced_model,True,0.7999356097485113,52.25,4.140009999999996,33.50001,8.0,2.6401101531744624,2,False,False,False,True,False
8.0,5.0,5.0,reduced_model,True,0.7999356097485051,52.25,4.140009999999996,33.50001,8.0,2.6401101531744624,2,False,False,False,True,False
9.0,4.0,4.5,reduced_model,True,0.7998439971091226,52.333333333333336,4.1400099999999975,33.50001,9.0,5.357265581813408,1,False,False,False,True,False
9.0,4.0,5.0,reduced_model,True,0.7998439971091167,52.333333333333336,4.140009999999988,33.50001,9.0,5.357265581813408,1,False,False,False,True,False
9.0,5.0,4.5,reduced_model,True,0.7998439971090939,52.333333333333336,4.1400099999999584,33.50000999999997,9.0,5.357265581813408,1,False,False,False,True,False
9.0,5.0,5.0,reduced_model,True,0.7998439971090635,52.333333333333336,4.140009999999977,33.50001,9.0,5.357265581813408,1,False,False,False,True,False
