regularization_alpha,initialization_seed,validation_mae_a,validation_rmse_a,optimization_iterations,optimization_loss
0.0001,11,0.12481252355731196,0.26923138445501993,2154,8.901442235060895e-05
0.0001,22,0.14667413966671153,0.32968497817380055,2204,8.938897193675382e-05
0.0001,33,0.14028501049469597,0.3877492176990355,2425,7.000939550494711e-05
0.0001,44,0.1856965369397022,0.5867064272168201,3625,0.00011987830669962557
0.0001,55,0.08391823901279044,0.19424546310466004,2620,9.649131502049364e-05
0.001,11,0.1052182377584554,0.31683502281161147,3724,0.0002848572716619986
0.001,22,0.13657006456785414,0.2810449090499425,2683,0.0002862627306441449
0.001,33,0.1775261035192271,0.46308375941438645,2079,0.0002456114059469117
0.001,44,0.1800628310480264,0.36587014912937404,3268,0.0003851655918741904
0.001,55,0.15041689899469005,0.43303134920091535,3284,0.00026428183656313804
0.01,11,0.08839933580346646,0.20279382478575053,1979,0.0016342636255961293
0.01,22,0.1070358541086843,0.23004211972374675,3096,0.001477654984265292
0.01,33,0.09294503684817139,0.19721509946654167,3154,0.0014307468552166881
0.01,44,0.12001970287162106,0.28909750661017375,4055,0.0017835584019810326
0.01,55,0.14230469219094027,0.31132427111557587,2347,0.0015003847440244326
0.1,11,0.1147868411742603,0.21823903978169001,2717,0.009091817800929922
0.1,22,0.11703671350607261,0.22688269105234501,2505,0.009278029308065884
0.1,33,0.10982775003468687,0.22426725939046607,1134,0.009211697546003617
0.1,44,0.13891275072772394,0.25637007831306646,2266,0.010983175195754973
0.1,55,0.13025751226877338,0.24267223250246672,2237,0.009043700708462223
1.0,11,0.3119988369568025,0.4501468694869765,631,0.04626639869156228
1.0,22,0.2832605761643474,0.41183707944127085,835,0.044944804906299526
1.0,33,0.29490842615868235,0.43691061134636533,502,0.04662831427396554
1.0,44,0.283295721374648,0.4117581697230664,738,0.04494474845908063
1.0,55,0.3124791898011123,0.4505923639087376,498,0.046325974162756994
