time_s,charge_current_a,ann_unclipped_current_a,ann_requested_current_a,safety_filtered_current_a,safety_filter_intervened,safety_override,target_current_cap_active,ann_inference_time_s,soc,terminal_voltage_v,average_temperature_c,source,anchor_temperature_c
0.0,0.0,,,0.0,False,False,False,0.0,0.1,3.2959070147319616,15.0,chen2020_dfn,15.0
5.0,2.0,3.0899531182845434,3.0899531182845434,2.0,True,False,False,7.000000000000001e-05,0.10055555555555556,3.403988145973906,15.022398919134275,chen2020_dfn,15.0
10.0,2.5198586141412784,2.5198586141412784,2.5198586141412784,2.5198586141412784,False,False,False,8.350000000000001e-05,0.10125551628170591,3.430576639121868,15.055587930660522,chen2020_dfn,15.0
15.0,2.3545473162268693,2.3545473162268693,2.3545473162268693,2.3545473162268693,False,False,False,9.45e-05,0.10190955720288004,3.4332827905416545,15.085646200027952,chen2020_dfn,15.0
20.0,2.5090906586705666,2.5090906586705666,2.5090906586705666,2.5090906586705666,False,False,False,8.37e-05,0.10260652683028854,3.4450450805226587,15.119255014547832,chen2020_dfn,15.0
25.0,2.5998982933757064,2.5998982933757064,2.5998982933757064,2.5998982933757064,False,False,False,0.00011430000000000001,0.10332872080067068,3.4543921302109375,15.155088299170927,chen2020_dfn,15.0
30.0,2.7437053885231073,2.7437053885231073,2.7437053885231073,2.7437053885231073,False,False,False,9.31e-05,0.10409086118637154,3.465065240851614,15.194369243064386,chen2020_dfn,15.0
35.0,2.889973262197884,2.889973262197884,2.889973262197884,2.889973262197884,False,False,False,9.39e-05,0.10489363153698207,3.4756465737203794,15.237237379359215,chen2020_dfn,15.0
40.0,3.0488432528067295,3.0488432528067295,3.0488432528067295,3.0488432528067295,False,False,False,9.740000000000001e-05,0.10574053244053949,3.486471523799855,15.284084661113923,chen2020_dfn,15.0
45.0,3.211113350627161,3.211113350627161,3.211113350627161,3.211113350627161,False,False,False,9.080000000000001e-05,0.10663250837126925,3.4973017227404166,15.335096426700261,chen2020_dfn,15.0
50.0,3.374459898182681,3.374459898182681,3.374459898182681,3.374459898182681,False,False,False,9.43e-05,0.10756985834298667,3.508077586869457,15.390401524682034,chen2020_dfn,15.0
55.0,3.533685063883665,3.533685063883665,3.533685063883665,3.533685063883665,False,False,False,9.5e-05,0.10855143752739879,3.5186535325424453,15.449987830658358,chen2020_dfn,15.0
60.0,3.684181868706822,3.684181868706822,3.684181868706822,3.684181868706822,False,False,False,9.900000000000001e-05,0.10957482137981736,3.528890163085593,15.513702960941032,chen2020_dfn,15.0
65.0,3.8211965386682047,3.8211965386682047,3.8211965386682047,3.8211965386682047,False,False,False,8.690000000000001e-05,0.11063626486278075,3.5386390571983544,15.581238299022232,chen2020_dfn,15.0
70.0,3.940776382534149,3.940776382534149,3.940776382534149,3.940776382534149,False,False,False,0.0001111,0.11173092496904025,3.547768143393216,15.652142105992311,chen2020_dfn,15.0
