scenario_id,scenario_kind,initial_soc,ambient_temperature_c,capacity_multiplier,resistance_multiplier,time_constant_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,heat_gain_multiplier,soc_bias,temperature_bias_c,polarization_fast_bias_v,polarization_slow_bias_v,noise_scale,controller,controller_declared_complete,completion_success,physical_safe,operational_feasible,charge_time_min,final_true_soc,terminal_true_soc_error,maximum_voltage_v,maximum_temperature_c,maximum_current_a,maximum_current_change_a,voltage_limit_exceeded,temperature_limit_exceeded,current_limit_exceeded,current_change_limit_exceeded,optimization_count,optimizer_success_fraction,numerical_failure_recovered_count,prediction_domain_infeasible_count,hard_safety_slew_conflict_count,fallback_slew_violation_count,shifted_previous_count,projected_ann_sequence_count,conservative_slew_down_count,slope_safe_emergency_count,hard_safety_emergency_count,mean_solve_time_ms,maximum_solve_time_ms,selection_labels,baseline_feasible
corner_cold_resistive,directed_corner,0.1,15.0,1.0,1.2,1.2,1.0,1.0,1.0,0.0,0.0,-0.005,-0.005,1.0,nominal_mpc_recovery,True,True,False,False,39.0,0.8004981304652051,0.000498130465205,4.279591336867526,36.11519051809137,10.0,10.0,True,True,False,True,176,0.1363636363636363,0,119,33,0,0,0,0,119,33,1079.2110573862913,4098.831299999802,cold_extreme;unresolved,False
corner_cold_resistive,directed_corner,0.1,15.0,1.0,1.2,1.2,1.0,1.0,1.0,0.0,0.0,-0.005,-0.005,1.0,oracle_mpc_recovery,True,True,False,False,39.833333333333336,0.8012309926183071,0.001230992618307,4.25515963326417,36.01224290689844,10.0,10.0,True,True,False,True,157,0.1783439490445859,0,103,26,0,0,0,0,103,26,826.1242605094942,3947.052599998642,cold_extreme;unresolved,False
corner_hot_resistive_optimistic,directed_corner,0.1,30.0,0.9,1.2,1.0,0.85,1.2,1.1,0.005,-0.5,-0.005,-0.005,1.0,nominal_mpc_recovery,False,False,False,False,60.0,0.5254763310791873,-0.2745236689208127,4.089719528410994,36.846638649926525,10.0,10.0,False,True,False,True,272,0.0514705882352941,0,139,119,0,0,0,0,139,119,566.2504783088025,2685.4779000004783,hot_extreme;teacher_and_ann_infeasible,False
corner_hot_resistive_optimistic,directed_corner,0.1,30.0,0.9,1.2,1.0,0.85,1.2,1.1,0.005,-0.5,-0.005,-0.005,1.0,oracle_mpc_recovery,False,False,False,False,60.0,0.5566974520519798,-0.2433025479480202,4.1252674282875095,36.86465922255153,10.0,10.0,False,True,False,True,261,0.0957854406130268,0,132,104,0,0,0,0,132,104,454.7725348659616,2409.667599999011,hot_extreme;teacher_and_ann_infeasible,False
corner_observer_optimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,-0.5,-0.005,-0.005,1.0,nominal_mpc_recovery,True,True,False,False,33.75,0.7933409460000751,-0.0066590539999249,4.243807597099727,36.295118778141976,10.0,10.0,True,True,False,True,149,0.1946308724832214,0,87,33,0,0,0,0,87,33,978.4026000000102,5449.641799999881,unresolved,False
corner_observer_optimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005,-0.5,-0.005,-0.005,1.0,oracle_mpc_recovery,True,True,False,False,33.75,0.7933409460000751,-0.0066590539999249,4.243807597099727,36.295118778141976,10.0,10.0,True,True,False,True,149,0.1946308724832214,0,87,33,0,0,0,0,87,33,972.5325597316362,4670.092700000168,unresolved,False
corner_observer_pessimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.005,0.5,0.005,0.005,1.0,nominal_mpc_recovery,True,True,False,False,37.583333333333336,0.8057591908544954,0.0057591908544953,4.230920668003665,35.09287487923988,10.0,8.84,True,True,False,True,169,0.1301775147928994,0,102,45,0,0,0,0,102,45,835.3290082839565,4685.357700000168,teacher_and_ann_infeasible,False
corner_observer_pessimistic,directed_corner,0.3,25.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.005,0.5,0.005,0.005,1.0,oracle_mpc_recovery,True,True,False,False,37.583333333333336,0.8057591908544954,0.0057591908544953,4.230920668003665,35.09287487923988,10.0,8.84,True,True,False,True,169,0.1301775147928994,0,102,45,0,0,0,0,102,45,830.4497911241881,4728.934999999183,teacher_and_ann_infeasible,False
lhs_000,latin_hypercube,0.1261787594640073,17.197093080890664,0.9251706122666652,1.1058862750601826,0.8497595631788353,0.921000016755584,0.9134428748621496,1.023286497566416,-0.0019167610650933,-0.1699547282144091,0.0041265247862589,-0.0008546257208345,1.0,nominal_mpc_recovery,True,True,False,False,34.666666666666664,0.803494533376291,0.0034945333762909,4.268136825040448,36.136320194850406,10.0,10.0,True,True,False,True,143,0.1748251748251748,0,95,23,0,0,0,0,95,23,1020.7021419579572,5043.2149000007485,unresolved,False
lhs_000,latin_hypercube,0.1261787594640073,17.197093080890664,0.9251706122666652,1.1058862750601826,0.8497595631788353,0.921000016755584,0.9134428748621496,1.023286497566416,-0.0019167610650933,-0.1699547282144091,0.0041265247862589,-0.0008546257208345,1.0,oracle_mpc_recovery,True,True,False,False,34.416666666666664,0.8026586861194135,0.0026586861194134,4.237897507612597,36.11152365646628,10.0,10.0,True,True,False,True,144,0.1666666666666666,0,99,21,0,0,0,0,99,21,1028.9004402777537,4162.584399999105,unresolved,False
lhs_001,latin_hypercube,0.1447699427665032,22.460928663984188,1.0811353138604347,1.0660024965447432,0.9959626592611058,0.8846940905885763,1.0794193022653285,1.007714679691327,-0.0004777844742882,-0.1138401732280546,-0.0006265000995984,-0.0017640630404429,1.0,nominal_mpc_recovery,True,True,False,False,51.75,0.8004646269518176,0.0004646269518175,4.26097040763816,36.345295562679695,10.0,10.0,True,True,False,True,250,0.1,0,157,68,0,0,0,0,157,68,743.4166843999774,4347.792600001412,teacher_and_ann_infeasible,False
lhs_001,latin_hypercube,0.1447699427665032,22.460928663984188,1.0811353138604347,1.0660024965447432,0.9959626592611058,0.8846940905885763,1.0794193022653285,1.007714679691327,-0.0004777844742882,-0.1138401732280546,-0.0006265000995984,-0.0017640630404429,1.0,oracle_mpc_recovery,True,True,False,False,50.583333333333336,0.8012608047595898,0.0012608047595897,4.25603960736543,36.06550538922296,10.0,10.0,True,True,False,True,233,0.1244635193133047,0,147,57,0,0,0,0,147,57,808.4346635193114,4721.979599999031,teacher_and_ann_infeasible,False
lhs_002,latin_hypercube,0.20386549241193286,28.712054372962264,1.0569376857315438,0.8055939690477061,0.8179525606438596,1.1126136728699767,0.8448054285619114,0.9524780116663104,0.0028361644023803647,0.05294829387605038,-0.0025449250853056215,0.0034021572621895308,1.0,nominal_mpc_recovery,True,True,False,False,49.75,0.7993992952642676,-0.0006007047357324824,4.195779418559176,35.60030570820327,10.0,10.0,False,True,False,True,205,0.18048780487804877,0,113,55,0,0,0,0,113,55,746.3615741463866,4849.285000000236,teacher_and_ann_infeasible,False
lhs_002,latin_hypercube,0.20386549241193286,28.712054372962264,1.0569376857315438,0.8055939690477061,0.8179525606438596,1.1126136728699767,0.8448054285619114,0.9524780116663104,0.0028361644023803647,0.05294829387605038,-0.0025449250853056215,0.0034021572621895308,1.0,oracle_mpc_recovery,True,True,False,False,50.5,0.7964845126717602,-0.003515487328239808,4.228951448109956,35.671347997844386,10.0,10.0,True,True,False,True,231,0.11255411255411256,0,135,70,0,0,0,0,135,70,841.4707233765371,5654.0217999991,teacher_and_ann_infeasible,False
lhs_003,latin_hypercube,0.23140047463664554,15.674735475846893,1.0016242407810003,1.1081289270466834,1.1065329898121432,1.1273397130178622,1.1460845641746835,1.0925201836937373,0.0013145815961560217,-0.0856540979569112,-0.002677791854349131,-0.0019726419469829255,1.0,nominal_mpc_recovery,True,True,False,False,32.0,0.801156400644388,0.0011564006443879338,4.2681297810831165,35.6777074808402,10.0,10.0,True,True,False,True,145,0.15172413793103448,0,93,30,0,0,0,0,93,30,886.7629944827183,4446.112499999799,unresolved,False
lhs_003,latin_hypercube,0.23140047463664554,15.674735475846893,1.0016242407810003,1.1081289270466834,1.1065329898121432,1.1273397130178622,1.1460845641746835,1.0925201836937373,0.0013145815961560217,-0.0856540979569112,-0.002677791854349131,-0.0019726419469829255,1.0,oracle_mpc_recovery,True,True,False,False,32.916666666666664,0.7993884839336018,-0.0006115160663981989,4.251006226278699,36.01165609812418,10.0,10.0,True,True,False,True,120,0.25833333333333336,0,68,21,0,0,0,0,68,21,886.9736858334514,5420.576499998788,unresolved,False
lhs_004,latin_hypercube,0.2648662048659354,24.61416359309012,1.0922005136225075,0.8299152661582713,0.802528879960656,0.8707172957302043,0.9796503406775942,0.9171348082820054,-0.0037272022585634456,0.2838616969362018,-0.003072996268990007,-0.0036808200418728737,1.0,nominal_mpc_recovery,True,True,False,False,36.416666666666664,0.8052800537083906,0.005280053708390575,4.214271159101284,35.38664686139706,10.0,10.0,True,True,False,True,152,0.23684210526315788,0,86,30,0,0,0,0,86,30,824.0622190789245,4164.507299999968,unresolved,False
lhs_004,latin_hypercube,0.2648662048659354,24.61416359309012,1.0922005136225075,0.8299152661582713,0.802528879960656,0.8707172957302043,0.9796503406775942,0.9171348082820054,-0.0037272022585634456,0.2838616969362018,-0.003072996268990007,-0.0036808200418728737,1.0,oracle_mpc_recovery,True,True,False,False,37.083333333333336,0.8072435861079105,0.007243586107910427,4.250158884346445,35.440338831886486,10.0,10.0,True,True,False,True,181,0.12154696132596685,0,116,43,0,0,0,0,116,43,950.7493331491696,4553.163699998549,unresolved,False
lhs_005,latin_hypercube,0.1340854501460514,23.421210887807092,0.995996841917262,0.9246413364161465,1.0318423347625656,0.9166086866800691,0.8574901118613376,1.0701103768067626,0.0033819004844784653,0.12628179563942465,0.001984386798715613,0.004913106842356996,1.0,nominal_mpc_recovery,True,True,False,False,41.833333333333336,0.7944805827184874,-0.0055194172815126175,4.20636797800951,35.73475752218409,10.0,10.0,True,True,False,True,193,0.14507772020725387,0,124,41,0,0,0,0,124,41,729.5637632123827,4826.351199999408,teacher_and_ann_infeasible,False
lhs_005,latin_hypercube,0.1340854501460514,23.421210887807092,0.995996841917262,0.9246413364161465,1.0318423347625656,0.9166086866800691,0.8574901118613376,1.0701103768067626,0.0033819004844784653,0.12628179563942465,0.001984386798715613,0.004913106842356996,1.0,oracle_mpc_recovery,True,True,False,False,41.916666666666664,0.7944431174714446,-0.005556882528555462,4.224558826867706,35.801464391661725,10.0,10.0,True,True,False,True,196,0.1377551020408163,0,125,44,0,0,0,0,125,44,841.4002290816398,4260.413800000606,teacher_and_ann_infeasible,False
lhs_008,latin_hypercube,0.2850743526569496,25.247844139764346,1.013193552500972,0.9681719505898942,1.1514130570941534,1.0253018806427876,0.8900724529133812,0.9226733971656388,0.0010984207459157347,-0.49678005218573323,0.0025964444747773197,-0.00013557133997184074,1.0,nominal_mpc_recovery,True,True,False,False,31.333333333333332,0.8001537930429253,0.00015379304292528762,4.210929890680742,34.92243527871622,9.999999999999998,2.000000000000006,True,False,False,False,80,0.7375,0,21,0,0,0,0,0,21,0,877.8842924999708,4469.083199999659,teacher_feasible,True
lhs_008,latin_hypercube,0.2850743526569496,25.247844139764346,1.013193552500972,0.9681719505898942,1.1514130570941534,1.0253018806427876,0.8900724529133812,0.9226733971656388,0.0010984207459157347,-0.49678005218573323,0.0025964444747773197,-0.00013557133997184074,1.0,oracle_mpc_recovery,True,True,False,False,32.5,0.7991439969393355,-0.0008560030606645785,4.236315014743883,36.15150709145351,10.0,10.0,True,True,False,True,140,0.17142857142857143,0,88,28,0,0,0,0,88,28,864.1341921428258,5183.08480000087,teacher_feasible,False
