scenario_id,scenario_kind,ambient_temperature_c,resistance_multiplier,heat_capacity_multiplier,thermal_resistance_multiplier,ann_feasible,nominal_mpc_feasible,oracle_mpc_feasible,nominal_charge_time_min,oracle_charge_time_min,nominal_final_soc,oracle_final_soc,nominal_infeasibility_reasons,oracle_infeasibility_reasons,scenario_class,selection_labels
corner_cold_resistive,directed_corner,15.0,1.2,1.0,1.0,True,False,False,44.083333333333336,44.41666666666666,0.8022235370156638,0.8010861047311214,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,ann_feasible_teachers_failed_unresolved,cold_extreme;unresolved
corner_hot_resistive_optimistic,directed_corner,30.0,1.2,0.85,1.2,False,False,False,60.0,60.0,0.5331809203334636,0.5686121870581766,target_not_reached;current_change_violation;optimizer_success_fraction;mpc_fallback,target_not_reached;current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_infeasible,hot_extreme;teacher_and_ann_infeasible
corner_observer_optimistic,directed_corner,25.0,1.0,1.0,1.0,True,False,False,37.16666666666666,37.16666666666666,0.7948609302307993,0.7948609302307993,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,ann_feasible_teachers_failed_unresolved,unresolved
corner_observer_pessimistic,directed_corner,25.0,1.0,1.0,1.0,False,False,False,40.083333333333336,40.083333333333336,0.8021160890029344,0.8021160890029344,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_infeasible,teacher_and_ann_infeasible
lhs_000,latin_hypercube,17.197093080890664,1.1058862750601826,0.921000016755584,0.9134428748621496,True,False,False,38.16666666666666,38.91666666666666,0.8012742311339767,0.8008272129241437,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,ann_feasible_teachers_failed_unresolved,unresolved
lhs_001,latin_hypercube,22.460928663984188,1.0660024965447432,0.8846940905885763,1.0794193022653285,False,False,False,53.083333333333336,53.083333333333336,0.7979158942528598,0.7978330020211323,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_infeasible,teacher_and_ann_infeasible
lhs_002,latin_hypercube,28.712054372962264,0.8055939690477061,1.1126136728699767,0.8448054285619114,False,False,False,51.66666666666666,52.25,0.7951088920386838,0.7956682101140509,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_infeasible,teacher_and_ann_infeasible
lhs_003,latin_hypercube,15.674735475846893,1.1081289270466834,1.1273397130178622,1.1460845641746835,True,False,False,36.41666666666666,36.833333333333336,0.7997988600784884,0.7995076728134871,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,ann_feasible_teachers_failed_unresolved,unresolved
lhs_004,latin_hypercube,24.61416359309012,0.8299152661582713,0.8707172957302043,0.9796503406775942,True,False,False,39.25,39.25,0.8030993254666134,0.8034330546463204,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,ann_feasible_teachers_failed_unresolved,unresolved
lhs_005,latin_hypercube,23.42121088780709,0.9246413364161464,0.9166086866800692,0.8574901118613376,False,False,False,44.833333333333336,44.75,0.7974100940980742,0.7977506706076235,current_change_violation;optimizer_success_fraction;mpc_fallback,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_infeasible,teacher_and_ann_infeasible
lhs_008,latin_hypercube,25.247844139764343,0.9681719505898942,1.0253018806427876,0.8900724529133812,True,True,False,35.5,35.5,0.795604142018705,0.7957307707608989,none,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_feasible,teacher_feasible
lhs_012,latin_hypercube,20.94254808338244,0.8765169112056466,0.9535143752691166,0.9098969634644448,True,True,False,33.25,33.5,0.805283395128696,0.8051384035026588,none,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_feasible,teacher_feasible
lhs_029,latin_hypercube,16.492190021032656,1.0075794728496186,0.9281905451777784,0.8310034679371529,True,True,False,37.75,37.833333333333336,0.8020592255093164,0.8015574427176104,none,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_feasible,teacher_feasible
lhs_056,latin_hypercube,19.252502127302133,0.8070213718868158,1.0071862441914012,0.9316178398148576,True,True,False,33.916666666666664,33.583333333333336,0.8069227729659713,0.8070099547029764,none,current_change_violation;optimizer_success_fraction;mpc_fallback,teacher_and_ann_feasible,teacher_feasible
nominal,nominal,25.0,1.0,1.0,1.0,True,True,True,53.083333333333336,53.083333333333336,0.7995275104645643,0.7995275104645643,none,none,teacher_and_ann_feasible,nominal;teacher_feasible
