scenario_id,controller,fixed_cutoff_steps,completion_success,physical_safe,operational_feasible,baseline_nominal_feasible,maximum_current_change_a,decision_audit_count,prediction_domain_infeasible_count,hard_safety_slew_conflict_count,max_slack_voltage_v,max_slack_temperature_c,max_slack_soc,max_slack_current_change_a,max_braking_current_deficit_a,max_braking_distance_steps
lhs_008,original_mpc,426,True,True,True,True,2.0000000000000036,90,0,0,2.070299487400007e-10,9.482759111278938e-08,4.052037927415597e-09,3.552713678800501e-15,0.0,0
lhs_008,recovery_mpc,426,True,True,True,True,2.0000000000000036,90,0,0,2.070299487400007e-10,9.482759111278938e-08,4.052037927415597e-09,3.552713678800501e-15,0.0,0
lhs_012,original_mpc,399,True,True,True,True,2.000000000000001,84,0,0,5.998721519517858e-10,4.708420675569869e-08,7.873124374668805e-10,1.7763568394002505e-15,0.0,0
lhs_012,recovery_mpc,399,True,True,True,True,2.000000000000001,84,0,0,5.998721519517858e-10,4.708420675569869e-08,7.873124374668805e-10,1.7763568394002505e-15,0.0,0
lhs_029,original_mpc,453,True,True,True,True,2.0000000000000004,95,0,0,2.1246231440841257e-09,4.9216083652936504e-08,2.7089922527423482e-09,8.881784197001252e-16,0.0,0
lhs_029,recovery_mpc,453,True,True,True,True,2.0000000000000004,95,0,0,2.1246231440841257e-09,4.9216083652936504e-08,2.7089922527423482e-09,8.881784197001252e-16,0.0,0
lhs_056,original_mpc,407,True,True,True,True,2.0000000000000018,86,0,0,1.5827774646481885e-09,3.26587397125877e-08,4.441351730832821e-10,1.7763568394002505e-15,0.0,0
lhs_056,recovery_mpc,407,True,True,True,True,2.0000000000000018,86,0,0,1.5827774646481885e-09,3.26587397125877e-08,4.441351730832821e-10,1.7763568394002505e-15,0.0,0
nominal,original_mpc,637,True,True,True,True,2.0000000000000018,131,0,0,6.333689128723563e-11,6.516020789604227e-08,1.8677569491032386e-09,1.7763568394002505e-15,0.0,0
nominal,recovery_mpc,637,True,True,True,True,2.0000000000000018,131,0,0,6.333689128723563e-11,6.516020789604227e-08,1.8677569491032386e-09,1.7763568394002505e-15,0.0,0
