scenario_id,nominal_mpc_feasible,oracle_mpc_feasible,scenario_class,teacher_feasible_for_ann_evaluation
corner_cold_resistive,False,False,ann_feasible_teachers_failed_unresolved,False
corner_hot_resistive_optimistic,False,False,teacher_and_ann_infeasible,False
corner_observer_optimistic,False,False,ann_feasible_teachers_failed_unresolved,False
corner_observer_pessimistic,False,False,teacher_and_ann_infeasible,False
lhs_000,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_001,False,False,teacher_and_ann_infeasible,False
lhs_002,False,False,teacher_and_ann_infeasible,False
lhs_003,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_004,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_005,False,False,teacher_and_ann_infeasible,False
lhs_006,False,False,teacher_and_ann_infeasible,False
lhs_007,False,False,teacher_and_ann_infeasible,False
lhs_008,True,False,teacher_and_ann_feasible,True
lhs_009,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_010,False,False,teacher_and_ann_infeasible,False
lhs_011,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_012,True,False,teacher_and_ann_feasible,True
lhs_013,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_014,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_015,False,False,teacher_and_ann_infeasible,False
lhs_016,False,False,teacher_and_ann_infeasible,False
lhs_017,False,False,teacher_and_ann_infeasible,False
lhs_018,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_019,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_020,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_021,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_022,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_023,False,False,teacher_and_ann_infeasible,False
lhs_024,False,False,teacher_and_ann_infeasible,False
lhs_025,False,False,teacher_and_ann_infeasible,False
lhs_026,False,False,teacher_and_ann_infeasible,False
lhs_027,False,False,teacher_and_ann_infeasible,False
lhs_028,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_029,True,False,teacher_and_ann_feasible,True
lhs_030,False,False,teacher_and_ann_infeasible,False
lhs_031,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_032,False,False,teacher_and_ann_infeasible,False
lhs_033,False,False,teacher_and_ann_infeasible,False
lhs_034,False,False,teacher_and_ann_infeasible,False
lhs_035,False,False,teacher_and_ann_infeasible,False
lhs_036,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_037,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_038,False,False,teacher_and_ann_infeasible,False
lhs_039,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_040,False,False,teacher_and_ann_infeasible,False
lhs_041,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_042,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_043,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_044,False,False,teacher_and_ann_infeasible,False
lhs_045,False,False,teacher_and_ann_infeasible,False
lhs_046,False,False,teacher_and_ann_infeasible,False
lhs_047,False,False,teacher_and_ann_infeasible,False
lhs_048,False,False,teacher_and_ann_infeasible,False
lhs_049,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_050,False,False,teacher_and_ann_infeasible,False
lhs_051,False,False,teacher_and_ann_infeasible,False
lhs_052,False,False,teacher_and_ann_infeasible,False
lhs_053,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_054,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_055,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_056,True,False,teacher_and_ann_feasible,True
lhs_057,False,False,teacher_and_ann_infeasible,False
lhs_058,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_059,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_060,False,False,ann_feasible_teachers_failed_unresolved,False
lhs_061,False,False,teacher_and_ann_infeasible,False
lhs_062,False,False,teacher_and_ann_infeasible,False
lhs_063,False,False,teacher_and_ann_infeasible,False
nominal,True,True,teacher_and_ann_feasible,True
