split,partition_family,partition_label,sample_count,mae_a,rmse_a,nrmse,bias_a,maximum_absolute_error_a
test,any_constraint,near_any_constraint,163,0.9627748296194332,1.2826141543717746,0.12826141543717745,-0.3065883463704634,4.184411059512718
test,any_constraint,not_near_constraint,541,0.6632139436416562,1.1060622789192505,0.11060622789192505,0.3843355861828515,4.785664541079643
test,current_upper_active,current_upper_inactive,704,0.7325725010484426,1.1493552756902583,0.11493552756902584,0.2243631415717857,4.785664541079643
test,previous_current,"(2.0, 5.0]",265,1.114677831447881,1.513781691626967,0.1513781691626967,0.5443910478049453,4.785664541079643
test,previous_current,"(-0.001, 2.0]",54,1.1828465139049196,1.4953316771762206,0.14953316771762207,-0.09039206400654967,3.6759327836722506
test,previous_current,"(5.0, 8.0]",294,0.45476307116417153,0.8002245822195958,0.08002245822195958,0.05687165454832132,4.462561909605278
test,previous_current,"(8.0, 10.1]",91,0.25019077726684674,0.3884176205260713,0.03884176205260713,0.020317901289821902,1.8518881495310957
test,slew_active,slew_active,85,1.2299003060359577,1.4750569362148993,0.14750569362148994,-0.2675493681629887,3.3698362536442983
test,slew_active,slew_inactive,619,0.664280314580044,1.0971058659466426,0.10971058659466426,0.2919117091444122,4.785664541079643
test,slew_near_boundary,near_slew_boundary,86,1.2338873161238217,1.476230464071623,0.1476230464071623,-0.2461501525611833,3.3698362536442983
test,slew_near_boundary,away_from_slew_boundary,618,0.6628102452288915,1.0961688993048493,0.10961688993048493,0.2898391015967619,4.785664541079643
test,soc,"(0.25, 0.4]",170,0.7647589610109913,1.3169535973792788,0.13169535973792787,0.3059120351027896,4.785664541079643
test,soc,"(0.099, 0.25]",130,0.8695680279956047,1.2837753223285397,0.12837753223285397,0.4213775804510879,3.223429761010422
test,soc,"(0.55, 0.7]",111,0.7095662958307085,1.1175672539070949,0.1117567253907095,0.03634397322591137,4.184411059512718
test,soc,"(0.7, 0.8]",72,0.8108329856780612,1.061708421642329,0.10617084216423289,-0.1827649267339354,3.6759327836722506
test,soc,"(0.4, 0.55]",221,0.6132866059763685,0.9539376837649941,0.0953937683764994,0.2728163526569622,4.462561909605278
test,temperature,"(24.999, 27.0]",159,0.9589100033101184,1.4237943091597187,0.14237943091597188,0.4558777420470116,4.785664541079643
test,temperature,"(27.0, 29.0]",178,0.7399870291400473,1.180950795692337,0.11809507956923371,0.3285416274101531,4.56514857408618
test,temperature,"(31.0, 33.5]",252,0.6179874138513565,0.9963695402331193,0.09963695402331194,0.03032805076350173,4.184411059512718
test,temperature,"(29.0, 31.0]",115,0.6592507020376047,0.9746917766114013,0.09746917766114013,0.16820880182306594,3.223429761010422
test,temperature_active,temperature_inactive,704,0.7325725010484426,1.1493552756902583,0.11493552756902584,0.2243631415717857,4.785664541079643
test,voltage_active,voltage_inactive,626,0.7401601749571765,1.1630545390159486,0.11630545390159486,0.29582085596017355,4.785664541079643
test,voltage_active,voltage_active,78,0.6716765540373232,1.032849842728676,0.10328498427286761,-0.3491308226221987,4.184411059512718
train,any_constraint,near_any_constraint,1189,0.2773144632977357,0.4272366447149721,0.04272366447149721,-0.1621898142357206,1.8782565362321613
train,any_constraint,not_near_constraint,4427,0.19630741508458455,0.27398388468552287,0.027398388468552286,0.043825320385279816,1.5751115527901831
train,current_upper_active,current_upper_inactive,5601,0.2136627821585768,0.3129710850853303,0.031297108508533025,0.00046409641905347936,1.8782565362321613
train,current_upper_active,current_upper_active,15,0.13697203801831026,0.22043956878874071,0.02204395687887407,-0.09522665491710462,0.7382216423982175
train,previous_current,"(2.0, 5.0]",1827,0.2768066012148104,0.39159291183365236,0.03915929118336524,0.0029999494615387946,1.7480187051309022
train,previous_current,"(5.0, 8.0]",2759,0.19319143240769235,0.2856728858873733,0.028567288588737326,-0.0032955007647318996,1.8782565362321613
train,previous_current,"(-0.001, 2.0]",268,0.1659344155171209,0.23012310289275192,0.02301231028927519,-0.008042749153031225,0.9740348999113548
train,previous_current,"(8.0, 10.1]",762,0.15166480006508284,0.19788567404450366,0.019788567404450366,0.00910477681894786,0.8684557834790745
train,slew_active,slew_active,644,0.3949948980287127,0.5566325865527744,0.05566325865527744,-0.2704599804651033,1.8782565362321613
train,slew_active,slew_inactive,4972,0.1899443099577579,0.26524895365204615,0.026524895365204616,0.035266941198489235,1.5751115527901831
train,slew_near_boundary,near_slew_boundary,653,0.3943685427512937,0.5554376879655331,0.0555437687965533,-0.268070878487509,1.8782565362321613
train,slew_near_boundary,away_from_slew_boundary,4963,0.1896548791101891,0.2647594401749555,0.02647594401749555,0.035507009444228355,1.5751115527901831
train,soc,"(0.4, 0.55]",1364,0.224388793010452,0.3335845262953775,0.03335845262953775,0.0003048492301461296,1.7480187051309022
train,soc,"(0.25, 0.4]",1291,0.2250250673260927,0.3301886019174297,0.03301886019174297,0.0025138976504381154,1.8782565362321613
train,soc,"(0.55, 0.7]",1181,0.22131926378322955,0.3212394472881493,0.03212394472881493,-0.0016087646827346212,1.6236417166787973
train,soc,"(0.099, 0.25]",1374,0.20443540888896458,0.29208302458301877,0.029208302458301878,-0.0015534276595781308,1.5040772484111526
train,soc,"(0.7, 0.8]",406,0.14762030914972873,0.20894283419971824,0.020894283419971824,0.003803223392357088,1.5954264522265689
train,temperature,"(24.999, 27.0]",1149,0.2380844822306579,0.3455017179166042,0.03455017179166042,-0.004885876155700782,1.8782565362321613
train,temperature,"(27.0, 29.0]",1395,0.2188631796303439,0.32272667476461486,0.032272667476461486,0.0024213874914468937,1.6197933821967982
train,temperature,"(29.0, 31.0]",1433,0.2110983580225363,0.3102143127495692,0.031021431274956917,-0.001142223073874752,1.7480187051309022
train,temperature,"(31.0, 33.5]",1639,0.19365629696571884,0.28054639604184045,0.028054639604184046,0.003077392334689607,1.4200191405657527
train,temperature_active,temperature_inactive,5592,0.21392618388169843,0.3133104876391596,0.03133104876391596,0.0001447997805868898,1.8782565362321613
train,temperature_active,temperature_active,24,0.10435846558357383,0.13257354572393856,0.013257354572393857,0.015053493596669928,0.2810892250277588
train,voltage_active,voltage_inactive,5103,0.22084312410419454,0.32310672354783343,0.03231067235478334,0.0035927095770423574,1.8782565362321613
train,voltage_active,voltage_active,513,0.13999485601707318,0.1799346435164792,0.01799346435164792,-0.03345534649568262,0.7087934152839632
validation,any_constraint,near_any_constraint,153,0.7559838403879112,1.0906863954785562,0.10906863954785562,-0.28323873286651163,3.5378721349352515
validation,any_constraint,not_near_constraint,551,0.5402616412086112,0.86556991551691,0.086556991551691,0.2752453549324222,4.903533071116785
validation,current_upper_active,current_upper_inactive,699,0.5884063009784977,0.9214804378308691,0.09214804378308691,0.15790894412090659,4.903533071116785
validation,current_upper_active,current_upper_active,5,0.4107375002650713,0.5068560053888373,0.050685600538883734,-0.4107375002650713,0.9852625712219556
validation,previous_current,"(2.0, 5.0]",200,0.9367565235862457,1.2405144647155364,0.12405144647155364,0.3828611442629619,4.520276590777565
validation,previous_current,"(-0.001, 2.0]",33,0.80847141634683,1.0832005377415055,0.10832005377415055,0.1956899353596975,2.2995944861189614
validation,previous_current,"(5.0, 8.0]",375,0.46050864499005956,0.7917545941496794,0.07917545941496794,0.05756320008922084,4.903533071116785
validation,previous_current,"(8.0, 10.1]",96,0.2773759224721701,0.3715196223613847,0.03715196223613847,0.038629871731959704,1.2024923523680862
