run_key,dataset_sha256,architecture,optimizer,initialization_seed,parameter_count,fit_time_s,stage_iterations_json,stage_reached_iteration_limit_json,warning_count,warnings_json,train_mae_a,train_rmse_a,train_nrmse,train_maximum_absolute_error_a,train_bias_a,train_r2,validation_mae_a,validation_rmse_a,validation_nrmse,validation_maximum_absolute_error_a,validation_bias_a,validation_r2,test_mae_a,test_rmse_a,test_nrmse,test_maximum_absolute_error_a,test_bias_a,test_r2
16-16__adam__seed-101,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam,101,385,29.124048099998618,"{""adam"": 2500}","{""adam"": true}",1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.3501707484326666,0.5230801279844469,0.05230801279844469,1.8960762261416395,-0.023861542003232393,0.9269900936551762,0.35892801659179785,0.5283109989615353,0.05283109989615353,1.7911322960014502,-0.020567055811903087,0.9228729799762885,0.3919428053558398,0.5743078505027756,0.05743078505027756,1.9712464349200034,0.02861307113295526,0.9148028163190799
16-16__adam__seed-202,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam,202,385,28.855628799999977,"{""adam"": 2500}","{""adam"": true}",1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.3568132815674111,0.5235252838413201,0.05235252838413201,1.8855098545377587,0.02428837439085958,0.9268657738226289,0.3642832107646633,0.5364821734488872,0.05364821734488871,1.8746257671219793,0.036823945548170284,0.9204687445665275,0.4114958091046434,0.5895086194406733,0.05895086194406733,1.9950293830564334,0.06884414646897084,0.9102331363146138
16-16__adam__seed-22,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam,22,385,27.787992900000972,"{""adam"": 2297}","{""adam"": false}",0,[],0.36332769276145394,0.5259146972978257,0.05259146972978257,1.8226425043619523,0.0313963571745153,0.9261966688466664,0.3598473793359574,0.5253244551598868,0.05253244551598868,1.7268214629500225,0.04214536938278868,0.9237425138627512,0.39919060707212767,0.5670238175091078,0.05670238175091078,1.7131766760986968,0.07184562458619244,0.9169502487362688
16-16__adam__seed-42,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam,42,385,28.17755549999856,"{""adam"": 2402}","{""adam"": false}",0,[],0.3581500428108523,0.5232531798436828,0.05232531798436828,1.856980493910914,0.02349493022333592,0.9269417775777318,0.372057565309975,0.5355562035035963,0.053555620350359635,1.8405965609634451,0.038302783220287434,0.9207430500379149,0.4010310222769171,0.5644263594362182,0.056442635943621824,1.7599219982011816,0.06178613744383739,0.9177093849574466
16-16__adam__seed-73,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam,73,385,21.767098899999837,"{""adam"": 1776}","{""adam"": false}",0,[],0.3582850189800065,0.5273974377793829,0.05273974377793829,1.81197628795689,-0.0071185196384903,0.9257799265496905,0.3607089949892664,0.5276221405758532,0.05276221405758532,1.7713615910723055,0.0021729741807018717,0.9230739788466104,0.38705595767009454,0.5633684425140376,0.05633684425140376,1.829613313629788,0.02500580013643143,0.9180175741362115
16-16__adam_lbfgs__seed-101,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam_lbfgs,101,385,21.761184899998625,"{""adam"": 1000, ""lbfgs"": 1500}","{""adam"": true, ""lbfgs"": true}",2,"[""Stochastic Optimizer: Maximum iterations (1000) reached and the optimization hasn't converged yet."", ""lbfgs failed to converge after 1500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=1500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.3365168298188703,0.500069550911342,0.050006955091134196,2.02208901197669,-0.0006033329403516184,0.9332722976013965,0.36019183660236603,0.5301126497712195,0.053011264977121955,1.9274729495790792,0.015409106591368384,0.9223460445433246,0.4243983857032372,0.6227249910650205,0.06227249910650205,3.026550264807604,0.05876545879488331,0.8998321567090009
16-16__adam_lbfgs__seed-202,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam_lbfgs,202,385,23.219914699999208,"{""adam"": 1000, ""lbfgs"": 1500}","{""adam"": true, ""lbfgs"": true}",2,"[""Stochastic Optimizer: Maximum iterations (1000) reached and the optimization hasn't converged yet."", ""lbfgs failed to converge after 1500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=1500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.3320448546548293,0.49122032512136315,0.049122032512136315,1.9450219467450016,-9.487077308544038e-05,0.9356130274640931,0.38500750798154715,0.5699660207332755,0.05699660207332755,2.1212373336232693,0.01263407680749435,0.9102312500121676,0.44179594323195365,0.6338805120475363,0.06338805120475363,2.260758898007312,0.04087369589260597,0.8962111898690612
16-16__adam_lbfgs__seed-22,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam_lbfgs,22,385,20.21322720000171,"{""adam"": 1000, ""lbfgs"": 1500}","{""adam"": true, ""lbfgs"": true}",2,"[""Stochastic Optimizer: Maximum iterations (1000) reached and the optimization hasn't converged yet."", ""lbfgs failed to converge after 1500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=1500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.33420021677448997,0.5015014862088937,0.050150148620889366,2.132878131393486,-0.0009798106964546594,0.932889604616997,0.37029852323665824,0.5513344893957953,0.055133448939579534,1.983752987510063,-0.0014005084789869458,0.9160042003035016,0.41936791279515084,0.6223452655749359,0.062234526557493584,2.5152798882904746,0.0448656971282847,0.8999542802371716
16-16__adam_lbfgs__seed-42,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam_lbfgs,42,385,20.98300410000229,"{""adam"": 1000, ""lbfgs"": 1500}","{""adam"": true, ""lbfgs"": true}",2,"[""Stochastic Optimizer: Maximum iterations (1000) reached and the optimization hasn't converged yet."", ""lbfgs failed to converge after 1500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=1500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.3334913398160497,0.5008288502413349,0.050082885024133494,2.047217901204176,0.00043429993711211645,0.9330695067489336,0.368917394773927,0.5551808122449847,0.05551808122449847,1.961363884075956,0.02621735970691943,0.9148281377938743,0.4094057262901865,0.6117154861535301,0.06117154861535301,2.5017363506541153,0.0498203124266696,0.903342694691296
16-16__adam_lbfgs__seed-73,640b45c017594c3a8f954b498a99058d2e5cc8ecf6cff88425d5df94815de5da,16-16,adam_lbfgs,73,385,19.650883399997838,"{""adam"": 1000, ""lbfgs"": 1500}","{""adam"": true, ""lbfgs"": true}",2,"[""Stochastic Optimizer: Maximum iterations (1000) reached and the optimization hasn't converged yet."", ""lbfgs failed to converge after 1500 iteration(s) (status=1):\nSTOP: TOTAL NO. OF ITERATIONS REACHED LIMIT\n\nIncrease the number of iterations to improve the convergence (max_iter=1500).\nYou might also want to scale the data as shown in:\n    https://scikit-learn.org/stable/modules/preprocessing.html""]",0.32806611072244524,0.493893220592134,0.0493893220592134,2.0804183799983287,-0.00046614327870811537,0.9349104186160613,0.35978139936103004,0.5390610753143875,0.05390610753143875,2.2568599734302683,0.021746866017511884,0.9197022837777261,0.3924265687995202,0.5734260932112352,0.05734260932112352,2.002461408683412,0.0341796199565876,0.9150642286192664
