initial_state_id,sampling_method,state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,coverage_distance_standardized,assigned_split,teacher_optimizer_success,teacher_prediction_feasible,teacher_accepted,teacher_status,teacher_objective,teacher_solve_time_s,teacher_minimum_constraint_margin
phase6c_targeted_0000,targeted_boundary_sampling,0.1003,0.045,0.03,25.4,0.7142857142857142,,phase6c_train,True,True,True,Optimization terminated successfully,7.443615775636767,1.0472860999980185,-7.549516567451064e-15
phase6c_targeted_0001,targeted_boundary_sampling,0.1009,0.0225,0.06,25.8,1.4285714285714284,,phase6c_train,True,True,True,Optimization terminated successfully,7.495751037997642,1.1706894999988435,-1.8930492728941317e-09
phase6c_targeted_0002,targeted_boundary_sampling,0.1015,0.0675,0.009999999999999998,26.2,2.142857142857143,,phase6c_train,True,True,True,Optimization terminated successfully,7.423634778690265,1.0072531000005256,-2.1225332602625713e-10
phase6c_targeted_0003,targeted_boundary_sampling,0.10210000000000001,0.01125,0.039999999999999994,26.6,2.8571428571428568,,phase6c_train,True,True,True,Optimization terminated successfully,7.488508415713391,1.7615397999979905,-7.435829729729448e-10
phase6c_targeted_0004,targeted_boundary_sampling,0.1027,0.056249999999999994,0.06999999999999999,25.08,3.571428571428571,,phase6c_train,True,True,True,Optimization terminated successfully,7.3478444380121335,1.5158212999995158,-1.3596235248769517e-10
phase6c_targeted_0005,targeted_boundary_sampling,0.1033,0.03375,0.019999999999999997,25.48,4.285714285714286,,phase6c_train,True,True,True,Optimization terminated successfully,7.269101795134478,1.196431099997426,-8.017266850401938e-10
phase6c_targeted_0006,targeted_boundary_sampling,0.1039,0.07875,0.05,25.88,0.1020408163265306,,phase6c_validation,True,True,True,Optimization terminated successfully,7.471452013050812,1.2270884999998088,-2.2311041902867146e-11
phase6c_targeted_0007,targeted_boundary_sampling,0.10450000000000001,0.005625,0.07999999999999999,26.28,0.8163265306122448,,phase6c_train,True,True,True,Optimization terminated successfully,7.515296162478225,1.5659214999977848,-4.981970391781942e-10
phase6c_targeted_0008,targeted_boundary_sampling,0.10510000000000001,0.050624999999999996,0.003333333333333333,26.68,1.5306122448979593,,phase6c_train,True,True,True,Optimization terminated successfully,7.396557013462312,1.6107371999969473,-2.5335822328997892e-09
phase6c_targeted_0009,targeted_boundary_sampling,0.1057,0.028124999999999997,0.03333333333333333,25.16,2.2448979591836733,,phase6c_train,True,True,True,Optimization terminated successfully,7.237502260634665,1.0953016999992542,-3.803037884608784e-10
phase6c_targeted_0010,targeted_boundary_sampling,0.1063,0.073125,0.06333333333333334,25.56,2.9591836734693877,,phase6c_train,True,True,True,Optimization terminated successfully,7.315742787137621,1.1237059000013687,-2.7633717536446056e-10
