time_s,charge_current_a,raw_requested_current_a,soc,terminal_voltage_v,average_temperature_c,core_temperature_c,surface_temperature_c,evaluation_time_s,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,source
0.0,0.0,0.0,0.1,3.2959070147319616,25.0,25.0,25.0,0.0,True,True,False,False,phase6r_full_state_pure_reduced
5.0,2.53757746328795,2.53757746328795,0.10070488262869111,3.358836809109476,25.01127595144487,25.011341908701286,25.011012122419185,8.42e-05,True,True,False,False,phase6r_full_state_pure_reduced
10.0,4.65212003654236,4.65212003654236,0.10199713819439732,3.418534744155905,25.051380189244938,25.05161683565645,25.050433603598883,5.1800000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
15.0,6.895962291762666,6.895962291762666,0.10391268327544251,3.486333323131216,25.143190833909493,25.143737263419155,25.14100511587085,4.7000000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
20.0,9.178457402175491,9.178457402175491,0.10646225477604682,3.5596596268636587,25.311392231014384,25.312402286284414,25.307352009934263,4.8700000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
25.0,9.876867909607967,9.876867909607967,0.10920582919538237,3.597807317127586,25.516258848990837,25.517514129016238,25.511237728889245,4.8700000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
30.0,9.50133354981811,9.50133354981811,0.11184508851477629,3.608452565814492,25.71689051116303,25.718158480930153,25.711818632094538,4.74e-05,True,True,False,False,phase6r_full_state_pure_reduced
35.0,9.300252991068525,9.300252991068525,0.11442849212340643,3.619845591716679,25.916886125471684,25.91818706269603,25.911682376574298,4.9500000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
40.0,9.112796631519634,9.112796631519634,0.11695982452105078,3.629253504225315,26.114824690465966,26.116150166802218,26.10952278512095,4.9600000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
45.0,8.945047808091857,8.945047808091857,0.11944456002329851,3.6373559056992026,26.310051589170396,26.311397399390128,26.304668348291464,4.83e-05,True,True,False,False,phase6r_full_state_pure_reduced
50.0,8.791715703666775,8.791715703666775,0.12188670327431705,3.6444401739467067,26.502103246491725,26.503466183123095,26.49665149996624,4.66e-05,True,True,False,False,phase6r_full_state_pure_reduced
55.0,8.648909049747147,8.648909049747147,0.12428917801035792,3.6507149853817324,26.690644671037386,26.692022193968953,26.685134579311114,4.08e-05,True,True,False,False,phase6r_full_state_pure_reduced
60.0,8.514084234270156,8.514084234270156,0.1266542014087663,3.6563400343924197,26.8754408282863,26.87683092083221,26.869880458102674,4.8400000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
65.0,8.385639429577514,8.385639429577514,0.12898354569476006,3.6614394133269252,27.056336964553385,27.057738036639694,27.050732676208135,3.5900000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
70.0,8.262568885628397,8.262568885628397,0.13127870371854572,3.666109799334571,27.233242277178796,27.234653084505,27.227599047873984,4.25e-05,True,True,False,False,phase6r_full_state_pure_reduced
75.0,8.144236506850062,8.144236506850062,0.1335409916371152,3.670426655775357,27.406116253723376,27.407535829549722,27.400437950417977,3.76e-05,True,True,False,False,phase6r_full_state_pure_reduced
80.0,8.030231712979536,8.030231712979536,0.1357716115573873,3.6744490201291735,27.57495736622464,27.57638496443705,27.569246973375,4.4000000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
85.0,7.920276794548656,7.920276794548656,0.1379716884447619,3.678223156906084,27.739793761206325,27.74122880898774,27.73405357008067,5.0700000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
90.0,7.814167824113403,7.814167824113403,0.14014229061812675,3.681785345249315,27.900675630799448,27.902117689432174,27.894907396268543,4.1e-05,True,True,False,False,phase6r_full_state_pure_reduced
95.0,7.711738109505299,7.711738109505299,0.14228444009298932,3.685164025740792,28.05766901320984,28.059117745843608,28.05187408267475,4.1e-05,True,True,False,False,phase6r_full_state_pure_reduced
100.0,7.6128365698366425,7.6128365698366425,0.14439911691794394,3.688381467606219,28.210850807808093,28.21230595319922,28.205030226243583,4.08e-05,True,True,False,False,phase6r_full_state_pure_reduced
105.0,7.517315614903682,7.517315614903682,0.14648726014430608,3.691455068375626,28.360304809595107,28.361766160896774,28.354459404388443,4.1400000000000003e-05,True,True,False,False,phase6r_full_state_pure_reduced
110.0,7.425024938951475,7.425024938951475,0.1485497670717926,3.694398370028092,28.50611858864597,28.507585976415946,28.500249037566046,4.1e-05,True,True,False,False,phase6r_full_state_pure_reduced
115.0,7.335809093481927,7.335809093481927,0.15058749181998202,3.697221860472296,28.648381069339337,28.64985434807038,28.642487954415166,4.02e-05,True,True,False,False,phase6r_full_state_pure_reduced
120.0,7.249507632344099,7.249507632344099,0.1526012439400776,3.6999336170455708,28.787180696299274,28.788659733938708,28.781264545741536,4.07e-05,True,True,False,False,phase6r_full_state_pure_reduced
125.0,7.165957056243785,7.165957056243785,0.154591787566812,3.7025398351905747,28.922604100375246,28.924088770434107,28.916665420139807,4.4500000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
130.0,7.084993916554312,7.084993916554312,0.15655984143252152,3.7050452715053854,29.05473519420628,29.056225370137273,29.04877449048232,4.16e-05,True,True,False,False,phase6r_full_state_pure_reduced
135.0,7.006458478241396,7.006458478241396,0.1585060798986997,3.7074536186296285,29.183654634039105,29.185150185591542,29.177672427829357,3.82e-05,True,True,False,False,phase6r_full_state_pure_reduced
140.0,6.930198408998572,6.930198408998572,0.1604311350123104,3.7097678215403684,29.309439586511367,29.31094037777154,29.30343642147067,4.5e-05,True,True,False,False,phase6r_full_state_pure_reduced
145.0,6.856072080105955,6.856072080105955,0.1623355994790065,3.711990340665653,29.432163739984173,29.43366962880353,29.426140184706757,4.08e-05,True,True,False,False,phase6r_full_state_pure_reduced
150.0,6.783951206438475,6.783951206438475,0.16422003036968386,3.7141233656367185,29.551897502014192,29.55340834052837,29.545854147957492,3.47e-05,True,True,False,False,phase6r_full_state_pure_reduced
155.0,6.713722684388311,6.713722684388311,0.1660849533375695,3.7161689832392732,29.668708328365973,29.670223964319387,29.662645784552314,3.93e-05,True,True,False,False,phase6r_full_state_pure_reduced
160.0,6.645289588333675,6.645289588333675,0.16793086711210664,3.718129303326994,29.782661134293086,29.784181412904893,29.77658001984586,4.0100000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
165.0,6.57857135632505,6.57857135632505,0.16975824804441916,3.7200065467165855,29.89381874508176,29.895343511216673,29.88771968054209,3.55e-05,True,True,False,False,phase6r_full_state_pure_reduced
170.0,6.513503240789359,6.513503240789359,0.17156755450019398,3.721803099287684,30.002242349557648,30.003771449996506,29.99612594780222,3.5600000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
175.0,6.450035129124553,6.450035129124553,0.1733592309249508,3.723521536685176,30.10799192710408,30.10952521274236,30.10185878455098,3.41e-05,True,True,False,False,phase6r_full_state_pure_reduced
180.0,6.388129858644925,6.388129858644925,0.17513371144124107,3.725164624200048,30.211126625571055,30.21266395340823,30.204977314222333,6.55e-05,True,True,False,False,phase6r_full_state_pure_reduced
185.0,6.327761163545257,6.327761163545257,0.1768914228755592,3.72673529658213,30.311705074164344,30.313246308982066,30.305540134893455,4.78e-05,True,True,False,False,phase6r_full_state_pure_reduced
190.0,6.2689113986643585,6.2689113986643585,0.17863278715296596,3.7282366226663015,30.409785621863858,30.411330637525666,30.40360555921663,4.69e-05,True,True,False,False,phase6r_full_state_pure_reduced
195.0,6.211569184693457,6.211569184693457,0.18035822303760304,3.7296717597026334,30.505426497945315,30.506975178284353,30.49923177658915,4.8400000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
200.0,6.15572711089109,6.15572711089109,0.18206814723507278,3.7310439021061614,30.59868589653972,30.600238135831486,30.592476939372677,4.77e-05,True,True,False,False,phase6r_full_state_pure_reduced
205.0,6.1013796140838625,6.1013796140838625,0.18376297490565163,3.732356228946672,30.689621991624776,30.69117769466834,30.68339917945051,4.8400000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
210.0,6.048521127903036,6.048521127903036,0.1854431196634025,3.7336118538870924,30.778292892209432,30.779851974061653,30.77205656480054,4.8e-05,True,True,False,False,phase6r_full_state_pure_reduced
215.0,5.997144566295378,5.997144566295378,0.1871089931540401,3.734813780494852,30.864756549642273,30.86631893506371,30.858507007956533,4.8100000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
220.0,5.947240173639216,5.947240173639216,0.1887610043133843,3.7359648649684165,30.949070629948988,30.95063625262832,30.94280813923165,4.85e-05,True,True,False,False,phase6r_full_state_pure_reduced
225.0,5.898794743716288,5.898794743716288,0.19039955840886105,3.73706778742824,31.03129236399785,31.032861165623284,31.025017157496116,4.5900000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
230.0,5.851791184241832,5.851791184241832,0.19202505596003933,3.738125032100858,31.1114783873039,31.11305031654654,31.105190670333347,4.64e-05,True,True,False,False,phase6r_full_state_pure_reduced
235.0,5.806208384569075,5.806208384569075,0.19363789162241962,3.739138876040745,31.18968457966393,31.19125959113088,31.18338453379613,4.8100000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
240.0,5.762021332337107,5.762021332337107,0.19523845310362437,3.7401113855247123,31.26596591283031,31.267543966035483,31.25965370000963,6.050000000000001e-05,True,True,False,False,phase6r_full_state_pure_reduced
245.0,5.71920141993419,5.71920141993419,0.1968271201647172,3.741044418928121,31.34037631232475,31.341957370714503,31.334052078765737,4.9500000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
250.0,5.677716882620006,5.677716882620006,0.19840426374322276,3.7419396347377174,31.412968537461325,31.414552567521373,31.406632417221125,4.58e-05,True,True,False,False,phase6r_full_state_pure_reduced
255.0,5.637533315465964,5.637533315465964,0.19997024521974108,3.7427985033435114,31.483794081832862,31.48538105229293,31.477446199992603,4.52e-05,True,True,False,False,phase6r_full_state_pure_reduced
260.0,5.598614224301049,5.598614224301049,0.20152541583760247,3.743627064950508,31.552903094999163,31.554492976143443,31.546543570422035,4.6200000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
265.0,5.560921575108972,5.560921575108972,0.20307011627513274,3.7444320370826047,31.62034432493264,31.62193708801739,31.613973272593626,5.8800000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
270.0,5.5244163156293755,5.5244163156293755,0.20460467636280757,3.7452151093511366,31.68616507992124,31.68776069669563,31.679782612823672,5.7700000000000007e-05,True,True,False,False,phase6r_full_state_pure_reduced
275.0,5.48905885144876,5.48905885144876,0.20612941493265446,3.7459778191001694,31.75041120806697,31.7520096503899,31.744017438775252,5.44e-05,True,True,False,False,phase6r_full_state_pure_reduced
280.0,5.454809466144213,5.454809466144213,0.20764463978436118,3.7467215702722414,31.81312709220507,31.814728331748434,31.806722134031613,5.5100000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
285.0,5.42162868086652,5.42162868086652,0.20915064775126854,3.7474476493022197,31.874355657951423,31.87595966597925,31.867939625840116,5.47e-05,True,True,False,False,phase6r_full_state_pure_reduced
290.0,5.389477553125785,5.389477553125785,0.21064772484935904,3.7481572395932137,31.934138392613725,31.93574513982632,31.92771140376334,5.42e-05,True,True,False,False,phase6r_full_state_pure_reduced
295.0,5.3583179176105045,5.3583179176105045,0.21213614649313972,3.748851434490938,31.992515372830184,31.994124829262788,31.986077547099754,5.3500000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
300.0,5.328112573835913,5.328112573835913,0.2136161777636497,3.7495312487562713,32.04952529899065,32.05113743395683,32.04307675912593,4.94e-05,True,True,False,False,phase6r_full_state_pure_reduced
305.0,5.298825426506941,5.298825426506941,0.21508807371545718,3.7501976285946297,32.105205534719545,32.10682031679047,32.09874640643586,5.7100000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
310.0,5.270421584913433,5.270421584913433,0.21655207971126647,3.7508514603394807,32.159592149935364,32.161209546947234,32.1531225618879,4.1500000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
315.0,5.242867427642307,5.242867427642307,0.21800843177450044,3.7514935779098866,32.21271996623336,32.2143399453163,32.20624004990161,4.08e-05,True,True,False,False,phase6r_full_state_pure_reduced
320.0,5.216130638550951,5.216130638550951,0.2194573569518757,3.7521247691723807,32.26462260355498,32.266245131177755,32.25813249306389,4.5100000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
325.0,5.190180219421863,5.190180219421863,0.22089907367949288,3.7527457813390157,32.31533252730494,32.316957569330825,32.30883235920141,4.5600000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
330.0,5.164986484101977,5.164986484101977,0.22233379214729898,3.753357325528934,32.36488109525065,32.36650861700063,32.35837100825072,4.1700000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
335.0,5.140521038286081,5.140521038286081,0.223761714657934,3.7539600806123343,32.413298603689384,32.41492857000968,32.40677873840821,4.69e-05,True,True,False,False,phase6r_full_state_pure_reduced
340.0,5.116756748475471,5.116756748475471,0.22518303597695496,3.7545546964451,32.46061433249583,32.46224670782727,32.45408483117008,4.8200000000000006e-05,True,True,False,False,phase6r_full_state_pure_reduced
345.0,5.093667703057454,5.093667703057454,0.2265979436722487,3.7551417965906184,32.506856588769004,32.508491337216476,32.500317594979116,3.97e-05,True,True,False,False,phase6r_full_state_pure_reduced
350.0,5.071229167923061,5.071229167923061,0.22800661844111622,3.755721980613539,32.55205274888446,32.55368983428502,32.54550440728226,4.19e-05,True,True,False,False,phase6r_full_state_pure_reduced
355.0,5.049417538575693,5.049417538575693,0.22940923442405392,3.7562958260187282,32.5962292988282,32.59786868481677,32.58967175487393,5.7e-05,True,True,False,False,phase6r_full_state_pure_reduced
360.0,5.0282102902829235,5.0282102902829235,0.23080595950468807,3.7568638898980566,32.639411872744205,32.641053522816264,32.63284527245595,5.5900000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
365.0,5.007585927484255,5.007585927484255,0.23219695559565592,3.7574267103379673,32.681625289671395,32.6832691672421,32.675049779388566,4.5100000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
370.0,4.98752393338428,4.98752393338428,0.2335823789104849,3.7579848076321385,32.72289358847886,32.724539656938326,32.716309314641,4.6200000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
375.0,4.968004720427202,4.968004720427202,0.23496238022171467,3.7585386853359957,32.76324006103316,32.7648882837978,32.75664716997459,4.5600000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
380.0,4.949009582158831,4.949009582158831,0.23633710510564768,3.759088831193312,32.80268728364965,32.804337624209566,32.79608592140997,4.66e-05,True,True,False,False,phase6r_full_state_pure_reduced
385.0,4.9305206468295255,4.9305206468295255,0.23770669417421145,3.759635717959559,32.84125714689211,32.842909568854544,32.83464745904237,4.64e-05,True,True,False,False,phase6r_full_state_pure_reduced
390.0,4.912520832970667,4.912520832970667,0.23907128329448107,3.7601798041419565,32.878970883793365,32.88062535092237,32.872353015277334,4.6700000000000003e-05,True,True,False,False,phase6r_full_state_pure_reduced
395.0,4.894993807082443,4.894993807082443,0.2404310037964484,3.760721534672247,32.915849096574,32.9175055728265,32.909223191563996,4.4800000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
400.0,4.877923943497906,4.877923943497906,0.24178598266964227,3.761261341524947,32.951911781938804,32.9535702314972,32.945277983705225,4.4500000000000004e-05,True,True,False,False,phase6r_full_state_pure_reduced
405.0,4.861296286432969,4.861296286432969,0.24313634274920698,3.7617996442911577,32.987178355030444,32.98883874233201,32.98053680582419,4.44e-05,True,True,False,False,phase6r_full_state_pure_reduced
410.0,4.845096514191201,4.845096514191201,0.24448220289203787,3.7623368507158315,33.021667672118575,33.02332996188182,33.0150185130656,4.55e-05,True,True,False,False,phase6r_full_state_pure_reduced
415.0,4.829310905462885,4.829310905462885,0.24582367814355532,3.7628733572046342,33.055398052100514,33.057062209348764,33.048741423107515,4.32e-05,True,True,False,False,phase6r_full_state_pure_reduced
420.0,4.813926307637519,4.813926307637519,0.24716087989567687,3.7634095493051336,33.08838729688609,33.090053286968455,33.08172333655664,4.6200000000000005e-05,True,True,False,False,phase6r_full_state_pure_reduced
