time_s,charge_current_a,raw_requested_current_a,soc,terminal_voltage_v,average_temperature_c,core_temperature_c,surface_temperature_c,evaluation_time_s,optimizer_success,prediction_feasible,used_fallback,target_current_cap_active,source
0.0,0.0,0.0,0.1,3.2959070147319616,25.0,25.0,25.0,0.0,True,True,False,False,phase6r_rolling_mpc_reduced
5.0,2.000000000000001,2.000000000000001,0.10055555555555556,3.3455056002961303,25.007004458575764,25.007045430273152,25.00684057178621,0.72856569999567,True,True,False,False,phase6r_rolling_mpc_reduced
10.0,4.000000000000003,4.000000000000003,0.10166666666666668,3.4008262851352056,25.036521470261313,25.036695407015962,25.035825723242713,0.693592700001318,True,True,False,False,phase6r_rolling_mpc_reduced
15.0,5.999999999999992,5.999999999999992,0.10333333333333335,3.4609603507892244,25.105794149108576,25.10620602873598,25.10414663059896,0.5948095999992802,True,True,False,False,phase6r_rolling_mpc_reduced
20.0,7.999999999999992,7.999999999999992,0.10555555555555557,3.5252111828954265,25.233304474203038,25.23406967417714,25.23024367430663,0.7259743000031449,True,True,False,False,phase6r_rolling_mpc_reduced
25.0,9.894715516470807,9.894715516470807,0.10830408764346412,3.590429343420518,25.434428005150025,25.43564711195964,25.429551577911564,0.6264005999983056,True,True,False,False,phase6r_rolling_mpc_reduced
30.0,9.626811887828156,9.626811887828156,0.11097820205674973,3.6049144625384826,25.63658388208742,25.63784580389465,25.631536194858523,0.3063936000035028,True,True,False,False,phase6r_rolling_mpc_reduced
35.0,9.38190739410198,9.38190739410198,0.11358428744400027,3.61642453560335,25.837442263981576,25.83873356281574,25.832277068644917,0.31138349999673665,True,True,False,False,phase6r_rolling_mpc_reduced
40.0,9.170006940778011,9.170006940778011,0.11613151159421639,3.626050120611509,26.035975859609742,26.0372902892419,26.030718141081103,0.3085977000009734,True,True,False,False,phase6r_rolling_mpc_reduced
45.0,8.983476491794391,8.983476491794391,0.11862692173082594,3.634269253683537,26.23153372313091,26.232867050840223,26.22620041229365,0.31645790000038687,True,True,False,False,phase6r_rolling_mpc_reduced
50.0,8.815872818229463,8.815872818229463,0.12107577529144524,3.641410605956534,26.42368262807286,26.42503177562031,26.41828603788305,0.3153272999988985,True,True,False,False,phase6r_rolling_mpc_reduced
55.0,8.731903403961029,8.731903403961029,0.12350130401476775,3.6494313658375592,26.614778356112318,26.6161564799858,26.609265860618386,0.10433570000168402,True,True,False,False,phase6r_rolling_mpc_reduced
60.0,8.529534750505563,8.529534750505563,0.12587061922324153,3.6537853242337324,26.799802547663838,26.801180100971557,26.794292334432953,0.313262499999837,True,True,False,False,phase6r_rolling_mpc_reduced
65.0,8.450189011812862,8.450189011812862,0.1282178939487451,3.660242628133571,26.98287301485821,26.984272974065547,26.977273178028852,0.10364770000160206,True,True,False,False,phase6r_rolling_mpc_reduced
