state_id,successful_feasible_count,optimizer_success_count,prediction_feasible_count,fallback_count,near_optimal_solution_count,near_optimal_first_action_range_a,near_optimal_multivalued
audit_000,15,15,15,0,15,4.4231285301066237e-13,False
audit_001,15,15,15,0,15,2.682298827494378e-13,False
audit_002,15,15,15,0,15,1.723066134218243e-13,False
audit_003,15,15,15,0,15,2.4868995751603507e-13,False
audit_004,15,15,15,0,15,1.2079226507921703e-13,False
audit_005,15,15,15,0,15,6.767919558114954e-13,False
audit_006,15,15,15,0,15,5.684341886080802e-14,False
audit_007,15,15,15,0,15,6.359357485052897e-13,False
audit_008,15,15,15,0,15,1.3145040611561853e-13,False
audit_009,15,15,15,0,15,6.927791673660977e-14,False
audit_010,15,15,15,0,15,2.5934809855243657e-13,False
audit_011,15,15,15,0,15,2.5934809855243657e-13,False
audit_012,15,15,15,0,15,3.0375701953744283e-13,False
audit_013,15,15,15,0,15,1.900701818158268e-13,False
audit_014,15,15,15,0,15,1.4210854715202004e-14,False
audit_015,15,15,15,0,15,1.1546319456101628e-13,False
audit_016,15,15,15,0,15,3.1441516057384433e-13,False
audit_017,15,15,15,0,15,2.504663143554353e-13,False
audit_018,15,15,15,0,15,7.993605777301127e-14,False
audit_019,15,15,15,0,15,1.900701818158268e-13,False
audit_020,15,15,15,0,15,1.687538997430238e-13,False
audit_021,15,15,15,0,15,2.8421709430404007e-13,False
audit_022,15,15,15,0,15,1.0480505352461478e-13,False
audit_023,15,15,15,0,15,3.019806626980426e-14,False
audit_024,15,15,15,0,15,1.8474111129762605e-13,False
audit_025,15,15,15,0,15,9.414691248821327e-14,False
audit_026,15,15,15,0,15,1.687538997430238e-13,False
audit_027,15,15,15,0,15,1.1546319456101628e-13,False
audit_028,15,15,15,0,15,1.9539925233402755e-14,False
audit_029,15,15,15,0,15,1.5276668818842154e-13,False
audit_030,15,15,15,0,15,1.5631940186722204e-13,False
audit_031,15,15,15,0,15,6.394884621840902e-14,False
audit_032,15,15,15,0,15,6.217248937900877e-14,False
audit_033,15,15,15,0,15,7.283063041541027e-14,False
audit_034,15,15,15,0,15,3.019806626980426e-14,False
audit_035,15,15,15,0,15,1.438849039914203e-13,False
audit_036,15,15,15,0,15,3.197442310920451e-14,False
audit_037,15,15,15,0,15,7.638334409421077e-14,False
audit_038,15,15,15,0,15,9.592326932761353e-14,False
audit_039,15,15,15,0,15,4.085620730620576e-14,False
audit_040,15,15,15,0,15,4.618527782440651e-14,False
audit_041,15,15,15,0,15,9.059419880941277e-14,False
audit_042,15,15,15,0,15,5.684341886080802e-14,False
audit_043,15,15,15,0,15,4.796163466380676e-14,False
audit_044,15,15,15,0,15,4.973799150320701e-14,False
audit_045,15,15,15,0,15,1.1546319456101628e-13,False
audit_046,15,15,15,0,15,3.375077994860476e-14,False
audit_047,15,15,15,0,15,8.171241461241152e-14,False
audit_048,15,15,15,0,15,1.0658141036401503e-14,False
audit_049,15,15,15,0,15,6.394884621840902e-14,False
audit_050,15,15,15,0,15,3.552713678800501e-14,False
audit_051,15,15,15,0,15,3.019806626980426e-14,False
audit_052,15,15,15,0,15,4.085620730620576e-14,False
audit_053,15,15,15,0,15,2.842170943040401e-14,False
audit_054,15,15,15,0,15,3.197442310920451e-14,False
audit_055,15,15,15,0,15,4.440892098500626e-14,False
audit_056,15,15,15,0,15,3.019806626980426e-14,False
audit_057,15,15,15,0,15,8.881784197001252e-15,False
audit_058,15,15,15,0,15,1.7763568394002505e-14,False
audit_059,15,15,15,0,15,1.7763568394002505e-14,False
audit_060,15,15,15,0,15,1.2434497875801753e-14,False
audit_061,15,15,15,0,15,1.9539925233402755e-14,False
audit_062,15,15,15,0,15,3.552713678800501e-15,False
audit_063,15,15,15,0,15,8.881784197001252e-15,False
audit_064,15,15,15,0,15,1.4210854715202004e-14,False
audit_065,15,15,15,0,15,1.9539925233402755e-14,False
audit_066,15,15,15,0,15,3.552713678800501e-15,False
audit_067,15,15,15,0,15,2.842170943040401e-14,False
audit_068,15,15,15,0,15,3.552713678800501e-14,False
audit_069,15,15,15,0,15,3.375077994860476e-14,False
audit_070,15,15,15,0,15,4.956035581926699e-13,False
audit_071,15,15,15,0,15,2.4868995751603507e-14,False
audit_072,15,15,15,0,15,1.4210854715202004e-14,False
audit_073,15,15,15,0,15,3.552713678800501e-15,False
audit_074,15,15,15,0,15,1.0658141036401503e-14,False
audit_075,15,15,15,0,15,1.0942358130705543e-12,False
audit_076,15,15,15,0,15,2.9753977059954195e-12,False
audit_077,15,15,15,0,15,2.681588284758618e-11,False
audit_078,15,15,15,0,15,3.136335635645082e-11,False
audit_079,15,15,15,0,15,3.1299407510232413e-12,False
audit_080,15,15,15,0,15,2.524558340155636e-11,False
audit_081,15,15,15,0,15,8.79118999819184e-12,False
audit_082,15,15,15,0,15,3.3452351999585517e-11,False
audit_083,15,15,15,0,15,1.48876466710135e-11,False
audit_084,15,15,15,0,15,3.0304647680168273e-12,False
audit_085,15,15,15,0,15,1.821653938804957e-12,False
audit_086,15,15,15,0,15,6.836309296431864e-12,False
audit_087,15,15,15,0,15,7.035261262444692e-12,False
audit_088,15,15,15,0,15,6.4499516838623094e-12,False
audit_089,15,15,15,0,15,1.1608491945480637e-12,False
audit_090,15,15,15,0,15,2.0587975768648903e-12,False
audit_091,15,15,15,0,15,5.7979399059604475e-11,False
audit_092,15,15,15,0,15,2.1938006966593093e-13,False
audit_093,15,15,15,0,15,7.72715225139109e-14,False
audit_094,15,15,15,0,15,3.8191672047105385e-14,False
audit_095,15,15,15,0,15,4.884981308350689e-14,False
audit_096,15,15,15,0,15,3.9968028886505635e-14,False
audit_097,15,15,15,0,15,2.842170943040401e-14,False
audit_098,15,15,15,0,15,3.197442310920451e-14,False
audit_099,15,15,15,0,15,7.460698725481052e-14,False
