trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason
level1_000,train,True,8,
level1_001,train,True,8,
level1_002,validation,True,8,
level1_003,train,True,8,
level1_004,train,True,8,
level1_005,validation,True,8,
level1_006,train,True,8,
level1_007,train,True,8,
level1_008,train,True,8,
level1_009,test,True,8,
level1_010,train,True,8,
level1_011,test,True,8,
level1_012,train,True,8,
level1_013,train,True,8,
level1_014,train,True,8,
level1_015,test,True,8,
level1_016,test,True,8,
level1_017,train,True,8,
level1_018,train,True,8,
level1_019,train,True,8,
level1_020,train,True,8,
level1_021,train,True,8,
level1_022,train,True,8,
level1_023,train,True,8,
level1_024,train,True,8,
level1_025,train,True,8,
level1_026,test,True,8,
level1_027,test,True,8,
level1_028,validation,True,8,
level1_029,train,True,8,
level1_030,train,True,8,
level1_031,validation,True,8,
level1_032,train,True,8,
level1_033,train,True,8,
level1_034,train,True,8,
level1_035,train,True,8,
level1_036,train,True,8,
level1_037,train,True,8,
level1_038,train,True,8,
level1_039,train,True,8,
level1_040,train,True,8,
level1_041,train,True,8,
level1_042,validation,True,8,
level1_043,train,True,8,
level1_044,train,True,8,
level1_045,test,True,8,
level1_046,train,True,8,
level1_047,validation,True,8,
level1_048,validation,True,8,
level1_049,train,True,8,
level1_050,test,True,8,
level1_051,train,True,8,
level1_052,test,True,8,
level1_053,train,True,8,
level1_054,train,True,8,
level1_055,train,True,8,
level1_056,train,True,8,
level1_057,train,True,8,
level1_058,test,True,8,
level1_059,train,True,8,
level1_060,train,True,8,
level1_061,train,True,8,
level1_062,train,True,8,
level1_063,train,True,8,
level1_064,train,True,8,
level1_065,train,True,8,
level1_066,validation,True,8,
level1_067,train,True,8,
level1_068,test,True,8,
level1_069,test,True,8,
level1_070,train,True,8,
level1_071,test,True,8,
level1_072,train,True,8,
level1_073,train,True,8,
level1_074,train,True,8,
level1_075,train,True,8,
level1_076,train,True,8,
level1_077,train,True,8,
level1_078,test,True,8,
level1_079,train,True,8,
level1_080,train,True,8,
level1_081,validation,True,8,
level1_082,train,True,8,
level1_083,train,True,8,
level1_084,train,True,8,
level1_085,validation,True,8,
level1_086,validation,True,8,
level1_087,train,True,8,
level1_088,train,True,8,
level1_089,validation,True,8,
level1_090,validation,True,8,
level1_091,train,True,8,
level1_092,train,True,8,
level1_093,train,True,8,
level1_094,train,True,8,
level1_095,train,True,8,
level1_096,train,True,8,
level1_097,train,True,8,
level1_098,train,True,8,
level1_099,train,True,8,
level1_100,validation,True,8,
level1_101,train,True,8,
level1_102,train,True,8,
level1_103,validation,True,8,
level1_104,test,True,8,
level1_105,validation,True,8,
level1_106,validation,True,8,
level1_107,train,True,8,
level1_108,train,True,8,
level1_109,train,True,8,
level1_110,train,True,8,
level1_111,validation,True,8,
level1_112,train,True,8,
level1_113,train,True,8,
level1_114,train,True,8,
level1_115,train,True,8,
level1_116,train,True,8,
level1_117,test,True,8,
level1_118,train,True,8,
level1_119,validation,True,8,
level1_120,test,True,8,
level1_121,train,True,8,
level1_122,train,True,8,
level1_123,train,True,8,
level1_124,train,True,8,
level1_125,train,True,8,
level1_126,validation,True,8,
level1_127,train,True,8,
level1_128,train,True,8,
level1_129,train,True,8,
level1_130,train,True,8,
level1_131,train,True,8,
level1_132,train,True,8,
level1_133,train,True,8,
level1_134,train,True,8,
level1_135,test,True,8,
level1_136,validation,True,8,
level1_137,train,True,8,
level1_138,train,True,8,
level1_139,train,True,8,
level1_140,train,True,8,
level1_141,train,True,8,
level1_142,train,True,8,
level1_143,train,True,8,
level1_144,train,True,8,
level1_145,train,True,8,
level1_146,train,True,8,
level1_147,validation,True,8,
level1_148,test,True,8,
level1_149,train,True,8,
level1_150,train,True,8,
level1_151,train,True,8,
level1_152,train,True,8,
level1_153,test,True,8,
level1_154,train,True,8,
level1_155,train,True,8,
level1_156,test,True,8,
level1_157,validation,True,8,
level1_158,test,True,8,
level1_159,validation,True,8,
level1_160,train,True,8,
level1_161,train,True,8,
level1_162,train,True,8,
level1_163,validation,True,8,
level1_164,train,True,8,
level1_165,train,True,8,
level1_166,train,True,8,
level1_167,test,True,8,
level1_168,train,True,8,
level1_169,train,True,8,
level1_170,train,True,8,
level1_171,train,True,8,
level1_172,train,True,8,
level1_173,train,True,8,
level1_174,train,True,8,
level1_175,train,True,8,
level1_176,test,True,8,
level1_177,train,True,8,
level1_178,train,True,8,
level1_179,train,True,8,
level1_180,train,True,8,
level1_181,train,True,8,
level1_182,test,True,8,
level1_183,validation,True,8,
level1_184,validation,True,8,
level1_185,train,True,8,
level1_186,train,True,8,
level1_187,validation,True,8,
level1_188,train,True,8,
