state_id,trajectory_id,step_index,state_soc,state_polarization_v
audit_000,level1r_terminal_000,0,0.7402107142857143,0.05
audit_001,level1r_terminal_010,1,0.7460607428429298,0.07431408827120607
audit_002,level1r_terminal_009,3,0.7488872475521381,0.04409666389942835
audit_003,level1r_terminal_018,2,0.7510069351472766,0.0669216263496427
audit_004,level1r_terminal_030,0,0.7528535714285715,0.096875
audit_005,level1r_terminal_003,8,0.7544070527127412,0.048579558359873834
audit_006,level1r_terminal_037,0,0.7558035714285715,0.0390625
audit_007,level1r_terminal_002,10,0.7571253565331417,0.0532127081161056
audit_008,level1r_terminal_001,11,0.7582841928577281,0.05060736873675467
audit_009,level1r_terminal_000,12,0.7594310537406067,0.051411468490489595
audit_010,level1r_terminal_022,7,0.7604311176812235,0.05615222955525347
audit_011,level1r_terminal_032,5,0.7614244325622791,0.05076978634673003
audit_012,level1r_terminal_027,7,0.7624378925874752,0.04670868718079201
audit_013,level1r_terminal_044,3,0.763312995772209,0.05840612553302688
audit_014,level1r_terminal_020,10,0.7641737142179603,0.05105464674322967
audit_015,level1r_terminal_030,8,0.7650670242217614,0.05441915165755754
audit_016,level1r_terminal_005,15,0.7658647258162337,0.04977689555910834
audit_017,level1r_terminal_007,15,0.7666221708952493,0.049189942736551646
audit_018,level1r_terminal_009,15,0.7673748254029467,0.04932767340797344
audit_019,level1r_terminal_011,15,0.7681306733530949,0.048982279504633554
audit_020,level1r_terminal_009,16,0.7688429836427976,0.049042205982334705
audit_021,level1r_terminal_052,5,0.7695268968820042,0.052737962238986205
audit_022,level1r_terminal_028,12,0.7701852023582664,0.049110584876255865
audit_023,level1r_terminal_026,13,0.7708229431198614,0.048767328206954126
audit_024,level1r_terminal_074,0,0.7713964285714285,0.08203125
audit_025,level1r_terminal_014,17,0.7719533486011356,0.0473356358024857
audit_026,level1r_terminal_060,5,0.7725355766717653,0.05191280495412967
audit_027,level1r_terminal_078,0,0.7730821428571428,0.09453125000000001
audit_028,level1r_terminal_063,5,0.7735989398962537,0.03372834071968018
audit_029,level1r_terminal_054,8,0.7741042188126924,0.048611296270188314
audit_030,level1r_terminal_066,5,0.774625771230123,0.05009359163673675
audit_031,level1r_terminal_035,14,0.7750754928857718,0.04265114747875488
audit_032,level1r_terminal_051,10,0.7755099066526169,0.040859397048043575
audit_033,level1r_terminal_056,9,0.7759506554259746,0.04284899711866503
audit_034,level1r_terminal_061,8,0.7764087163349603,0.041267380197066474
audit_035,level1r_terminal_030,17,0.7768680964056324,0.04103817568196144
audit_036,level1r_terminal_077,4,0.7772776529203518,0.03954688434814984
audit_037,level1r_terminal_029,18,0.7776875566499948,0.039437610477337987
audit_038,level1r_terminal_023,20,0.7781038021151311,0.0386330770154827
audit_039,level1r_terminal_017,22,0.7785394289648087,0.03804119419353656
audit_040,level1r_terminal_076,6,0.7789615178433232,0.04139145340111192
audit_041,level1r_terminal_039,17,0.7793582628848018,0.03641985265091003
audit_042,level1r_terminal_018,23,0.7797489606705926,0.03613743660055761
audit_043,level1r_terminal_046,16,0.7801598291290973,0.03582212442070041
audit_044,level1r_terminal_062,12,0.7805598050203079,0.036193699651311584
audit_045,level1r_terminal_049,16,0.780953727825171,0.033889115863016586
audit_046,level1r_terminal_047,17,0.7813523271923499,0.03310790809229957
audit_047,level1r_terminal_045,18,0.781732773001663,0.032774066882173714
audit_048,level1r_terminal_043,19,0.782114382146863,0.032036782658135254
audit_049,level1r_terminal_041,20,0.7824870158446035,0.031482492116102156
audit_050,level1r_terminal_039,21,0.782850183878559,0.03076850405978949
audit_051,level1r_terminal_048,19,0.7832161452175476,0.030259476787945123
