trajectory_id,initial_soc,initial_polarization_v,split
level1r_tail_train_000,0.7951,0.06406250000000001,train
level1r_tail_train_001,0.7953,0.0390625,train
level1r_tail_train_002,0.7955000000000001,0.0890625,train
level1r_tail_train_003,0.7957000000000001,0.0078125,train
level1r_tail_train_004,0.7959,0.0578125,train
level1r_tail_train_005,0.7961,0.0328125,train
level1r_tail_train_006,0.7963,0.08281250000000001,train
level1r_tail_train_007,0.7965,0.0203125,train
level1r_tail_train_008,0.7967000000000001,0.0703125,train
level1r_tail_train_009,0.7969,0.045312500000000006,train
level1r_tail_train_010,0.7971,0.09531250000000001,train
level1r_tail_train_011,0.7973,0.004687500000000001,train
level1r_tail_train_012,0.7975000000000001,0.0546875,train
level1r_tail_train_013,0.7977000000000001,0.029687500000000002,train
level1r_tail_train_014,0.7979,0.07968750000000001,train
level1r_tail_train_015,0.7981,0.0171875,train
level1r_tail_train_016,0.7983,0.0671875,train
level1r_tail_train_017,0.7985,0.0421875,train
level1r_tail_train_018,0.7987000000000001,0.0921875,train
level1r_tail_train_019,0.7989,0.010937500000000001,train
