trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason
level1r_tail_train_000,train,True,24,
level1r_tail_train_001,train,True,24,
level1r_tail_train_002,train,True,24,
level1r_tail_train_003,train,True,24,
level1r_tail_train_004,train,True,24,
level1r_tail_train_005,train,True,24,
level1r_tail_train_006,train,True,24,
level1r_tail_train_007,train,True,24,
level1r_tail_train_008,train,True,24,
level1r_tail_train_009,train,True,24,
level1r_tail_train_010,train,True,24,
level1r_tail_train_011,train,True,24,
level1r_tail_train_012,train,True,24,
level1r_tail_train_013,train,True,24,
level1r_tail_train_014,train,True,24,
level1r_tail_train_015,train,True,24,
level1r_tail_train_016,train,True,24,
level1r_tail_train_017,train,True,24,
level1r_tail_train_018,train,True,24,
level1r_tail_train_019,train,True,24,
