state_id,successful_feasible_count,optimizer_success_count,prediction_feasible_count,fallback_count,near_optimal_solution_count,near_optimal_first_action_range_a,near_optimal_multivalued
audit_000,15,15,15,0,15,3.552713678800501e-14,False
audit_001,15,15,15,0,15,2.6645352591003757e-14,False
audit_002,15,15,15,0,15,6.750155989720952e-14,False
audit_003,15,15,15,0,15,8.171241461241152e-14,False
audit_004,15,15,15,0,15,2.1316282072803006e-14,False
audit_005,15,15,15,0,15,2.7533531010703882e-14,False
audit_006,15,15,15,0,15,5.062616992290714e-14,False
audit_007,15,15,15,0,15,3.4638958368304884e-14,False
audit_008,15,15,15,0,15,7.016609515630989e-14,False
audit_009,15,15,15,0,15,6.927791673660977e-14,False
audit_010,15,15,15,0,15,3.4638958368304884e-14,False
audit_011,15,15,15,0,15,2.6965096822095802e-12,False
audit_012,15,15,15,0,15,1.6431300764452317e-12,False
audit_013,15,15,15,0,15,3.277378368693462e-13,False
audit_014,15,15,15,0,15,3.846275742347416e-08,False
audit_015,15,15,15,0,15,7.611689056830073e-13,False
audit_016,15,15,15,0,15,0.0007642954226740883,False
audit_017,15,15,15,0,15,0.00018320009294825468,False
audit_018,15,15,15,0,15,0.000302537292010463,False
audit_019,15,15,15,0,15,0.0004108685073918039,False
audit_020,15,15,15,0,15,0.0007886087969204425,False
audit_021,15,15,15,0,15,0.000729026848651948,False
audit_022,15,15,15,0,15,0.000244806152520205,False
audit_023,15,15,15,0,15,0.014417653871676706,False
audit_024,15,15,15,0,15,0.010345111909188631,False
audit_025,15,15,15,0,15,0.0004413682742558933,False
audit_026,15,15,15,0,15,0.0001668090794328947,False
audit_027,15,15,15,0,15,0.0004900628413961883,False
audit_028,15,15,15,0,15,0.014107688125903906,False
audit_029,15,15,15,0,15,0.010491041541636825,False
audit_030,15,15,15,0,15,0.0072057423111790975,False
audit_031,15,15,15,0,15,0.012446797414819688,False
audit_032,15,15,15,0,15,0.0011780374615639744,False
audit_033,15,15,15,0,15,0.012759612147656085,False
audit_034,15,15,15,0,15,0.01220708542753357,False
audit_035,15,15,15,0,15,0.0159343984312601,False
audit_036,15,15,15,0,15,0.022514764548535737,False
audit_037,15,15,15,0,15,0.03387401681471314,False
audit_038,15,15,15,0,15,0.007955462662295076,False
audit_039,15,15,15,0,15,0.011345136729325578,False
audit_040,15,15,15,0,15,0.008526204498868317,False
audit_041,15,15,15,0,15,0.017763693557310223,False
audit_042,15,15,15,0,15,0.016715410658791452,False
audit_043,15,15,15,0,15,0.0008305686376353094,False
audit_044,15,15,15,0,15,0.0003831037183239516,False
audit_045,15,15,15,0,15,0.0006865634071742122,False
audit_046,15,15,15,0,15,0.006284007774505884,False
audit_047,15,15,15,0,15,0.0007743656653342867,False
audit_048,15,15,15,0,15,0.0003888151934101636,False
audit_049,15,15,15,0,15,0.0007372714937994296,False
audit_050,15,15,15,0,15,0.0007600640716840523,False
audit_051,15,15,15,0,15,0.0062232576747915935,False
audit_052,15,15,15,0,15,0.0005972385107586575,False
audit_053,15,15,15,0,15,0.015207641555508022,False
audit_054,15,15,15,0,15,0.012876267301411115,False
audit_055,15,15,15,0,15,0.009800952908509242,False
audit_056,15,15,15,0,15,0.009454031474938063,False
audit_057,15,15,15,0,15,0.004439838309081567,False
audit_058,15,15,15,0,15,0.0015788611934617336,False
audit_059,15,15,15,0,15,0.0015499209890992294,False
audit_060,15,15,15,0,15,0.0044938341213427435,False
audit_061,15,15,15,0,15,0.016061323707263098,False
audit_062,15,15,15,0,15,0.009071094177231176,False
audit_063,15,15,15,0,15,0.011791460161984402,False
audit_064,15,15,15,0,15,0.013917855847317862,False
audit_065,15,15,15,0,15,0.016445721891962695,False
audit_066,15,15,15,0,15,0.0011561601670204702,False
audit_067,15,15,15,0,15,0.015151763148193664,False
audit_068,15,15,15,0,15,0.017147087799602723,False
audit_069,15,15,15,0,15,0.014708972812700116,False
audit_070,15,15,15,0,15,0.012469098976065851,False
audit_071,15,15,15,0,15,0.009997476250803938,False
audit_072,15,15,15,0,15,0.01627930786976739,False
audit_073,15,15,15,0,15,0.005250887255437209,False
audit_074,15,15,15,0,15,0.0034474412179147373,False
audit_075,15,15,15,0,15,0.0012892984103903826,False
audit_076,15,15,15,0,15,0.002342830727330436,False
audit_077,15,15,15,0,15,0.0036451298564083023,False
audit_078,15,15,15,0,15,0.0055484424721772285,False
audit_079,15,15,15,0,15,0.006924382451613309,False
audit_080,15,15,15,0,15,0.008429818531310973,False
audit_081,15,15,15,0,15,0.009602909674411575,False
audit_082,15,15,15,0,15,0.011179225633611178,False
audit_083,15,15,15,0,15,0.012301948786641703,False
audit_084,15,15,15,0,15,0.01649052475438778,False
audit_085,15,15,15,0,15,0.013576789623654384,False
audit_086,15,15,15,0,15,0.014366335440155475,False
audit_087,15,15,15,0,15,0.0006909191812966009,False
audit_088,15,15,15,0,15,0.0010066910594238032,False
audit_089,15,15,15,0,15,0.0008564627470415975,False
audit_090,15,15,15,0,15,0.0007041572588928902,False
audit_091,15,15,15,0,15,0.0003550327425742017,False
audit_092,15,15,15,0,15,0.012954808289372705,False
audit_093,15,15,15,0,15,0.012021950265931086,False
audit_094,15,15,15,0,15,0.010792656305119497,False
audit_095,15,15,15,0,15,0.009599986398024785,False
audit_096,15,15,15,0,15,0.008758994688151611,False
audit_097,15,15,15,0,15,0.008870947153054295,False
audit_098,15,15,15,0,15,0.0066709466618500995,False
audit_099,15,15,15,0,15,0.0043561829572733995,False
