trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason
level1r_terminal_000,train,True,24,
level1r_terminal_001,train,True,24,
level1r_terminal_002,terminal_test,True,24,
level1r_terminal_003,terminal_test,True,24,
level1r_terminal_004,train,True,24,
level1r_terminal_005,train,True,24,
level1r_terminal_006,validation,True,24,
level1r_terminal_007,train,True,24,
level1r_terminal_008,train,True,24,
level1r_terminal_009,train,True,24,
level1r_terminal_010,train,True,24,
level1r_terminal_011,train,True,24,
level1r_terminal_012,train,True,24,
level1r_terminal_013,train,True,24,
level1r_terminal_014,train,True,24,
level1r_terminal_015,train,True,24,
level1r_terminal_016,train,True,24,
level1r_terminal_017,train,True,24,
level1r_terminal_018,validation,True,24,
level1r_terminal_019,terminal_test,True,24,
level1r_terminal_020,validation,True,24,
level1r_terminal_021,train,True,24,
level1r_terminal_022,terminal_test,True,24,
level1r_terminal_023,train,True,24,
level1r_terminal_024,train,True,24,
level1r_terminal_025,train,True,24,
level1r_terminal_026,train,True,24,
level1r_terminal_027,train,True,24,
level1r_terminal_028,terminal_test,True,24,
level1r_terminal_029,validation,True,24,
level1r_terminal_030,train,True,24,
level1r_terminal_031,train,True,24,
level1r_terminal_032,train,True,24,
level1r_terminal_033,train,True,24,
level1r_terminal_034,train,True,24,
level1r_terminal_035,train,True,24,
level1r_terminal_036,train,True,24,
level1r_terminal_037,train,True,24,
level1r_terminal_038,terminal_test,True,24,
level1r_terminal_039,train,True,24,
level1r_terminal_040,train,True,24,
level1r_terminal_041,terminal_test,True,24,
level1r_terminal_042,train,True,24,
level1r_terminal_043,validation,True,24,
level1r_terminal_044,validation,True,24,
level1r_terminal_045,train,True,24,
level1r_terminal_046,validation,True,24,
level1r_terminal_047,train,True,24,
level1r_terminal_048,train,True,24,
level1r_terminal_049,train,True,24,
level1r_terminal_050,terminal_test,True,24,
level1r_terminal_051,train,True,24,
level1r_terminal_052,train,True,24,
level1r_terminal_053,terminal_test,True,24,
level1r_terminal_054,train,True,24,
level1r_terminal_055,validation,True,24,
level1r_terminal_056,train,True,24,
level1r_terminal_057,terminal_test,True,24,
level1r_terminal_058,train,True,24,
level1r_terminal_059,train,True,24,
level1r_terminal_060,train,True,24,
level1r_terminal_061,train,True,24,
level1r_terminal_062,train,True,24,
level1r_terminal_063,train,True,24,
level1r_terminal_064,train,True,24,
level1r_terminal_065,train,True,24,
level1r_terminal_066,train,True,24,
level1r_terminal_067,terminal_test,True,24,
level1r_terminal_068,train,True,24,
level1r_terminal_069,train,True,24,
level1r_terminal_070,train,True,24,
level1r_terminal_071,terminal_test,True,24,
level1r_terminal_072,terminal_test,True,24,
level1r_terminal_073,train,True,24,
level1r_terminal_074,terminal_test,True,24,
level1r_terminal_075,train,True,24,
level1r_terminal_076,validation,True,24,
level1r_terminal_077,train,True,24,
level1r_terminal_078,validation,True,24,
level1r_terminal_079,train,True,24,
level1r_terminal_080,train,True,24,
level1r_terminal_081,train,True,24,
level1r_terminal_082,train,True,24,
level1r_terminal_083,train,True,24,
level1r_terminal_084,train,True,24,
level1r_terminal_085,train,True,24,
level1r_terminal_086,train,True,24,
level1r_terminal_087,train,True,24,
level1r_terminal_088,train,True,24,
level1r_terminal_089,train,True,24,
level1r_terminal_090,train,True,24,
level1r_terminal_091,train,True,24,
level1r_terminal_092,validation,True,24,
level1r_terminal_093,train,True,24,
level1r_terminal_094,train,True,24,
level1r_terminal_095,train,True,24,
level1r_terminal_096,train,True,24,
level1r_terminal_097,train,True,24,
level1r_terminal_098,terminal_test,True,24,
level1r_terminal_099,train,True,24,
level1r_terminal_100,validation,True,24,
level1r_terminal_101,validation,True,24,
level1r_terminal_102,train,True,24,
level1r_terminal_103,terminal_test,True,24,
level1r_terminal_104,train,True,24,
level1r_terminal_105,train,True,24,
level1r_terminal_106,train,True,24,
level1r_terminal_107,train,True,24,
level1r_terminal_108,terminal_test,True,24,
level1r_terminal_109,terminal_test,True,24,
level1r_terminal_110,train,True,24,
level1r_terminal_111,validation,True,24,
level1r_terminal_112,train,True,24,
level1r_terminal_113,train,True,24,
level1r_terminal_114,train,True,24,
level1r_terminal_115,terminal_test,True,24,
level1r_terminal_116,validation,True,24,
level1r_terminal_117,train,True,24,
level1r_terminal_118,train,True,24,
level1r_terminal_119,train,True,24,
level1r_terminal_120,train,True,24,
level1r_terminal_121,train,True,24,
level1r_terminal_122,train,True,24,
level1r_terminal_123,train,True,24,
level1r_terminal_124,train,True,24,
level1r_terminal_125,validation,True,24,
level1r_terminal_126,train,True,24,
level1r_terminal_127,validation,True,24,
level1r_terminal_128,validation,True,24,
level1r_terminal_129,train,True,24,
level1r_terminal_130,validation,True,24,
level1r_terminal_131,train,True,24,
level1r_terminal_132,train,True,24,
level1r_terminal_133,terminal_test,True,24,
level1r_terminal_134,train,True,24,
level1r_terminal_135,train,True,24,
level1r_terminal_136,train,True,24,
level1r_terminal_137,train,True,24,
level1r_terminal_138,validation,True,24,
level1r_terminal_139,train,True,24,
