seed,trajectory_id,signed_step_difference,discrete_arrival_time_difference_s,continuous_crossing_time_difference_s,cumulative_charge_error_ah
22,level2_closed_00,-2,-10.0,-12.048250638728177,6.760820542237096e-05
22,level2_closed_01,-3,-15.0,-13.663425236514286,-1.0958203985625106e-05
22,level2_closed_02,-3,-15.0,-12.93796756814379,-4.168131125952515e-05
22,level2_closed_03,-3,-15.0,-13.779398457669004,-1.2124475701429876e-05
22,level2_closed_04,-3,-15.0,-11.784496108650501,-6.836738636045602e-05
22,level2_closed_05,-3,-15.0,-13.437001456933103,-3.4882206312797984e-05
22,level2_closed_06,-3,-15.0,-13.441862195107433,-2.6226256405139894e-05
22,level2_closed_07,-3,-15.0,-13.76126521377978,-8.30977085778765e-06
22,level2_closed_08,-3,-15.0,-13.187356972914813,-1.7603385523222593e-05
22,level2_closed_09,-3,-15.0,-13.452823633024536,-2.4347325159763185e-05
22,level2_closed_10,-3,-15.0,-12.658171326044908,-4.1984473032307e-05
22,level2_closed_11,-3,-15.0,-13.685857587818191,-2.7295309779636532e-05
42,level2_closed_00,-2,-10.0,-13.186103949385597,9.048223533767442e-05
42,level2_closed_01,-3,-15.0,-14.173647502210315,-3.790820349852058e-06
42,level2_closed_02,-3,-15.0,-13.381769840867264,-3.1212631711083656e-05
42,level2_closed_03,-3,-15.0,-13.997010261406558,-1.1519836204519782e-05
42,level2_closed_04,-3,-15.0,-12.205700519229708,-5.829070067551672e-05
42,level2_closed_05,-3,-15.0,-14.1281783915897,-1.595129348825392e-05
42,level2_closed_06,-3,-15.0,-13.463011519946576,-2.8831201294742135e-05
42,level2_closed_07,-3,-15.0,-14.156937406078669,-4.394500176690346e-06
42,level2_closed_08,-3,-15.0,-13.630803914326634,-1.3603343125604776e-05
42,level2_closed_09,-3,-15.0,-13.98015941904032,-1.3562747120153694e-05
42,level2_closed_10,-3,-15.0,-13.273514619066304,-2.8832028911551787e-05
42,level2_closed_11,-3,-15.0,-13.813065210610148,-2.4805404370908947e-05
73,level2_closed_00,0,0.0,-3.1550195979447153,7.961152129954346e-05
73,level2_closed_01,-1,-5.0,-4.576177616398809,-2.110180715122725e-06
73,level2_closed_02,-1,-5.0,-3.951487918007274,-2.01425915768204e-05
73,level2_closed_03,-1,-5.0,-4.467437857867253,-6.1063392809362285e-06
73,level2_closed_04,-1,-5.0,-2.0476058533436117,-6.503980655783911e-05
73,level2_closed_05,-1,-5.0,-4.42154536709927,-1.0908851031861862e-05
73,level2_closed_06,-1,-5.0,-4.136311389507455,-1.54828277119792e-05
73,level2_closed_07,-1,-5.0,-4.564472812910253,-2.4647979504127054e-06
73,level2_closed_08,-1,-5.0,-4.187322201476718,-9.290983469472597e-06
73,level2_closed_09,-1,-5.0,-4.375081214668171,-9.101699066920648e-06
73,level2_closed_10,-1,-5.0,-3.61920086889495,-2.5796283171549324e-05
73,level2_closed_11,-1,-5.0,-4.386852981477432,-1.1795856532772732e-05
101,level2_closed_00,-1,-5.0,-8.280165960766112,8.93886497468404e-05
101,level2_closed_01,-2,-10.0,-9.491788142738187,1.5733154656219186e-06
101,level2_closed_02,-2,-10.0,-8.587830428301118,-2.684557066490672e-05
101,level2_closed_03,-2,-10.0,-9.303322812357692,-5.681021328661649e-06
101,level2_closed_04,-2,-10.0,-8.203130920603144,-3.261913362564428e-05
101,level2_closed_05,-2,-10.0,-9.365603282493794,-1.0413995743066253e-05
101,level2_closed_06,-2,-10.0,-8.739112787185604,-2.2704318653963027e-05
101,level2_closed_07,-2,-10.0,-9.520174406573005,2.1825218019620885e-06
101,level2_closed_08,-2,-10.0,-8.910135340610623,-9.621674526903865e-06
101,level2_closed_09,-2,-10.0,-9.162759934492897,-1.0642751876667313e-05
101,level2_closed_10,-2,-10.0,-8.448590987896068,-2.6173787085465646e-05
101,level2_closed_11,-2,-10.0,-9.025001375634929,-1.9619146302021465e-05
137,level2_closed_00,0,0.0,-2.9658440479726096,7.934656018938489e-05
137,level2_closed_01,-2,-10.0,-6.714834315203916,-7.2292659719311e-05
137,level2_closed_02,-1,-5.0,-4.831487504633969,4.543924223949287e-06
137,level2_closed_03,-2,-10.0,-6.7121750622559375,-7.510073913437054e-05
137,level2_closed_04,-1,-5.0,-3.240817244488653,-3.2695897766327816e-05
137,level2_closed_05,-1,-5.0,-6.56655954163989,4.5766336373592116e-05
137,level2_closed_06,-1,-5.0,-5.718359682630307,2.720208439686505e-05
137,level2_closed_07,-2,-10.0,-6.755865368410696,-7.135116377965131e-05
137,level2_closed_08,-2,-10.0,-5.340463045295337,-0.000104232457897524
137,level2_closed_09,-1,-5.0,-6.416890250515962,4.526722035222974e-05
137,level2_closed_10,-1,-5.0,-4.119229000320502,-1.0269818984751408e-05
137,level2_closed_11,-1,-5.0,-6.338379413406983,3.995765288019963e-05
