trajectory_id,initial_soc,initial_polarization_1_v,initial_polarization_2_v
level2_closed_00,0.653125,0.042222222222222223,0.0252
level2_closed_01,0.496875,0.008888888888888889,0.0432
level2_closed_02,0.621875,0.028888888888888888,0.06119999999999999
level2_closed_03,0.559375,0.04888888888888888,0.07919999999999999
level2_closed_04,0.684375,0.015555555555555553,0.010799999999999999
level2_closed_05,0.4578125,0.035555555555555556,0.0288
level2_closed_06,0.5828125,0.055555555555555546,0.0468
level2_closed_07,0.5203125,0.0044444444444444444,0.0648
level2_closed_08,0.6453125,0.024444444444444442,0.0828
level2_closed_09,0.4890625,0.04444444444444444,0.0144
level2_closed_10,0.6140625,0.01111111111111111,0.0324
level2_closed_11,0.5515625,0.031111111111111107,0.0504
