trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason
global_000,train,True,8,
global_001,train,True,8,
global_002,train,True,8,
global_003,test,True,8,
global_004,train,True,8,
global_005,validation,True,8,
global_006,train,True,8,
global_007,train,True,8,
global_008,train,True,8,
global_009,train,True,8,
global_010,train,True,8,
global_011,train,True,8,
global_012,train,True,8,
global_013,train,True,8,
global_014,train,True,8,
global_015,train,True,8,
global_016,train,True,8,
global_017,train,True,8,
global_018,validation,True,8,
global_019,test,True,8,
global_020,train,True,8,
global_021,train,True,8,
global_022,test,True,8,
global_023,train,True,8,
global_024,train,True,8,
global_025,validation,True,8,
global_026,train,True,8,
global_027,train,True,8,
global_028,validation,True,8,
global_029,train,True,8,
global_030,train,True,8,
global_031,train,True,8,
global_032,train,True,8,
global_033,train,True,8,
global_034,train,True,8,
global_035,train,True,8,
global_036,train,True,8,
global_037,train,True,8,
global_038,test,True,8,
global_039,train,True,8,
global_040,train,True,8,
global_041,validation,True,8,
global_042,train,True,8,
global_043,test,True,8,
global_044,train,True,8,
global_045,validation,True,8,
global_046,validation,True,8,
global_047,train,True,8,
global_048,train,True,8,
global_049,train,True,8,
global_050,train,True,8,
global_051,train,True,8,
global_052,train,True,8,
global_053,test,True,8,
global_054,train,True,8,
global_055,validation,True,8,
global_056,train,True,8,
global_057,test,True,8,
global_058,train,True,8,
global_059,train,True,8,
global_060,train,True,8,
global_061,validation,True,8,
global_062,validation,True,8,
global_063,train,True,8,
global_064,train,True,8,
global_065,train,True,8,
global_066,train,True,8,
global_067,test,True,8,
global_068,train,True,8,
global_069,train,True,8,
global_070,train,True,8,
global_071,test,True,8,
global_072,test,True,8,
global_073,train,True,8,
global_074,train,True,8,
global_075,train,True,8,
global_076,train,True,8,
global_077,train,True,8,
global_078,train,True,8,
global_079,validation,True,8,
global_080,train,True,8,
global_081,train,True,8,
global_082,train,True,8,
global_083,train,True,8,
global_084,train,True,8,
global_085,train,True,8,
global_086,train,True,8,
global_087,train,True,8,
global_088,train,True,8,
global_089,train,True,8,
global_090,train,True,8,
global_091,validation,True,8,
global_092,train,True,8,
global_093,train,True,8,
global_094,train,True,8,
global_095,train,True,8,
global_096,train,True,8,
global_097,validation,True,8,
global_098,test,True,8,
global_099,train,True,8,
global_100,validation,True,8,
global_101,train,True,8,
global_102,train,True,8,
global_103,test,True,8,
global_104,train,True,8,
global_105,train,True,8,
global_106,train,True,8,
global_107,train,True,8,
global_108,test,True,8,
global_109,test,True,8,
global_110,train,True,8,
global_111,train,True,8,
global_112,train,True,8,
global_113,train,True,8,
global_114,validation,True,8,
global_115,test,True,8,
global_116,train,True,8,
global_117,train,False,7,Positive directional derivative for linesearch
global_118,train,True,8,
global_119,train,True,8,
global_120,train,True,8,
global_121,validation,True,8,
global_122,train,True,8,
global_123,test,True,8,
global_124,train,True,8,
global_125,validation,True,8,
global_126,train,True,8,
global_127,train,True,8,
global_128,validation,True,8,
global_129,train,True,8,
global_130,test,True,8,
global_131,train,True,8,
global_132,train,True,8,
global_133,train,True,8,
global_134,validation,True,8,
global_135,train,True,8,
global_136,train,True,8,
global_137,train,True,8,
global_138,validation,True,8,
global_139,train,True,8,
global_140,train,True,8,
global_141,validation,True,8,
global_142,validation,True,8,
global_143,train,True,8,
global_144,train,True,8,
global_145,validation,True,8,
global_146,validation,True,8,
global_147,train,True,8,
global_148,validation,True,8,
global_149,train,True,8,
global_150,train,True,8,
global_151,train,True,8,
global_152,train,True,8,
global_153,train,True,8,
global_154,validation,True,8,
global_155,train,True,8,
global_156,test,True,8,
global_157,validation,True,8,
global_158,train,True,8,
global_159,test,True,8,
global_160,test,True,8,
global_161,train,True,8,
global_162,train,True,8,
global_163,train,True,8,
global_164,train,True,8,
global_165,train,True,8,
global_166,train,True,8,
global_167,train,True,8,
global_168,train,True,8,
global_169,test,True,8,
global_170,train,True,8,
global_171,train,True,8,
global_172,validation,True,8,
global_173,validation,True,8,
global_174,train,True,8,
global_175,train,True,8,
global_176,train,True,8,
global_177,validation,True,8,
global_178,test,True,8,
global_179,train,True,8,
global_180,train,True,8,
global_181,train,True,8,
global_182,train,True,8,
global_183,train,True,8,
global_184,train,True,8,
global_185,train,True,8,
global_186,train,True,8,
global_187,test,True,8,
global_188,train,True,8,
global_189,train,True,8,
global_190,train,True,8,
global_191,train,True,8,
global_192,train,True,8,
global_193,train,True,8,
global_194,train,True,8,
global_195,train,True,8,
global_196,test,True,8,
global_197,train,True,8,
global_198,train,True,8,
global_199,train,True,8,
global_200,test,True,8,
global_201,validation,True,8,
global_202,test,True,8,
global_203,train,True,8,
global_204,test,True,8,
global_205,train,True,8,
global_206,test,True,8,
global_207,validation,True,8,
global_208,train,True,8,
global_209,train,True,8,
global_210,train,True,8,
global_211,train,True,8,
global_212,train,True,8,
global_213,train,True,8,
global_214,validation,True,8,
global_215,test,True,8,
global_216,train,True,8,
global_217,test,True,8,
global_218,train,True,8,
global_219,validation,True,8,
global_220,train,True,8,
global_221,train,True,8,
global_222,validation,True,8,
global_223,train,True,8,
global_224,test,True,8,
global_225,test,True,8,
global_226,train,True,8,
global_227,train,True,8,
global_228,test,True,8,
global_229,train,True,8,
global_230,test,True,8,
global_231,train,True,8,
global_232,test,True,8,
global_233,test,True,8,
global_234,train,True,8,
global_235,train,True,8,
global_236,train,True,8,
global_237,validation,True,8,
global_238,train,True,8,
global_239,train,True,8,
