trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason
terminal_000,train,True,24,
terminal_001,train,True,24,
terminal_002,train,True,24,
terminal_003,train,True,24,
terminal_004,train,True,24,
terminal_005,train,True,24,
terminal_006,train,True,24,
terminal_007,terminal_test,True,24,
terminal_008,train,True,24,
terminal_009,train,True,24,
terminal_010,train,True,24,
terminal_011,train,True,24,
terminal_012,validation,True,24,
terminal_013,train,True,24,
terminal_014,train,True,24,
terminal_015,train,True,24,
terminal_016,train,True,24,
terminal_017,train,True,24,
terminal_018,train,True,24,
terminal_019,train,True,24,
terminal_020,train,True,24,
terminal_021,train,True,24,
terminal_022,train,True,24,
terminal_023,train,True,24,
terminal_024,train,True,24,
terminal_025,train,True,24,
terminal_026,train,True,24,
terminal_027,validation,True,24,
terminal_028,train,True,24,
terminal_029,terminal_test,True,24,
terminal_030,train,True,24,
terminal_031,train,True,24,
terminal_032,train,True,24,
terminal_033,validation,True,24,
terminal_034,train,True,24,
terminal_035,train,True,24,
terminal_036,train,True,24,
terminal_037,train,True,24,
terminal_038,train,True,24,
terminal_039,terminal_test,True,24,
terminal_040,train,True,24,
terminal_041,train,True,24,
terminal_042,validation,True,24,
terminal_043,terminal_test,True,24,
terminal_044,terminal_test,True,24,
terminal_045,train,True,24,
terminal_046,train,True,24,
terminal_047,train,True,24,
terminal_048,train,True,24,
terminal_049,train,True,24,
terminal_050,terminal_test,True,24,
terminal_051,train,True,24,
terminal_052,train,True,24,
terminal_053,train,True,24,
terminal_054,train,True,24,
terminal_055,train,True,24,
terminal_056,train,True,24,
terminal_057,train,True,24,
terminal_058,train,True,24,
terminal_059,train,True,24,
terminal_060,train,True,24,
terminal_061,train,True,24,
terminal_062,train,True,24,
terminal_063,train,True,24,
terminal_064,terminal_test,True,24,
terminal_065,train,True,24,
terminal_066,train,True,24,
terminal_067,train,True,24,
terminal_068,train,True,24,
terminal_069,train,True,24,
terminal_070,validation,True,24,
terminal_071,train,True,24,
terminal_072,train,True,24,
terminal_073,terminal_test,True,24,
terminal_074,train,True,24,
terminal_075,train,True,24,
terminal_076,train,True,24,
terminal_077,train,True,24,
terminal_078,validation,True,24,
terminal_079,terminal_test,True,24,
terminal_080,terminal_test,True,24,
terminal_081,validation,True,24,
terminal_082,train,True,24,
terminal_083,train,True,24,
terminal_084,train,True,24,
terminal_085,train,True,24,
terminal_086,train,True,24,
terminal_087,validation,True,24,
terminal_088,validation,True,24,
terminal_089,train,True,24,
terminal_090,validation,True,24,
terminal_091,train,True,24,
terminal_092,terminal_test,True,24,
terminal_093,train,True,24,
terminal_094,train,True,24,
terminal_095,train,True,24,
terminal_096,train,True,24,
terminal_097,train,True,24,
terminal_098,train,True,24,
terminal_099,terminal_test,True,24,
terminal_100,train,True,24,
terminal_101,train,True,24,
terminal_102,terminal_test,True,24,
terminal_103,train,True,24,
terminal_104,validation,True,24,
terminal_105,train,True,24,
terminal_106,train,True,24,
terminal_107,train,True,24,
terminal_108,train,True,24,
terminal_109,terminal_test,True,24,
terminal_110,validation,True,24,
terminal_111,terminal_test,True,24,
terminal_112,terminal_test,True,24,
terminal_113,train,True,24,
terminal_114,train,True,24,
terminal_115,train,True,24,
terminal_116,train,True,24,
terminal_117,train,True,24,
terminal_118,train,True,24,
terminal_119,train,True,24,
terminal_120,train,True,24,
terminal_121,train,True,24,
terminal_122,train,True,24,
terminal_123,train,True,24,
terminal_124,train,True,24,
terminal_125,train,True,24,
terminal_126,train,True,24,
terminal_127,validation,True,24,
terminal_128,terminal_test,True,24,
terminal_129,train,True,24,
terminal_130,validation,True,24,
terminal_131,train,True,24,
terminal_132,train,True,24,
terminal_133,train,True,24,
terminal_134,train,True,24,
terminal_135,train,True,24,
terminal_136,validation,True,24,
terminal_137,train,True,24,
terminal_138,validation,True,24,
terminal_139,train,True,24,
terminal_140,terminal_test,True,24,
terminal_141,train,True,24,
terminal_142,validation,True,24,
terminal_143,train,True,24,
terminal_144,terminal_test,True,24,
terminal_145,train,True,24,
terminal_146,train,True,24,
terminal_147,terminal_test,True,24,
terminal_148,train,True,24,
terminal_149,train,True,24,
terminal_150,train,True,24,
terminal_151,validation,True,24,
terminal_152,train,True,24,
terminal_153,validation,True,24,
terminal_154,train,True,24,
terminal_155,train,True,24,
terminal_156,train,True,24,
terminal_157,validation,True,24,
terminal_158,train,True,24,
terminal_159,train,True,24,
