seed,trajectory_id,signed_step_difference,discrete_arrival_time_difference_s,continuous_crossing_time_difference_s,cumulative_charge_error_ah
22,level3_closed_00,-2,-10.0,-8.760155502939824,-2.722622805796012e-05
22,level3_closed_01,-2,-10.0,-9.017590571805158,-8.995616054284659e-06
22,level3_closed_02,-2,-10.0,-8.987392493924972,-1.2970471550488582e-05
22,level3_closed_03,-2,-10.0,-8.985580402406868,-1.5273175267004212e-05
22,level3_closed_04,-1,-5.0,-6.428893170549145,4.5514850089587195e-05
22,level3_closed_05,-2,-10.0,-8.882247940422985,-1.600239484515795e-05
22,level3_closed_06,-2,-10.0,-8.905074376248194,-1.801719125467116e-05
22,level3_closed_07,-2,-10.0,-8.994503896539527,-1.0701025362417719e-05
22,level3_closed_08,-2,-10.0,-9.29887441991707,-1.5846997586758487e-05
22,level3_closed_09,-2,-10.0,-8.76155908976807,-1.78147893608285e-05
22,level3_closed_10,-2,-10.0,-8.710167841974226,-1.7745456623193453e-05
22,level3_closed_11,-2,-10.0,-8.859698068313946,-1.7470719568753643e-05
42,level3_closed_00,2,10.0,8.25946377724847,3.3759463395376263e-05
42,level3_closed_01,1,5.0,8.355922766383628,-7.747980854446723e-05
42,level3_closed_02,1,5.0,8.176544910143093,-7.334098433141713e-05
42,level3_closed_03,1,5.0,7.90109086975167,-6.710822502245466e-05
42,level3_closed_04,2,10.0,8.409267120814775,2.8848617925960853e-05
42,level3_closed_05,1,5.0,8.676119868352089,-8.422787034621454e-05
42,level3_closed_06,1,5.0,7.696275797700537,-6.254603107957261e-05
42,level3_closed_07,1,5.0,8.185132747795024,-7.372311006182346e-05
42,level3_closed_08,2,10.0,8.102724250132269,3.8873051987940874e-05
42,level3_closed_09,1,5.0,8.52314962783612,-8.094806657873555e-05
42,level3_closed_10,1,5.0,8.45424981647625,-7.952639126832159e-05
42,level3_closed_11,1,5.0,7.856207877952556,-6.626238564580135e-05
73,level3_closed_00,-1,-5.0,-4.412082300460725,-1.3637618346567453e-05
73,level3_closed_01,-1,-5.0,-4.826272423178807,-4.199299268887242e-06
73,level3_closed_02,-1,-5.0,-5.1823202999827345,3.6472142426191567e-06
73,level3_closed_03,-1,-5.0,-4.929114797431339,-1.8034059414794177e-06
73,level3_closed_04,-1,-5.0,-3.558727876664534,-3.3106714622811574e-05
73,level3_closed_05,-1,-5.0,-4.638481279387861,-8.25692863202221e-06
73,level3_closed_06,-1,-5.0,-5.24894373860775,5.306846294988393e-06
73,level3_closed_07,-1,-5.0,-4.835665124122443,-3.9659420933288755e-06
73,level3_closed_08,-1,-5.0,-5.179912050662324,4.153846149771804e-06
73,level3_closed_09,-1,-5.0,-4.579155185538639,-9.559699058551512e-06
73,level3_closed_10,-1,-5.0,-5.358153357610263,7.255071803058399e-06
73,level3_closed_11,-1,-5.0,-4.982928936961116,-6.468635801424069e-07
101,level3_closed_00,-1,-5.0,-7.527788967017841,6.709252055827619e-05
101,level3_closed_01,-2,-10.0,-7.895490245082101,-3.990491102033249e-05
101,level3_closed_02,-2,-10.0,-7.965639673477199,-4.103230304098007e-05
101,level3_closed_03,-2,-10.0,-7.982272696766813,-4.260963595896783e-05
101,level3_closed_04,-1,-5.0,-6.542975994259905,4.425743574343086e-05
101,level3_closed_05,-2,-10.0,-7.669262807042742,-4.8846182868247623e-05
101,level3_closed_06,-2,-10.0,-8.131063922599651,-3.936500459944783e-05
101,level3_closed_07,-2,-10.0,-7.919785290386244,-4.029358500822077e-05
101,level3_closed_08,-1,-5.0,-8.337588248640714,8.59681552627636e-05
101,level3_closed_09,-2,-10.0,-7.637900872053251,-4.84501632178712e-05
101,level3_closed_10,-2,-10.0,-7.431063925500325,-5.248047385432781e-05
101,level3_closed_11,-2,-10.0,-8.052209708969485,-3.9859649580383426e-05
137,level3_closed_00,2,10.0,8.15702377921366,3.299181281559211e-05
137,level3_closed_01,1,5.0,7.702004239215739,-6.520760476702334e-05
137,level3_closed_02,1,5.0,7.578048251350538,-6.148287185886324e-05
137,level3_closed_03,1,5.0,7.60224766440524,-6.11577753356111e-05
137,level3_closed_04,2,10.0,9.572749952408685,2.3198434255454635e-06
137,level3_closed_05,1,5.0,7.870340328209522,-6.744461218204379e-05
137,level3_closed_06,1,5.0,7.561022012361036,-6.0046462739175395e-05
137,level3_closed_07,1,5.0,7.796190277845199,-6.67420740848949e-05
137,level3_closed_08,2,10.0,7.127002293390092,5.605953860986625e-05
137,level3_closed_09,1,5.0,7.895696544817156,-6.840630135103411e-05
137,level3_closed_10,1,5.0,7.969444276195873,-7.036034063187597e-05
137,level3_closed_11,1,5.0,7.721760760709458,-6.404068483350203e-05
