state_id,successful_feasible_count,optimizer_success_count,prediction_feasible_count,fallback_count,near_optimal_solution_count,near_optimal_first_action_range_a,near_optimal_multivalued
level3_audit_000,15,15,15,0,15,1.2789769243681803e-13,False
level3_audit_001,15,15,15,0,15,1.6431300764452317e-13,False
level3_audit_002,15,15,15,0,15,1.4210854715202004e-14,False
level3_audit_003,15,15,15,0,15,5.329070518200751e-15,False
level3_audit_004,15,15,15,0,15,1.5987211554602254e-14,False
level3_audit_005,15,15,15,0,15,2.717825964282383e-13,False
level3_audit_006,15,15,15,0,15,7.105427357601002e-15,False
level3_audit_007,15,15,15,0,15,7.105427357601002e-15,False
level3_audit_008,15,15,15,0,15,1.0658141036401503e-14,False
level3_audit_009,15,15,15,0,15,1.0658141036401503e-14,False
level3_audit_010,15,15,15,0,15,9.769962616701378e-14,False
level3_audit_011,15,15,15,0,15,1.9539925233402755e-14,False
level3_audit_012,15,15,15,0,15,1.5987211554602254e-14,False
level3_audit_013,15,15,15,0,15,3.552713678800501e-15,False
level3_audit_014,15,15,15,0,15,5.329070518200751e-15,False
level3_audit_015,15,15,15,0,15,3.019806626980426e-14,False
level3_audit_016,15,15,15,0,15,1.2967404927621828e-13,False
level3_audit_017,15,15,15,0,15,8.881784197001252e-15,False
level3_audit_018,15,15,15,0,15,1.7361490023404258e-09,False
level3_audit_019,15,15,15,0,15,1.9539925233402755e-14,False
level3_audit_020,15,15,15,0,15,1.4708234630234074e-12,False
level3_audit_021,15,15,15,0,15,1.8829382497642655e-13,False
level3_audit_022,15,15,15,0,15,1.9682033780554775e-12,False
level3_audit_023,15,15,15,0,15,1.7763568394002505e-14,False
level3_audit_024,15,15,15,0,15,5.151434834260726e-13,False
level3_audit_025,15,15,15,0,15,1.7294690124458612e-09,False
level3_audit_026,15,15,15,0,15,2.986055847031821e-12,False
level3_audit_027,15,15,15,0,15,3.3590907833058736e-12,False
level3_audit_028,15,15,15,0,15,7.752909425562393e-12,False
level3_audit_029,15,15,15,0,15,2.2177815139912127e-11,False
level3_audit_030,15,15,15,0,15,1.2359890888546943e-11,False
level3_audit_031,15,15,15,0,15,2.0117241206207837e-12,False
level3_audit_032,15,15,15,0,15,4.1300296516055823e-14,False
level3_audit_033,15,15,15,0,15,4.440892098500626e-16,False
level3_audit_034,15,15,15,0,15,1.865174681370263e-14,False
level3_audit_035,15,15,15,0,15,2.042810365310288e-14,False
level3_audit_036,15,15,15,0,15,3.9968028886505635e-14,False
level3_audit_037,15,15,15,0,15,4.884981308350689e-14,False
level3_audit_038,15,15,15,0,15,3.597122599785507e-14,False
level3_audit_039,15,15,15,0,15,2.9753977059954195e-14,False
level3_audit_040,15,15,15,0,15,2.1760371282653068e-14,False
level3_audit_041,15,15,15,0,15,2.0872192862952943e-14,False
level3_audit_042,15,15,15,0,15,0.00014970327147656448,False
level3_audit_043,15,15,15,0,15,2.7533531010703882e-14,False
level3_audit_044,15,15,15,0,15,3.952393967665557e-14,False
level3_audit_045,15,15,15,0,15,2.9753977059954195e-14,False
level3_audit_046,15,15,15,0,15,0.00029966006135850876,False
level3_audit_047,15,15,15,0,15,0.00012950796646826745,False
level3_audit_048,15,15,15,0,15,0.0002638405651453901,False
level3_audit_049,15,15,15,0,15,0.00022584631243205422,False
level3_audit_050,15,15,15,0,15,9.939655187807261e-08,False
level3_audit_051,15,15,15,0,15,0.0003476677924645344,False
level3_audit_052,15,15,15,0,15,0.0002829427115762506,False
level3_audit_053,15,15,15,0,15,0.0002907791344068933,False
level3_audit_054,15,15,15,0,15,0.00036037382151521413,False
level3_audit_055,15,15,15,0,15,0.0003935283805884815,False
level3_audit_056,15,15,15,0,15,0.0003172625918157479,False
level3_audit_057,15,15,15,0,15,0.0005102738224613823,False
level3_audit_058,15,15,15,0,15,0.0005272725192617678,False
level3_audit_059,15,15,15,0,15,0.00026906804159043674,False
level3_audit_060,15,15,15,0,15,0.00015771658623853213,False
level3_audit_061,15,15,15,0,15,0.00025148642033423485,False
level3_audit_062,15,15,15,0,15,0.0014606228874525229,False
level3_audit_063,15,15,15,0,15,0.0019576487169117307,False
level3_audit_064,15,15,15,0,15,0.01623916967485517,False
level3_audit_065,15,15,15,0,15,0.012667991755928476,False
level3_audit_066,15,15,15,0,15,0.008934148307415679,False
level3_audit_067,15,15,15,0,15,0.011667878611894889,False
level3_audit_068,15,15,15,0,15,0.022572138407907616,False
level3_audit_069,15,15,15,0,15,3.219646771412954e-14,False
level3_audit_070,15,15,15,0,15,0.0033051817888203328,False
level3_audit_071,15,15,15,0,15,0.0009618746973538705,False
level3_audit_072,15,15,15,0,15,0.009109873548396319,False
level3_audit_073,15,15,15,0,15,0.022474448435725325,False
level3_audit_074,15,15,15,0,15,0.020118734262305482,False
level3_audit_075,15,15,15,0,15,0.016695120658451357,False
level3_audit_076,15,15,15,0,15,0.013706284569721117,False
level3_audit_077,15,15,15,0,15,0.005471901111007593,False
level3_audit_078,15,15,15,0,15,0.0008378211100741328,False
level3_audit_079,15,15,15,0,15,0.0031284771441772996,False
level3_audit_080,15,15,15,0,15,0.0007702034032468497,False
level3_audit_081,15,15,15,0,15,0.0035685141953569754,False
level3_audit_082,15,15,15,0,15,0.000802128755052367,False
level3_audit_083,15,15,15,0,15,0.00038863201204086817,False
level3_audit_084,15,15,15,0,15,0.000344854855468979,False
level3_audit_085,15,15,15,0,15,0.00017925307310928673,False
level3_audit_086,15,15,15,0,15,0.0004758320872620958,False
level3_audit_087,15,15,15,0,15,0.0008500935570852075,False
level3_audit_088,15,15,15,0,15,0.0005100319731319303,False
level3_audit_089,15,15,15,0,15,0.0073355290496534,False
level3_audit_090,15,15,15,0,15,0.002324981476532595,False
level3_audit_091,15,15,15,0,15,0.013132275798674153,False
level3_audit_092,15,15,15,0,15,0.0007456992296015486,False
level3_audit_093,15,15,15,0,15,0.00027715850113008145,False
level3_audit_094,15,15,15,0,15,0.0005588250612061918,False
level3_audit_095,15,15,15,0,15,0.0006292194198114776,False
level3_audit_096,15,15,15,0,15,0.013694236843247415,False
level3_audit_097,15,15,15,0,15,0.010238999079844602,False
level3_audit_098,15,15,15,0,15,0.01608010989732693,False
level3_audit_099,15,15,15,0,15,0.012765553348580061,False
