trajectory_id,split,teacher_accepted,completed_step_count,rejection_reason
terminal_000,train,True,24,
terminal_001,train,True,24,
terminal_002,train,True,24,
terminal_003,train,True,24,
terminal_004,train,True,24,
terminal_005,validation,True,24,
terminal_006,train,True,24,
terminal_007,train,True,24,
terminal_008,train,True,24,
terminal_009,train,True,24,
terminal_010,train,True,24,
terminal_011,train,True,24,
terminal_012,train,True,24,
terminal_013,train,True,24,
terminal_014,terminal_test,True,24,
terminal_015,validation,True,24,
terminal_016,validation,True,24,
terminal_017,train,True,24,
terminal_018,train,True,24,
terminal_019,train,True,24,
terminal_020,train,True,24,
terminal_021,validation,True,24,
terminal_022,train,True,24,
terminal_023,train,True,24,
terminal_024,train,True,24,
terminal_025,terminal_test,True,24,
terminal_026,train,True,24,
terminal_027,terminal_test,True,24,
terminal_028,train,True,24,
terminal_029,train,True,24,
terminal_030,train,True,24,
terminal_031,train,True,24,
terminal_032,train,True,24,
terminal_033,train,True,24,
terminal_034,train,True,24,
terminal_035,terminal_test,True,24,
terminal_036,train,True,24,
terminal_037,train,True,24,
terminal_038,train,True,24,
terminal_039,train,True,24,
terminal_040,validation,True,24,
terminal_041,train,True,24,
terminal_042,train,True,24,
terminal_043,train,True,24,
terminal_044,train,True,24,
terminal_045,train,True,24,
terminal_046,validation,True,24,
terminal_047,validation,True,24,
terminal_048,train,True,24,
terminal_049,terminal_test,True,24,
terminal_050,train,True,24,
terminal_051,train,True,24,
terminal_052,train,True,24,
terminal_053,train,True,24,
terminal_054,train,True,24,
terminal_055,validation,True,24,
terminal_056,train,True,24,
terminal_057,train,True,24,
terminal_058,train,True,24,
terminal_059,train,True,24,
terminal_060,train,True,24,
terminal_061,train,True,24,
terminal_062,terminal_test,True,24,
terminal_063,terminal_test,True,24,
terminal_064,train,True,24,
terminal_065,terminal_test,True,24,
terminal_066,train,True,24,
terminal_067,train,True,24,
terminal_068,train,True,24,
terminal_069,validation,True,24,
terminal_070,train,True,24,
terminal_071,train,True,24,
terminal_072,validation,True,24,
terminal_073,train,True,24,
terminal_074,train,True,24,
terminal_075,validation,True,24,
terminal_076,terminal_test,True,24,
terminal_077,train,True,24,
terminal_078,terminal_test,True,24,
terminal_079,train,True,24,
terminal_080,train,True,24,
terminal_081,train,True,24,
terminal_082,terminal_test,True,24,
terminal_083,train,True,24,
terminal_084,train,True,24,
terminal_085,train,True,24,
terminal_086,terminal_test,True,24,
terminal_087,train,True,24,
terminal_088,train,True,24,
terminal_089,validation,True,24,
terminal_090,train,True,24,
terminal_091,validation,True,24,
terminal_092,train,True,24,
terminal_093,train,True,24,
terminal_094,train,True,24,
terminal_095,train,True,24,
terminal_096,train,True,24,
terminal_097,train,True,24,
terminal_098,train,True,24,
terminal_099,train,True,24,
terminal_100,train,True,24,
terminal_101,terminal_test,True,24,
terminal_102,train,True,24,
terminal_103,terminal_test,True,24,
terminal_104,train,True,24,
terminal_105,train,True,24,
terminal_106,validation,True,24,
terminal_107,train,True,24,
terminal_108,train,True,24,
terminal_109,train,True,24,
terminal_110,train,True,24,
terminal_111,train,True,24,
terminal_112,validation,True,24,
terminal_113,train,True,24,
terminal_114,train,True,24,
terminal_115,train,True,24,
terminal_116,train,True,24,
terminal_117,train,True,24,
terminal_118,train,True,24,
terminal_119,validation,True,24,
terminal_120,train,True,24,
terminal_121,train,True,24,
terminal_122,train,True,24,
terminal_123,validation,True,24,
terminal_124,validation,True,24,
terminal_125,train,True,24,
terminal_126,train,True,24,
terminal_127,train,True,24,
terminal_128,train,True,24,
terminal_129,train,True,24,
terminal_130,train,True,24,
terminal_131,train,True,24,
terminal_132,validation,True,24,
terminal_133,terminal_test,True,24,
terminal_134,train,True,24,
terminal_135,validation,True,24,
terminal_136,train,True,24,
terminal_137,terminal_test,True,24,
terminal_138,terminal_test,True,24,
terminal_139,train,True,24,
terminal_140,train,True,24,
terminal_141,train,True,24,
terminal_142,train,True,24,
terminal_143,train,True,24,
terminal_144,train,True,24,
terminal_145,train,True,24,
terminal_146,train,True,24,
terminal_147,train,True,24,
terminal_148,terminal_test,True,24,
terminal_149,train,True,24,
terminal_150,train,True,24,
terminal_151,terminal_test,True,24,
terminal_152,train,True,24,
terminal_153,train,True,24,
terminal_154,train,True,24,
terminal_155,train,True,24,
terminal_156,terminal_test,True,24,
terminal_157,train,True,24,
terminal_158,train,True,24,
terminal_159,train,True,24,
