seed,trajectory_id,current_nrmse,current_bias_a,mpc_reached_target,ann_reached_target,signed_step_difference,discrete_time_gap_fraction,continuous_crossing_time_difference_s,maximum_ann_voltage_v,maximum_mpc_voltage_v,ann_early_taper_count,mpc_early_taper_count,ann_direction_reversals,mpc_direction_reversals
22,level3_closed_00,0.0032838034610563082,0.0008559238954782421,True,True,-2,0.011111111111111112,-8.759200416898125,4.207928392203405,4.206627811891943,29,29,0,0
22,level3_closed_01,0.0034793317681008095,0.0006191157710934096,True,True,-2,0.007692307692307693,-8.960930834422697,4.216102412123808,4.213784830380975,40,41,0,0
22,level3_closed_02,0.0037618584483946117,0.0008000186168105611,True,True,-2,0.009950248756218905,-8.986293571642818,4.209216479548123,4.208152520219366,35,37,0,0
22,level3_closed_03,0.0034914543555800725,0.0006744769764895389,True,True,-2,0.00851063829787234,-8.914082436360559,4.213556229890821,4.211609786221949,39,41,0,0
22,level3_closed_04,0.0020785496967873377,0.0007324135480127336,True,True,-1,0.006289308176100629,-6.410724803557855,4.206090309866283,4.204699253302655,22,21,0,0
22,level3_closed_05,0.00334244868109554,0.0005657586990909196,True,True,-2,0.007246376811594203,-8.767213013340552,4.216401066999804,4.21405427723081,40,41,0,0
22,level3_closed_06,0.0034080804104281706,0.0007158624766976383,True,True,-2,0.00904977375565611,-8.90448934620008,4.212473332287653,4.210758122119579,37,39,0,0
22,level3_closed_07,0.0035553082502484726,0.0006413870885284779,True,True,-2,0.00796812749003984,-8.978681491810448,4.215385083818018,4.213150314843636,39,40,0,0
22,level3_closed_08,0.0037516820906928136,0.0008704443696472944,True,True,-2,0.010638297872340425,-9.299323159011124,4.207216756516405,4.205933784713137,37,38,0,0
22,level3_closed_09,0.003406034449446719,0.0005973446068871189,True,True,-2,0.007633587786259542,-8.760350459109986,4.216367202856034,4.21402581015174,39,40,0,0
22,level3_closed_10,0.003591162872553914,0.0007628822760777105,True,True,-2,0.00975609756097561,-8.7119443529607,4.210408462133635,4.209192400198282,34,35,0,0
22,level3_closed_11,0.003428701404899369,0.0006657872435825656,True,True,-2,0.008438818565400843,-8.859102326623542,4.214247867655712,4.212187799467727,38,39,0,0
