controller,seed,trajectory_id,threshold_v,entered,first_entry_step,first_entry_time_s,first_entry_soc,first_entry_current_a,voltage_safe_current_max_a,braking_steps_required,steps_until_first_4p20_violation,maximum_slew_braking_in_time,voltage_slew_conflict_at_entry
mpc,-1,level3_closed_00,4.15,True,11,60.0,0.6738208214291519,5.873973181974101,7.51489957117883,0,39,True,False
mpc,-1,level3_closed_00,4.18,True,26,135.0,0.6967037656872537,5.191081558278894,5.517130165389972,0,24,True,False
mpc,-1,level3_closed_00,4.19,True,35,180.0,0.7092210446020669,4.867071412787023,4.810439395587309,1,15,True,False
mpc,-1,level3_closed_00,4.2,True,50,255.0,0.7284713513471893,4.418783179400357,3.9511343362391926,1,0,False,False
mpc,-1,level3_closed_01,4.15,True,34,175.0,0.5806028660018888,7.49439055362771,9.094763975954265,0,59,True,False
mpc,-1,level3_closed_01,4.18,True,63,320.0,0.6350186014580514,6.146632950026155,6.4965457880316535,0,30,True,False
mpc,-1,level3_closed_01,4.19,True,76,385.0,0.6562758865928232,5.672774491403652,5.632507124610129,1,17,True,False
mpc,-1,level3_closed_01,4.2,True,93,470.0,0.6817029658747559,5.15433894119382,4.688868918892695,1,0,False,False
mpc,-1,level3_closed_02,4.15,True,19,100.0,0.6573058777069831,5.891752704163806,7.496168971192674,0,43,True,False
mpc,-1,level3_closed_02,4.18,True,38,195.0,0.6863001889067435,5.183491311100027,5.54330520426447,0,24,True,False
mpc,-1,level3_closed_02,4.19,True,48,245.0,0.7002428141571382,4.889854001145888,4.837722702504834,1,14,True,False
mpc,-1,level3_closed_02,4.2,True,62,315.0,0.7184834515927886,4.524832103221887,4.075344339944422,1,0,False,False
mpc,-1,level3_closed_03,4.15,True,33,170.0,0.6253020266680221,6.442943133340371,8.006597033599974,0,46,True,False
mpc,-1,level3_closed_03,4.18,True,55,280.0,0.6618161311903681,5.582204967714779,5.960417076203157,0,24,True,False
mpc,-1,level3_closed_03,4.19,True,66,335.0,0.6782733221221051,5.237196825389563,5.191673468507361,1,13,True,False
mpc,-1,level3_closed_03,4.2,True,79,400.0,0.6965083377747089,4.893688893526401,4.438888447693898,1,0,False,False
mpc,-1,level3_closed_04,4.15,True,8,45.0,0.6982312661399535,5.56244776999315,7.071327069643303,0,33,True,False
mpc,-1,level3_closed_04,4.18,True,18,95.0,0.7128832253129586,5.057789341777379,5.405369033251191,0,23,True,False
mpc,-1,level3_closed_04,4.19,True,26,135.0,0.7237026721622469,4.72992997100587,4.654496807343094,1,15,True,False
mpc,-1,level3_closed_04,4.2,True,41,210.0,0.7422712354721621,4.237776040335851,3.7562282749422593,1,0,False,False
mpc,-1,level3_closed_05,4.15,True,37,190.0,0.5532227877979982,8.101666223439745,9.670393927008263,0,67,True,False
mpc,-1,level3_closed_05,4.18,True,68,345.0,0.6156778618936949,6.547678138930827,6.889482917176792,0,36,True,False
mpc,-1,level3_closed_05,4.19,True,83,420.0,0.6416441984257797,5.968486624913778,5.912884483987,1,21,True,False
mpc,-1,level3_closed_05,4.2,True,104,525.0,0.6742825166659743,5.279401796173506,4.806755942699965,1,0,False,False
mpc,-1,level3_closed_06,4.15,True,24,125.0,0.6324342932803346,6.468687364277475,8.068375097209355,0,45,True,False
mpc,-1,level3_closed_06,4.18,True,45,230.0,0.6672171427935946,5.54919590117957,5.91844845446758,0,24,True,False
mpc,-1,level3_closed_06,4.19,True,56,285.0,0.6835577644583988,5.193858130248517,5.1255930343904765,1,13,True,False
mpc,-1,level3_closed_06,4.2,True,69,350.0,0.7015982631345551,4.832681821340899,4.3760286674660165,1,0,False,False
mpc,-1,level3_closed_07,4.15,True,35,180.0,0.6003556788332443,6.993289503954922,8.575613102148054,0,53,True,False
mpc,-1,level3_closed_07,4.18,True,61,310.0,0.6465366803527514,5.893409884714651,6.256666066910839,0,27,True,False
mpc,-1,level3_closed_07,4.19,True,73,370.0,0.6654196295627227,5.47835279095264,5.441345684157568,1,15,True,False
mpc,-1,level3_closed_07,4.2,True,88,445.0,0.6872628707110642,5.053939478478853,4.5852864451444475,1,0,False,False
mpc,-1,level3_closed_08,4.15,True,18,95.0,0.6754964168231168,5.377972282789273,6.988501178784645,0,44,True,False
mpc,-1,level3_closed_08,4.18,True,37,190.0,0.7023025123797803,4.826651268231287,5.174478772969451,0,25,True,False
