domain,scheme,seed,mean_current_nrmse,maximum_current_nrmse,mean_charge_time_gap_fraction,mpc_target_reach_fraction,ann_target_reach_fraction,maximum_voltage_v,maximum_voltage_violation_v,maximum_current_violation_a,maximum_slew_violation_a,maximum_current_step_a,empty_interval_count,maximum_direction_reversals,voltage_intervention_count,voltage_intervention_fraction,maximum_current_correction_a,mean_active_current_correction_a,first_intervention_soc,speedup
regression,baseline,22,0.003381534657440344,0.003761858448394611,0.008690391156323104,1.0,1.0,4.216401066999804,0.016401066999804037,0.0,4.440892098500626e-16,2.0000000000000004,0,0,0,0.0,0.0,0.0,,545.3008940794172
regression,baseline,42,0.0029411049178834354,0.003770186622796032,0.0060375844744846125,1.0,1.0,4.216231578469966,0.01623157846996559,0.0,0.0,2.0,0,0,0,0.0,0.0,0.0,,560.3137868623342
regression,baseline,73,0.0022987757147900248,0.0029610395288812985,0.004607250085499078,1.0,1.0,4.2157178277202725,0.015717827720272304,0.0,0.0,2.0,0,0,0,0.0,0.0,0.0,,566.4873008596322
regression,baseline,101,0.0022823985767656146,0.0034436650677421806,0.007784165782012623,1.0,1.0,4.215036645549041,0.015036645549041161,0.0,4.440892098500626e-16,2.0000000000000004,0,0,0,0.0,0.0,0.0,,569.4487643474723
regression,baseline,137,0.002917910440082789,0.0034020216822525503,0.0060375844744846125,1.0,1.0,4.216036598403413,0.01603659840341276,0.0,0.0,2.0,0,0,0,0.0,0.0,0.0,,576.4919413294429
regression,fixed_margin,22,0.00127945561732778,0.0016069121804463363,0.006380536076200376,1.0,1.0,4.191332493520475,0.0,0.0,4.440892098500626e-16,2.0000000000000004,0,0,1549,0.5494856332032636,0.762848610013573,0.539271584811181,0.5705428122161096,206.67474104947263
regression,fixed_margin,42,0.001437720649115849,0.0026516637294537126,0.008975867621341003,1.0,1.0,4.191332814242017,0.0,0.0,0.0,2.0,0,0,1549,0.541419084236281,0.7956598412696287,0.5339618140030034,0.5725074887521667,231.16754890214466
regression,fixed_margin,73,0.0011279700531731682,0.0018695910163439144,0.003726375233980697,1.0,1.0,4.191332442726082,0.0,0.0,0.0,2.0,0,0,1542,0.5456475583864119,0.70694171997705,0.5129720647126844,0.572666588935315,245.61607512747614
regression,fixed_margin,101,0.001286163494821206,0.002935136894285771,0.005967994822074964,1.0,1.0,4.191332303694635,0.0,0.0,4.440892098500626e-16,2.0000000000000004,0,0,1543,0.5471631205673759,0.7174769989013949,0.5065763691949383,0.5725534021582033,261.406570215306
regression,fixed_margin,137,0.001147298608465257,0.001919193233264892,0.00868949877827113,1.0,1.0,4.191332070756445,0.0,0.0,0.0,2.0,0,0,1541,0.5388111888111888,0.7596782308376797,0.5289309718712656,0.572640406781523,245.27014038052874
regression,residual_guard,22,0.00152981678535438,0.0017734705564288497,0.004843265397756768,1.0,1.0,4.189534091240877,0.0,0.0,4.440892098500626e-16,2.0000000000000004,0,0,1155,0.4150197628458498,0.8111339202005139,0.5308025701776699,0.6398912151400088,262.2965622406066
regression,residual_guard,42,0.0015099694136295656,0.002690513504535193,0.009134860243842984,1.0,1.0,4.189457663725454,0.0,0.0,0.0,2.0,0,0,1161,0.4115561857497341,0.8786920086598995,0.5111169960567921,0.6364829679175434,270.2286510777538
regression,residual_guard,73,0.0012758361277216254,0.0020550908811647573,0.002791273833106388,1.0,1.0,4.189480671176076,0.0,0.0,0.0,2.0,0,0,1154,0.4137683757619218,0.7858209648320917,0.4964132447911597,0.6397899076950387,253.5172074335539
regression,residual_guard,101,0.0014712240385895252,0.0029655446451653782,0.004843265397756768,1.0,1.0,4.18949242647553,0.0,0.0,4.440892098500626e-16,2.0000000000000004,0,0,1155,0.4150197628458498,0.7104943669893808,0.4832605690627527,0.6397213606400377,261.6678568025419
regression,residual_guard,137,0.0014022127441203085,0.0019483661054752125,0.008765229874212613,1.0,1.0,4.189517957818479,0.0,0.0,0.0,2.0,0,0,1153,0.40886524822695036,0.7827483619789959,0.5117497459310284,0.6397981792363384,268.31936838643054
