trajectory_id,ambient_temperature_c,initial_temperature_c,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,design_candidate_index,design_seed
phase7c_15c_000,15.0,15.0,0.634814453125,0.05917695473251028,0.0201888,1.8450645564348187,701,20260726
phase7c_15c_001,15.0,15.0,0.572314453125,0.002139917695473251,0.0381888,3.273635985006247,702,20260726
phase7c_15c_002,15.0,15.0,0.697314453125,0.02213991769547325,0.0561888,4.702207413577676,703,20260726
phase7c_15c_003,15.0,15.0,0.453173828125,0.04213991769547325,0.0741888,6.130778842149105,704,20260726
phase7c_15c_004,15.0,15.0,0.578173828125,0.008806584362139916,0.0057888,7.559350270720534,705,20260726
phase7c_15c_005,15.0,15.0,0.515673828125,0.02880658436213992,0.0237888,8.987921699291961,706,20260726
phase7c_15c_006,15.0,15.0,0.640673828125,0.04880658436213991,0.0417888,0.6205747605164514,707,20260726
phase7c_15c_007,15.0,15.0,0.484423828125,0.015473251028806586,0.0597888,2.04914618908788,708,20260726
phase7c_15c_008,15.0,15.0,0.609423828125,0.035473251028806586,0.0777888,3.4777176176593083,709,20260726
phase7c_15c_009,15.0,15.0,0.546923828125,0.055473251028806576,0.009388800000000001,4.906289046230737,710,20260726
phase7c_15c_010,15.0,15.0,0.671923828125,0.004362139917695473,0.0273888,6.3348604748021655,711,20260726
phase7c_15c_011,15.0,15.0,0.468798828125,0.024362139917695473,0.0453888,7.763431903373594,712,20260726
phase7c_15c_012,15.0,15.0,0.593798828125,0.04436213991769547,0.0633888,9.192003331945022,713,20260726
phase7c_15c_013,15.0,15.0,0.531298828125,0.011028806584362139,0.0813888,0.8246563931695127,714,20260726
phase7c_15c_014,15.0,15.0,0.656298828125,0.03102880658436214,0.012988799999999997,2.253227821740941,715,20260726
phase7c_15c_015,15.0,15.0,0.500048828125,0.05102880658436213,0.0309888,3.6817992503123693,716,20260726
phase7c_15c_016,15.0,15.0,0.625048828125,0.01769547325102881,0.0489888,5.110370678883799,717,20260726
phase7c_15c_017,15.0,15.0,0.562548828125,0.0376954732510288,0.0669888,6.5389421074552265,718,20260726
phase7c_15c_018,15.0,15.0,0.460986328125,0.006584362139917695,0.016588799999999997,9.396084964598083,720,20260726
phase7c_15c_019,15.0,15.0,0.585986328125,0.026584362139917696,0.034588799999999996,1.028738025822574,721,20260726
phase7c_15c_020,15.0,15.0,0.523486328125,0.04658436213991769,0.052588800000000005,2.4573094543940024,722,20260726
phase7c_15c_021,15.0,15.0,0.648486328125,0.01325102880658436,0.0705888,3.8858808829654308,723,20260726
phase7c_15c_022,15.0,15.0,0.492236328125,0.03325102880658436,0.08858880000000001,5.31445231153686,724,20260726
phase7c_15c_023,15.0,15.0,0.617236328125,0.053251028806584354,0.0029088,6.743023740108288,725,20260726
