step_index,original_raw_current_a,original_applied_current_a,temperature_c,soc,start_label,success,status_code,status_message,iterations,objective_value,first_current_a,minimum_constraint_margin,minimum_voltage_margin_v,minimum_slew_margin_a,maximum_predicted_voltage_v,terminal_predicted_soc,active_constraint_count,kkt_residual,stationarity_residual,primal_residual,complementarity_residual,function_evaluations,jacobian_evaluations,expanded_maximum_step_a
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,controller_default,True,0,Optimization terminated successfully,10,0.5839087510093492,5.42046749518271,-1.7763568394002505e-15,-1.7763568394002505e-15,1.4085229163107282,4.200000000000002,0.747003744908229,3,9.345367309626748e-15,0.0,1.7763568394002505e-15,9.345367309626748e-15,40,10,0.5914770836892718
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,previous_current,True,0,Optimization terminated successfully,5,0.5839087510093416,5.420467495182731,-2.6645352591003757e-15,-2.6645352591003757e-15,1.4085229163106376,4.200000000000003,0.7470037449082312,3,2.9837037673356752e-15,6.938893903907228e-18,2.6645352591003757e-15,2.9837037673356752e-15,20,5,0.5914770836893624
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,zero,True,0,Optimization terminated successfully,12,0.5839087510092972,5.4204674951826615,-1.4832579608992091e-13,-1.4832579608992091e-13,1.4085229163107593,4.2000000000001485,0.747003744908249,3,1.4832579608992091e-13,0.0,1.4832579608992091e-13,6.502818057566621e-14,58,12,0.5914770836892407
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,upper,True,0,Optimization terminated successfully,12,0.5839087510093577,5.420467495182682,-1.7763568394002505e-15,-1.7763568394002505e-15,1.4085229163107256,4.200000000000002,0.7470037449082312,3,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.3189902851744671e-15,49,12,0.5914770836892744
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,midpoint,True,0,Optimization terminated successfully,6,0.5839087510094245,5.420467495182337,1.4210854715202004e-14,1.4210854715202004e-14,1.4085229163100497,4.199999999999986,0.7470037449082156,3,3.777085976438151e-14,0.0,0.0,3.777085976438151e-14,24,6,0.5914770836899503
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_05,True,0,Optimization terminated successfully,11,0.5839087510093577,5.420467495182668,-6.217248937900877e-15,-6.217248937900877e-15,1.4085229163107496,4.200000000000006,0.7470037449082312,3,6.217248937900877e-15,6.938893903907228e-18,6.217248937900877e-15,2.725732634931197e-15,44,11,0.5914770836892504
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_06,True,0,Optimization terminated successfully,10,0.5839087510093416,5.420467495182711,-1.7763568394002505e-15,-1.7763568394002505e-15,1.4085229163107273,4.200000000000002,0.7470037449082312,3,1.9891358861013924e-15,0.0,1.7763568394002505e-15,1.9891358861013924e-15,40,10,0.5914770836892727
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_07,True,0,Optimization terminated successfully,10,0.5839087510093113,5.420467495182714,-5.3290705182007514e-14,-5.3290705182007514e-14,1.4085229163107282,4.2000000000000535,0.7470037449082401,3,5.3290705182007514e-14,0.0,5.3290705182007514e-14,2.3363418547848406e-14,40,10,0.5914770836892718
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_08,True,0,Optimization terminated successfully,6,0.583908751009444,5.420467495181386,2.3092638912203256e-14,2.3092638912203256e-14,1.4085229163117852,4.199999999999977,0.7470037449082201,3,6.464692690568609e-14,0.0,0.0,6.464692690568609e-14,24,6,0.5914770836882148
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_09,True,0,Optimization terminated successfully,7,0.5839087510093652,5.420467495182678,1.7763568394002505e-15,1.7763568394002505e-15,1.4085229163107433,4.199999999999998,0.747003744908229,3,4.283294084046913e-15,6.938893903907228e-18,0.0,4.283294084046913e-15,28,7,0.5914770836892567
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_10,True,0,Optimization terminated successfully,7,0.5839087511254933,5.4204674951827165,-1.7763568394002505e-15,-1.7763568394002505e-15,1.408522916310722,4.200000000000002,0.7470037448741762,3,1.1615475836155546e-10,0.0,1.7763568394002505e-15,1.1615475836155546e-10,28,7,0.591477083689278
97,5.42046749518271,5.42046749518271,42.02082868972252,0.6659656119529667,random_11,True,0,Optimization terminated successfully,4,0.5839087510093341,5.420467495182721,-2.6645352591003757e-15,-2.6645352591003757e-15,1.4085229163105577,4.200000000000003,0.7470037449082334,3,3.297476314242581e-15,0.0,2.6645352591003757e-15,3.297476314242581e-15,16,4,0.5914770836894423
