policy,reached_target,charge_time_s,final_soc,maximum_temperature_c,maximum_voltage_v,maximum_current_step_a,empty_interval_count,thermally_feasible,voltage_intervention_fraction,high_current_a,low_current_a,switch_temperature_c,switch_soc,surrogate_charge_time_s,surrogate_maximum_temperature_c
oracle_01_h5_l2.5_t34_s0.74,True,2145.0,0.7999999999999949,34.05561192709888,4.159146458410053,2.0,0,True,0.0,5.0,2.5,34.0,0.74,2145.0,34.04038807893188
oracle_02_h4_l2.5_t34_s0.74,True,2150.0,0.8001388888888847,34.02459980288114,4.159240026918768,2.0,0,True,0.0,4.0,2.5,34.0,0.74,2150.0,34.02759785386183
oracle_03_h5_l2.5_t34_s0.7,True,2160.0,0.7998611111111056,34.05561192709837,4.159033605844565,2.0,0,True,0.0,5.0,2.5,34.0,0.7,2160.0,34.04038807893188
oracle_04_h6_l2.5_t34_s0.74,True,2150.0,0.7997222222222178,34.090535006695006,4.159003492710703,2.0,0,True,0.0,6.0,2.5,34.0,0.74,2160.0,34.040369595078324
oracle_05_h4_l2.5_t34_s0.7,True,2165.0,0.8001388888888841,34.02459785022319,4.159191842309567,2.0,0,True,0.0,4.0,2.5,34.0,0.7,2165.0,34.02759785386183
oracle_06_h6_l2.5_t34_s0.7,True,2165.0,0.7995833333333286,34.09053500669626,4.15888427554621,2.0,0,True,0.0,6.0,2.5,34.0,0.7,2170.0,34.040369595078324
oracle_07_h5_l2.5_t34_s0.65,True,2175.0,0.7997222222222168,34.055611927099164,4.158966246314774,2.0,0,True,0.0,5.0,2.5,34.0,0.65,2175.0,34.04038807893188
oracle_08_h4_l2.5_t34_s0.65,True,2180.0,0.7997222222222171,34.024597850224325,4.158962008892212,2.0,0,True,0.0,4.0,2.5,34.0,0.65,2180.0,34.02759785386183
oracle_01_h5_l3_t34_s0.55,True,1900.0,0.8000000000000018,34.89424411041381,4.177281876809424,2.0,0,True,0.0,5.0,3.0,34.0,0.55,1900.0,34.85592790910759
oracle_02_h6_l3_t34_s0.55,True,1895.0,0.8002777777777796,34.91190928206089,4.17739423469897,2.0,0,True,0.0,6.0,3.0,34.0,0.55,1900.0,34.87104309139885
oracle_03_h8_l3_t34_s0.55,True,1895.0,0.7997222222222242,34.933297215217294,4.177147787053501,2.0,0,True,0.0,8.0,3.0,34.0,0.55,1905.0,34.90160335796927
oracle_04_h10_l3_t34_s0.5,True,1895.0,0.7997222222222242,34.96164459180642,4.177130620779327,2.0,0,True,0.0,10.0,3.0,34.0,0.5,1910.0,34.93921861392121
