role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s
development,phase7cr2_development_15c_000,15.0,True,1070.0,4.186263653331556,21.291879960851816,0.082841310815938,7.279525102453094,1.999999999999999,0,0.0032200339401864,0,0,0,0,0,0.5186915887850467,0.0,0.0,0.8721624520801812,0.0,1,0,0.07141159998717489
development,phase7cr2_development_15c_001,15.0,True,1235.0,4.186379630134021,23.89451636769195,0.0821350758240614,8.582480197719844,1.9999999999999984,0,0.0051300591200273,0,0,0,0,0,0.4817813765182186,0.0,0.0,0.8148041363726621,0.0,1,1,0.08325989999865399
development,phase7cr2_development_15c_002,15.0,True,855.0,4.187172000983937,19.12667356493722,0.0849020512563886,5.4416596189104975,0.9265203061207394,0,0.0120359259383562,0,0,0,0,0,0.4502923976608187,0.0,0.0,0.8477364317690639,0.0,0,0,0.061956899953648406
development,phase7cr2_development_15c_003,15.0,True,1435.0,4.18624457085363,28.737732254272142,0.0848583720159847,10.0,2.0,0,0.006377585502741,0,0,0,0,0,0.40418118466898956,0.0,0.0,0.6598230758303294,0.0,5,4,0.0824529998935619
development,phase7cr2_development_15c_004,15.0,True,1170.0,4.18612009661471,22.9322824329289,0.0842799501253784,8.462892174781539,0.7624306073925542,0,0.0067089374768656,0,0,0,0,0,0.5170940170940171,0.0,0.0,0.8429451944616901,0.0,0,0,0.06764440012192288
development,phase7cr2_development_15c_005,15.0,True,1320.0,4.18627008523108,25.77622838358019,0.0838050965611598,9.444920631871216,2.000000000000001,0,0.011122444525522,0,0,0,0,0,0.4621212121212121,0.0,0.0,0.7652414527956939,0.0,4,2,0.0774826000488115
development,phase7cr2_development_15c_006,15.0,True,1000.0,4.186586699502093,20.42219580979196,0.0831003831201983,6.414722091814093,2.0,0,0.002858310099091,0,0,0,0,0,0.5,0.0,0.0,0.8720737938307046,0.0,2,1,0.0595210999599558
development,phase7cr2_development_15c_007,15.0,True,1380.0,4.186313276715005,27.22168320635791,0.0851572037113985,9.71511870054144,2.0,0,0.005153731516903,0,0,0,0,0,0.4311594202898551,0.0,0.0,0.7161900294644119,0.0,3,2,0.07971050012564279
development,phase7cr2_development_15c_008,15.0,True,960.0,4.187012748076983,19.96931340004687,0.0825311197783302,5.80031514482178,0.6245078455988784,0,0.0105386831116627,0,0,0,0,0,0.4635416666666667,0.0,0.0,0.8541434207518845,0.0,0,0,0.0573013000321128
development,phase7cr2_development_15c_009,15.0,True,1045.0,4.186795668909729,20.78861750966405,0.0825703029113186,6.304761863560007,0.6914896982892227,0,0.0123613873959422,0,0,0,0,0,0.47368421052631576,0.0,0.0,0.8560623354554044,0.0,0,0,0.0608955999778013
development,phase7cr2_development_15c_010,15.0,True,1080.0,4.186588486198655,21.28262339853813,0.0815914310619995,6.906121347809563,1.2329873568968086,0,0.0080952876669924,0,0,0,0,0,0.49074074074074076,0.0,0.0,0.8598346132075707,0.0,0,0,0.0629235000451337
development,phase7cr2_development_15c_011,15.0,True,1135.0,4.186481731386039,22.08728356604786,0.0824183189528896,7.485533464957842,0.9790778214759596,0,0.009350091993789,0,0,0,0,0,0.4933920704845815,0.0,0.0,0.8505142249693858,0.0,0,0,0.0667126999323845
development,phase7cr2_development_15c_012,15.0,True,985.0,4.186749890775765,20.241378614832456,0.0824567904436045,6.158463668134745,0.9194205467757088,0,0.0135980376461715,0,0,0,0,0,0.48223350253807107,0.0,0.0,0.8625582878906428,0.0,0,0,0.05553860002691109
development,phase7cr2_development_15c_013,15.0,True,1065.0,4.186670811758545,21.09118428965087,0.0837751174127908,6.664748680591577,0.984564105747448,0,0.0099045015005163,0,0,0,0,0,0.4835680751173709,0.0,0.0,0.8586380315338604,0.0,0,0,0.0630887000224788
development,phase7cr2_development_15c_014,15.0,True,845.0,4.187256517181201,19.00491822884078,0.0824350698781461,5.295610362238089,0.7327111704566214,0,0.0123320655004919,0,0,0,0,0,0.4378698224852071,0.0,0.0,0.8389209306746936,0.0,0,0,0.0501792000068149
