trajectory_id,source_role,risk_stratum,initialization_mode,step_index,soc,previous_current_a,candidate_current_a,current_a,measured_initial_voltage_v,predicted_initial_voltage_v,initial_residual_v,residual_before_v,residual_after_v,positive_residual_growth_v,terminal_voltage_v,voltage_safe_current_max_a,thermal_safe_current_max_a,empty_interval,selected_teacher_branch
phase7cr2f_development_30c_000,development,general,measured,0,0.6114990234375,1.2119950020824657,3.2119950020824657,3.2119950020824657,3.8809111887184224,3.8995704724266584,-0.018659283708235996,-0.018659283708235996,-0.01649719951820927,0.002162084190026725,3.9350094241462923,10.0,3.2119950020824657,False,default
phase7cr2f_development_30c_000,development,general,measured,1,0.6123912442714118,3.2119950020824657,5.211995002082463,5.211995002082463,3.8809111887184224,3.8995704724266584,-0.018659283708235996,-0.01649719951820927,-0.023215044002629526,0.0,3.984553392563794,10.0,5.211995002082466,False,alternative
phase7cr2f_development_30c_000,development,general,measured,2,0.6138390206608791,5.211995002082463,7.211995002082464,5.544573306044355,3.8809111887184224,3.8995704724266584,-0.018659283708235996,-0.023215044002629526,-0.024692667189354367,0.0,4.002183814301096,10.0,5.544573306044355,False,default
phase7cr2f_development_30c_000,development,general,zero,0,0.6114990234375,1.2119950020824657,3.2119950020824657,3.2119950020824657,3.8809111887184224,3.8995704724266584,-0.018659283708235996,0.0,-0.01649719951806805,0.0,3.9350094241464335,10.0,3.2119950020824657,False,default
phase7cr2f_development_30c_000,development,general,zero,1,0.6123912442714118,3.2119950020824657,5.211995002082463,5.211995002082463,3.8809111887184224,3.8995704724266584,-0.018659283708235996,-0.01649719951806805,-0.02321504400239016,0.0,3.9845533925640333,10.0,5.211995002082466,False,alternative
phase7cr2f_development_30c_000,development,general,zero,2,0.6138390206608791,5.211995002082463,7.211995002082464,5.544573306044355,3.8809111887184224,3.8995704724266584,-0.018659283708235996,-0.02321504400239016,-0.024692667189311734,0.0,4.002183814301139,10.0,5.544573306044355,False,default
phase7cr2f_development_30c_001,development,general,measured,0,0.5489990234375,2.640566430653894,4.640566430653894,4.640566430653894,3.860119269265639,3.9099662768367613,-0.04984700757112215,-0.04984700757112215,-0.047415758262113084,0.0024312493090090648,3.9130684863068694,10.0,4.6405664306538945,False,default
phase7cr2f_development_30c_001,development,general,measured,1,0.5502880696682372,4.640566430653894,6.640566430653894,5.563257740915242,3.860119269265639,3.9099662768367613,-0.04984700757112215,-0.047415758262113084,-0.04679437476509429,0.0006213834970187904,3.94259305659557,10.0,5.563257740915242,False,default
phase7cr2f_development_30c_001,development,general,measured,2,0.5518334190407136,5.563257740915242,7.563257740915234,5.529339674113938,3.860119269265639,3.9099662768367613,-0.04984700757112215,-0.04679437476509429,-0.042624195635548645,0.004170179129545648,3.9535134180834595,10.0,5.529339674113938,False,alternative
phase7cr2f_development_30c_001,development,general,zero,0,0.5489990234375,2.640566430653894,4.640566430653894,4.640566430653894,3.860119269265639,3.9099662768367613,-0.04984700757112215,0.0,-0.04741575826225697,0.0,3.9130684863067255,10.0,4.6405664306538945,False,default
phase7cr2f_development_30c_001,development,general,zero,1,0.5502880696682372,4.640566430653894,6.640566430653894,5.563257740915242,3.860119269265639,3.9099662768367613,-0.04984700757112215,-0.04741575826225697,-0.04679437476591941,0.0006213834963375575,3.942593056594745,10.0,5.563257740915242,False,default
phase7cr2f_development_30c_001,development,general,zero,2,0.5518334190407136,5.563257740915242,7.563257740915234,5.529339674113938,3.860119269265639,3.9099662768367613,-0.04984700757112215,-0.04679437476591941,-0.042624195635304396,0.004170179130615015,3.9535134180837037,10.0,5.529339674113938,False,alternative
phase7cr2f_development_30c_002,development,general,measured,0,0.6739990234375,4.0691378592253225,5.722036362789536,5.58683698686745,4.010893952332324,4.103625777454346,-0.09273182512202194,-0.09273182512202194,-0.08456048889623613,0.008171336225785808,4.056830656997721,10.0,5.58683698686745,False,default
phase7cr2f_development_30c_002,development,general,measured,1,0.6755509226005187,5.58683698686745,5.676235304539439,5.553986988555186,4.010893952332324,4.103625777454346,-0.09273182512202194,-0.08456048889623613,-0.07422066452391629,0.010339824372319839,4.071026751900401,10.0,5.553986988555186,False,default
phase7cr2f_development_30c_002,development,general,measured,2,0.6770936967640062,5.553986988555186,5.631270721864398,5.519795668150799,4.010893952332324,4.103625777454346,-0.09273182512202194,-0.07422066452391629,-0.06601017376339602,0.008210490760520273,4.082434763244015,9.769853655234328,5.519795668150799,False,default
phase7cr2f_development_30c_002,development,general,zero,0,0.6739990234375,4.0691378592253225,5.722036362789536,5.58683698686745,4.010893952332324,4.103625777454346,-0.09273182512202194,0.0,-0.08456048889654078,0.0,4.056830656997416,7.088989274125197,5.58683698686745,False,default
phase7cr2f_development_30c_002,development,general,zero,1,0.6755509226005187,5.58683698686745,5.676235304539439,5.553986988555186,4.010893952332324,4.103625777454346,-0.09273182512202194,-0.08456048889654078,-0.07422066452380705,0.01033982437273373,4.0710267519005106,10.0,5.553986988555186,False,default
phase7cr2f_development_30c_002,development,general,zero,2,0.6770936967640062,5.553986988555186,5.631270721864398,5.519795668150799,4.010893952332324,4.103625777454346,-0.09273182512202194,-0.07422066452380705,-0.06601017376360918,0.008210490760197864,4.082434763243802,9.769853655234328,5.519795668150799,False,default
phase7cr2f_development_30c_003,development,general,measured,0,0.4708740234375,5.49770928779675,7.49770928779675,5.5866720572157424,3.8378330237699947,3.925226460586631,-0.08739343681663625,-0.08739343681663625,-0.08160894024244447,0.0057844965741917775,3.85832975929592,10.0,5.5866720572157424,False,default
phase7cr2f_development_30c_003,development,general,measured,1,0.4724258767867266,5.5866720572157424,7.5866720572157424,5.553866250869484,3.8378330237699947,3.925226460586631,-0.08739343681663625,-0.08160894024244447,-0.07658456023738447,0.005024380005060003,3.8725585416963884,10.0,5.553866250869484,False,default
phase7cr2f_development_30c_003,development,general,measured,2,0.4739686174119681,5.553866250869484,7.553866250869476,5.519707443567471,3.8378330237699947,3.925226460586631,-0.08739343681663625,-0.07658456023738447,-0.07203496798809006,0.00454959224929441,3.8840941818556143,10.0,5.519707443567471,False,alternative
phase7cr2f_development_30c_003,development,general,zero,0,0.4708740234375,5.49770928779675,7.49770928779675,5.5866720572157424,3.8378330237699947,3.925226460586631,-0.08739343681663625,0.0,-0.08160894024237741,0.0,3.858329759295987,10.0,5.5866720572157424,False,default
phase7cr2f_development_30c_003,development,general,zero,1,0.4724258767867266,5.5866720572157424,7.5866720572157424,5.553866250869484,3.8378330237699947,3.925226460586631,-0.08739343681663625,-0.08160894024237741,-0.07658456023730142,0.00502438000507599,3.8725585416964714,10.0,5.553866250869484,False,default
phase7cr2f_development_30c_003,development,general,zero,2,0.4739686174119681,5.553866250869484,7.553866250869476,5.519707443567471,3.8378330237699947,3.925226460586631,-0.08739343681663625,-0.07658456023730142,-0.07203496798826148,0.0045495922490399465,3.884094181855443,10.0,5.519707443567471,False,alternative
phase7cr2f_development_30c_004,development,general,measured,0,0.5958740234375,6.926280716368179,8.203528144062453,5.587097701803936,3.9724482705064847,4.017742588291729,-0.04529431778524451,-0.04529431778524451,-0.028991264455688892,0.016303053329555617,3.9702782450897223,10.0,5.587097701803936,False,default
phase7cr2f_development_30c_004,development,general,measured,1,0.5974259950213344,5.587097701803936,7.58709770180393,5.5541778464011475,3.9724482705064847,4.017742588291729,-0.04529431778524451,-0.028991264455688892,-0.02410530984588899,0.004885954609799903,3.9828518582041896,10.0,5.5541778464011475,False,default
phase7cr2f_development_30c_004,development,general,measured,2,0.5989688222008902,5.5541778464011475,7.554177846401147,5.519935130439121,3.9724482705064847,4.017742588291729,-0.04529431778524451,-0.02410530984588899,-0.02043934891804522,0.00366596092784377,3.992952891762389,10.0,5.519935130439121,False,alternative
phase7cr2f_development_30c_004,development,general,zero,0,0.5958740234375,6.926280716368179,8.203528144062453,5.587097701803936,3.9724482705064847,4.017742588291729,-0.04529431778524451,0.0,-0.02899126445561251,0.0,3.9702782450897987,10.0,5.587097701803936,False,default
phase7cr2f_development_30c_004,development,general,zero,1,0.5974259950213344,5.587097701803936,7.58709770180393,5.5541778464011475,3.9724482705064847,4.017742588291729,-0.04529431778524451,-0.02899126445561251,-0.02410530984587922,0.0048859546097332895,3.9828518582041994,10.0,5.5541778464011475,False,default
phase7cr2f_development_30c_004,development,general,zero,2,0.5989688222008902,5.5541778464011475,7.554177846401147,5.519935130439121,3.9724482705064847,4.017742588291729,-0.04529431778524451,-0.02410530984587922,-0.02043934891793775,0.0036659609279414695,3.9929528917624966,10.0,5.519935130439121,False,alternative
phase7cr2f_development_30c_005,development,general,measured,0,0.5333740234375,8.354852144939608,9.461273107549443,6.354852144939608,3.937247247758576,4.030165287651517,-0.092918039892941,-0.092918039892941,-0.06258435984632671,0.030333680046614298,3.931726985003124,10.0,6.354852144939608,False,default
phase7cr2f_development_30c_005,development,general,measured,1,0.5351392601444276,6.354852144939608,8.354852144939608,5.546104243674511,3.937247247758576,4.030165287651517,-0.092918039892941,-0.06258435984632671,-0.04751655304455671,0.01506780680177,3.9331086035469207,10.0,5.546104243674511,False,default
phase7cr2f_development_30c_005,development,general,measured,2,0.5366798446565594,5.546104243674511,7.5461042436745105,5.512193334246616,3.937247247758576,4.030165287651517,-0.092918039892941,-0.04751655304455671,-0.039737921474096716,0.007778631570459993,3.943508615193615,10.0,5.512193334246616,False,default
phase7cr2f_development_30c_005,development,general,zero,0,0.5333740234375,8.354852144939608,9.461273107549443,6.354852144939608,3.937247247758576,4.030165287651517,-0.092918039892941,0.0,-0.06258435983721222,0.0,3.9317269850122383,10.0,6.354852144939608,False,default
phase7cr2f_development_30c_005,development,general,zero,1,0.5351392601444276,6.354852144939608,8.354852144939608,5.546104243674511,3.937247247758576,4.030165287651517,-0.092918039892941,-0.06258435983721222,-0.04751655304432845,0.015067806792883776,3.933108603547149,10.0,5.546104243674511,False,default
phase7cr2f_development_30c_005,development,general,zero,2,0.5366798446565594,5.546104243674511,7.5461042436745105,5.512193334246616,3.937247247758576,4.030165287651517,-0.092918039892941,-0.04751655304432845,-0.03973792147410338,0.00777863157022507,3.9435086151936085,10.0,5.512193334246616,False,default
phase7cr2f_development_30c_006,development,general,measured,0,0.5021240234375,1.416076634735527,3.4160766347355267,3.4160766347355267,3.788370347172835,3.876719490700733,-0.08834914352789802,-0.08834914352789802,-0.07618385863828436,0.012165284889613659,3.8432533366836634,10.0,3.4160766347355267,False,default
phase7cr2f_development_30c_006,development,general,measured,1,0.5030729336138153,3.4160766347355267,5.416076634735523,5.416076634735523,3.788370347172835,3.876719490700733,-0.08834914352789802,-0.07618385863828436,-0.0742778977794365,0.001905960858847866,3.8941376318949317,10.0,5.416076634735527,False,alternative
phase7cr2f_development_30c_006,development,general,measured,2,0.5045773993456864,5.416076634735523,7.416076634735523,5.541235971828142,3.788370347172835,3.876719490700733,-0.08834914352789802,-0.0742778977794365,-0.06730829330051824,0.0069696044789182565,3.909385462075587,10.0,5.541235971828142,False,default
phase7cr2f_development_30c_006,development,general,zero,0,0.5021240234375,1.416076634735527,3.4160766347355267,3.4160766347355267,3.788370347172835,3.876719490700733,-0.08834914352789802,0.0,-0.07618385863823463,0.0,3.843253336683713,10.0,3.4160766347355267,False,default
phase7cr2f_development_30c_006,development,general,zero,1,0.5030729336138153,3.4160766347355267,5.416076634735523,5.416076634735523,3.788370347172835,3.876719490700733,-0.08834914352789802,-0.07618385863823463,-0.07427789777941651,0.001905960858818112,3.8941376318949517,10.0,5.416076634735527,False,alternative
phase7cr2f_development_30c_006,development,general,zero,2,0.5045773993456864,5.416076634735523,7.416076634735523,5.541235971828142,3.788370347172835,3.876719490700733,-0.08834914352789802,-0.07427789777941651,-0.0673082933008411,0.00696960447857542,3.909385462075264,10.0,5.541235971828142,False,default
phase7cr2f_development_30c_007,development,general,measured,0,0.6271240234375,2.844648063306954,4.844648063306953,4.844648063306953,3.9318325298950265,4.062116489612595,-0.1302839597175689,-0.1302839597175689,-0.1188527896078444,0.011431170109724498,3.9849576983177952,10.0,4.844648063306954,False,default
phase7cr2f_development_30c_007,development,general,measured,1,0.6284697590106407,4.844648063306953,6.563984310785613,5.561276551436899,3.9318325298950265,4.062116489612595,-0.1302839597175689,-0.1188527896078444,-0.10963799374028316,0.009214795867561243,4.011293003638359,10.0,5.561276551436899,False,default
phase7cr2f_development_30c_007,development,general,measured,2,0.6300145580527066,5.561276551436899,6.523047763713173,5.526968260498554,3.9318325298950265,4.062116489612595,-0.1302839597175689,-0.10963799374028316,-0.09916583867278117,0.010472155067501987,4.022771231610158,10.0,5.526968260498554,False,default
phase7cr2f_development_30c_007,development,general,zero,0,0.6271240234375,2.844648063306954,4.844648063306953,4.844648063306953,3.9318325298950265,4.062116489612595,-0.1302839597175689,0.0,-0.11885278960803358,0.0,3.984957698317606,7.884286003682064,4.844648063306954,False,default
phase7cr2f_development_30c_007,development,general,zero,1,0.6284697590106407,4.844648063306953,6.563984310785613,5.561276551436899,3.9318325298950265,4.062116489612595,-0.1302839597175689,-0.11885278960803358,-0.10963799374024585,0.009214795867787728,4.0112930036383965,10.0,5.561276551436899,False,default
phase7cr2f_development_30c_007,development,general,zero,2,0.6300145580527066,5.561276551436899,6.523047763713173,5.526968260498554,3.9318325298950265,4.062116489612595,-0.1302839597175689,-0.10963799374024585,-0.09916583867294726,0.010472155067298594,4.022771231609992,10.0,5.526968260498554,False,default
phase7cr2f_development_30c_008,development,high_risk,measured,0,0.6458496093749999,7.709287796751354,6.471474924330837,5.709287796751354,4.031317872274941,4.135415172003297,-0.10409729972835624,-0.10409729972835624,-0.07710741916875996,0.02698988055959628,4.02385622706125,10.0,5.709287796751354,False,default
phase7cr2f_development_30c_008,development,high_risk,measured,1,0.6474355226518753,5.709287796751354,6.417482862513898,5.552343505961058,4.031317872274941,4.135415172003297,-0.10409729972835624,-0.07710741916875996,-0.06774918668762009,0.009358232481139872,4.036244271684383,10.0,5.552343505961058,False,default
phase7cr2f_development_30c_008,development,high_risk,measured,2,0.64897784029242,5.552343505961058,6.366093002221615,5.518594754233753,4.031317872274941,4.135415172003297,-0.10409729972835624,-0.06774918668762009,-0.060710805027412995,0.007038381660207094,4.0479000602130695,10.0,5.518594754233753,False,default
phase7cr2f_development_30c_008,development,high_risk,zero,0,0.6458496093749999,7.709287796751354,6.471474924330837,5.709287796751354,4.031317872274941,4.135415172003297,-0.10409729972835624,0.0,-0.07710741916879371,0.0,4.023856227061216,8.865394647000358,5.709287796751354,False,default
phase7cr2f_development_30c_008,development,high_risk,zero,1,0.6474355226518753,5.709287796751354,6.417482862513898,5.552343505961058,4.031317872274941,4.135415172003297,-0.10409729972835624,-0.07710741916879371,-0.06774918668771246,0.009358232481081252,4.036244271684291,10.0,5.552343505961058,False,default
