trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,historical_evidence,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,initial_dfn_voltage_v,initial_2rc_voltage_v,initial_measured_residual_v,initial_residual_extreme,design_candidate_index,design_seed,initial_state_history_contract
phase7cr2f2_development_30c_000,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5821955504704015,0.06361861330933462,0.0746371066449435,9.062973453959586,3.9892943698595937,4.156273971849451,-0.1669796019898575,True,3103,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_001,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6207893004704015,0.05793960096365561,0.058437106644943504,7.348687739673871,3.999899665632821,4.1360946614693175,-0.13619499583649652,False,3106,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_002,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5557893004704014,0.06460626763032228,0.0674371066449435,7.777259168245299,3.950192116889078,4.098936011273945,-0.14874389438486668,False,3107,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_003,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6045393004704015,0.05349515651921116,0.07643710664494349,8.267055086612647,3.9977643551355833,4.1518079934574175,-0.1540436383218342,True,3108,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_004,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5720393004704014,0.055717378741433385,0.0602371066449435,9.552769372326932,3.986789252254453,4.135314994308526,-0.14852574205407354,False,3111,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_005,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6614143004704015,0.04905071207476672,0.07823710664494349,7.409912229469789,4.0467482001890716,4.191915065994648,-0.14516686580557625,False,3113,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_006,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6289143004704014,0.052013675037729676,0.0872371066449435,7.838483658041217,4.014381001508236,4.178142000175989,-0.16376099866775284,True,3114,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_007,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5639143004704015,0.058680341704396344,0.0980371066449435,8.328279576408566,3.9645330818418665,4.142657773524671,-0.17812469168280431,True,3115,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_008,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6126643004704014,0.045347008371063015,0.062037106644943496,8.756851004979993,4.011023765090753,4.148433109941869,-0.13740934485111556,False,3116,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_009,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5801643004704015,0.04756923059328523,0.08903710664494349,7.042565290694279,3.9610750964660952,4.109685009018093,-0.14860991255199751,False,3119,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_010,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5923518004704015,0.05645811948217412,0.0998371066449435,7.471136719265708,3.9770587352726823,4.149452591880497,-0.17239385660781448,True,3120,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_011,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6573518004704014,0.06312478614884079,0.06383710664494349,7.899708147837136,4.048130543298278,4.197681593828968,-0.1495510505306905,False,3121,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_012,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6248518004704015,0.04979145281550745,0.0728371066449435,8.389504066204482,4.017566637430539,4.168918822220392,-0.1513521847898529,True,3122,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_013,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5598518004704015,0.05275441577847042,0.0818371066449435,8.818075494775911,3.9672332958590824,4.127340384840154,-0.1601070889810714,True,3123,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_014,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6411018004704014,0.05497663800069264,0.0998543866449435,7.103789780490197,4.0175052171855175,4.19112396793476,-0.1736187507492426,True,3126,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_015,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5761018004704015,0.06164330466735931,0.0638543866449435,7.532361209061626,3.9644033485363668,4.105384900333575,-0.14098155179720795,False,3127,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_016,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6004768004704014,0.048309971334025974,0.07285438664494351,7.9609326376330545,3.990350357832738,4.132146865449554,-0.1417965076168164,False,3128,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_017,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5679768004704014,0.050532193556248196,0.056654386644943495,9.307871413143259,3.980346372943632,4.117676540288204,-0.13733016734457193,False,3131,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_018,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5517268004704015,0.058186514543902515,0.0746543866449435,7.165014270286116,3.938258405412844,4.083023446314116,-0.14476504090127218,False,3133,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_019,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6492268004704015,0.06485318121056918,0.08365438664494351,7.593585698857544,4.03385088367464,4.203973775777236,-0.17012289210259546,True,3134,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_020,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5842268004704014,0.05374207009945807,0.0944543866449435,8.022157127428972,3.9776982894146706,4.145824763435947,-0.168126474021276,True,3135,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_021,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5872736754704014,0.06040873676612474,0.0584543866449435,8.092127972910022,3.981135994521977,4.120717816502833,-0.13958182198085645,False,3136,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_022,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5547736754704015,0.06263095898834696,0.0854543866449435,9.377842258624309,3.9696878878128787,4.148224944882037,-0.17853705706915868,True,3139,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_023,development,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6685236754704015,0.05226058861797659,0.0602543866449435,7.234985115767165,4.053433173098101,4.18103957981422,-0.12760640671611867,False,3141,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_024,development,30.0,30.0,historical_extreme_neighborhood,0,residual_audit_lower_bound,0.6288262267912464,0.05876594688889421,0.08512713954396986,6.814597930644932,4.000254159010206,4.160839052623736,-0.1605848936135299,True,3142,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_025,development,30.0,30.0,historical_extreme_neighborhood,1,residual_audit_boot_growth_maximum,0.6325762267912465,0.050321502444449835,0.07912713954396987,7.549291808195952,4.0142714059552524,4.166098559139637,-0.15182715318438422,True,3143,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_026,development,30.0,30.0,historical_extreme_neighborhood,2,r2f_25_001527_mv_exceedance,0.5720977111662464,0.05048245351898105,0.059427939543969764,9.998896139724481,3.9921863540404705,4.1388440798156765,-0.14665772577520597,False,3144,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_027,development,30.0,30.0,historical_extreme_neighborhood,3,r2_historical_exceedance,0.6138994689787465,0.05380298392593126,0.020859939543969867,8.740045660757387,4.011903085974219,4.1166789789378235,-0.10477589296360446,False,3148,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_028,development,30.0,30.0,historical_extreme_neighborhood,4,phase7c_historical_exceedance,0.6080254455412465,0.04039283303429889,0.06955113954396985,8.804393849012278,4.007592518249256,4.147028707824118,-0.13943618957486237,False,3149,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_029,development,30.0,30.0,historical_extreme_neighborhood,5,r1_historical_exceedance,0.5521856017912464,0.041144547711939566,0.04435113954396987,8.961828251344642,3.9622415910682927,4.074435559331508,-0.11219396826321493,False,3150,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_030,development,30.0,30.0,historical_extreme_neighborhood,0,residual_audit_lower_bound,0.6157012267912464,0.0593585394814868,0.07763913954396987,7.304393849012278,3.994636363383549,4.150309342174055,-0.15567297879050646,True,3151,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_031,development,30.0,30.0,historical_extreme_neighborhood,1,residual_audit_boot_growth_maximum,0.6372637267912464,0.05091409503704243,0.07163913954396986,8.00847548166534,4.025427056572688,4.174033661634821,-0.14860660506213286,False,3152,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_032,development,30.0,30.0,historical_extreme_neighborhood,2,r2f_25_001527_mv_exceedance,0.5786602111662464,0.05640837944490698,0.05673993954396977,10.0,3.9977163837154324,4.147992326507606,-0.15027594279217382,True,3154,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_033,development,30.0,30.0,historical_extreme_neighborhood,3,r2_historical_exceedance,0.6017119689787465,0.04195113207407941,0.027771939543969865,8.770657905655344,4.001816397946959,4.09931161146681,-0.09749521351985102,False,3155,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_034,development,30.0,30.0,historical_extreme_neighborhood,4,phase7c_historical_exceedance,0.5920879455412464,0.046318758960224825,0.05246313954396986,8.835006093910238,3.9946308057721245,4.120808885000919,-0.12617807922879454,False,3156,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_035,development,30.0,30.0,historical_extreme_neighborhood,5,r1_historical_exceedance,0.5587481017912465,0.05003343660082845,0.030911139543969866,8.992440496242601,3.9684467578144433,4.076424506781436,-0.10797774896699242,False,3157,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_036,development,30.0,30.0,general_high_risk,-1,bounded_design,0.5870158812758169,0.04383326975824061,0.08046202812159761,8.843925732587513,3.9905530392984074,4.141962841344095,-0.15140980204568777,True,3159,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_037,development,30.0,30.0,general_high_risk,-1,bounded_design,0.6482658812758169,0.047166603091573944,0.06066202812159761,6.558211446873226,4.018241376836608,4.140167587741774,-0.12192621090516642,False,3162,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_038,development,30.0,30.0,general_high_risk,-1,bounded_design,0.5782658812758169,0.05716660309157394,0.07166202812159761,7.129640018301798,3.9607022147545985,4.102062622755023,-0.14136040800042426,False,3163,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_039,development,30.0,30.0,general_high_risk,-1,bounded_design,0.6307658812758169,0.037166603091573935,0.0826620281215976,7.782701242791594,4.015524638379979,4.159516695078279,-0.14399205669830017,False,3164,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_040,development,30.0,30.0,general_high_risk,-1,bounded_design,0.560765881275817,0.05049993642490728,0.09586202812159761,8.354129814220165,3.962128718927324,4.130029730728332,-0.16790101180100736,True,3165,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_041,development,30.0,30.0,general_high_risk,-1,bounded_design,0.595765881275817,0.040499936424907276,0.06286202812159761,9.496986957077308,4.005848160274242,4.142815491155935,-0.136967330881693,False,3167,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_042,development,30.0,30.0,general_high_risk,-1,bounded_design,0.6023283812758169,0.04494438086935172,0.0738620281215976,6.06841552850588,3.965401345522105,4.091388046641964,-0.1259867011198592,False,3168,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_043,development,30.0,30.0,general_high_risk,-1,bounded_design,0.6723283812758168,0.05494438086935172,0.0848620281215976,6.639844099934452,4.049836241895038,4.199713702532446,-0.14987746063740737,False,3169,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_044,development,30.0,30.0,global_coverage,-1,bounded_design,0.5880863951353873,0.06487949188359539,0.09647641476654112,3.0281816784075577,3.9015120211961616,4.055870066314297,-0.15435804511813522,True,3170,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_045,development,30.0,30.0,global_coverage,-1,bounded_design,0.46308639513538735,0.02876838077248428,0.016476414766541114,4.6608347396320475,3.817416654227526,3.8646268433580806,-0.047210189130554525,False,3171,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_046,development,30.0,30.0,global_coverage,-1,bounded_design,0.5568363951353873,0.05043504743915095,0.036476414766541114,6.089406168203475,3.9273725845802647,4.018722940960932,-0.09135035638066702,False,3172,20260811,dfn_and_2rc_do_not_share_current_history
phase7cr2f2_development_30c_047,development,30.0,30.0,global_coverage,-1,bounded_design,0.6818363951353873,0.007101714105817612,0.05647641476654111,7.517977596774903,4.0735761204232155,4.152430575914988,-0.07885445549177295,False,3173,20260811,dfn_and_2rc_do_not_share_current_history
