trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,historical_evidence,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,initial_dfn_voltage_v,initial_2rc_voltage_v,initial_measured_residual_v,initial_residual_extreme,design_candidate_index,design_seed,initial_state_history_contract
phase7cr2f4_development_25c_000,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5055181166444725,0.046677734572017085,0.07954154989868076,8.639533682456891,3.926090697619481,4.066418912986213,-0.14032821536673223,True,9101,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_001,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.4630181166444725,0.05778884568312819,0.08954154989868075,9.06810511102832,3.8923684864514954,4.060710641507634,-0.1683421550561386,True,9102,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_002,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5480181166444725,0.04112217901646152,0.09954154989868075,9.496676539599747,3.977085226300531,4.137279424989847,-0.16019419868931628,True,9103,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_003,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5639556166444725,0.04945551234979486,0.05954154989868075,9.925247968171178,3.996428882077585,4.129055317044039,-0.1326264349664541,True,9104,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_004,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.4789556166444725,0.06056662346090597,0.07154154989868075,7.353819396742605,3.8838186416940053,4.022270188464526,-0.13845154677052118,True,9105,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_005,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.6064556166444725,0.0438999567942393,0.08154154989868075,7.7823908253140335,4.004699340130378,4.139030804497224,-0.13433146436684673,True,9106,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_006,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5214556166444725,0.05223329012757264,0.09154154989868074,8.272186743681381,3.936636531973062,4.090431350679704,-0.15379481870664158,True,9107,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_007,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5852056166444725,0.055936993831276344,0.05154154989868074,8.70075817225281,3.9991197743187863,4.120466888632889,-0.12134711431410228,True,9108,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_008,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5002056166444725,0.06427032716460968,0.06154154989868075,9.129329600824239,3.9272278264963916,4.071698754571099,-0.14447092807470785,True,9109,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_009,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.4577056166444725,0.04760366049794301,0.07354154989868075,9.557901029395666,3.893946274697462,4.040522745920906,-0.14657647122344386,True,9110,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_010,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5427056166444725,0.05871477160905412,0.08354154989868075,9.986472457967096,3.978195181639292,4.144559266574734,-0.16636408493544197,True,9111,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_011,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5745806166444725,0.042048104942387456,0.09354154989868074,7.415043886538524,3.973115363923738,4.111608648992574,-0.13849328506883563,True,9112,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_012,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.4895806166444725,0.05038143827572078,0.05354154989868074,7.843615315109952,3.9003993098671312,4.013448596235517,-0.11304928636838607,True,9113,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_013,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.6170806166444724,0.06149254938683189,0.06354154989868076,7.913586160591002,4.015786439838163,4.1528270177266355,-0.1370405778884729,True,9114,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_014,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5320806166444725,0.04482588272016523,0.07554154989868075,8.342157589162431,3.947664776550322,4.078048139682772,-0.13038336313245003,True,9115,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_015,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5958306166444725,0.05315921605349856,0.08554154989868075,8.77072901773386,4.008799585113152,4.162713307265587,-0.15391372215243493,True,9116,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_016,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5108306166444725,0.05686291975720227,0.09554154989868074,9.199300446305287,3.9383151793920623,4.109315543574169,-0.17100036418210696,True,9117,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_017,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.4683306166444725,0.0401962530905356,0.055541549898680743,9.627871874876716,3.903954948419963,4.025519453711649,-0.12156450529168561,True,9118,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_018,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5533306166444725,0.04852958642386893,0.06554154989868076,7.056443303448145,3.949675319725846,4.063375342987466,-0.11370002326161988,True,9119,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_019,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.5612993666444726,0.059640697534980046,0.07754154989868076,7.4850147320195735,3.962710824366567,4.102780800231331,-0.1400699758647641,True,9120,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_020,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.4762993666444725,0.04297403086831337,0.08754154989868075,7.974810650386921,3.8898944284424593,4.03170243949606,-0.14180801105360086,True,9121,20260901,dfn_and_2rc_do_not_share_current_history
phase7cr2f4_development_25c_021,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.6037993666444725,0.05130736420164671,0.09754154989868075,8.403382078958348,4.01070638220502,4.172839826795687,-0.16213344459066636,True,9122,20260901,dfn_and_2rc_do_not_share_current_history
