trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,historical_evidence,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,initial_dfn_voltage_v,initial_2rc_voltage_v,initial_measured_residual_v,initial_residual_extreme,design_candidate_index,design_seed,initial_state_history_contract
phase7cr2f5_development_25c_000,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.513019015299895,0.04615877545729877,0.06420331801874707,8.685707706101457,3.9339073097446686,4.058275656442936,-0.12436834669826702,True,11101,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_001,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.47051901529989504,0.0544921087906321,0.07420331801874708,9.175503624468806,3.900277736073215,4.050658440861731,-0.15038070478851662,True,11102,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_002,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.555519015299895,0.04060321990174321,0.08420331801874707,9.604075053040233,3.9851329007392913,4.130442758952948,-0.14530985821365672,True,11103,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_003,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.563487765299895,0.04893655323507655,0.09420331801874708,7.032646481611662,3.9582729643055248,4.101047503606477,-0.14277453930095207,True,11104,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_004,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.478487765299895,0.05726988656840988,0.056203318018747075,7.461217910183091,3.884884245317469,4.005534836139764,-0.12065059082229457,True,11105,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_005,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.605987765299895,0.06097359027211358,0.06620331801874707,7.88978933875452,4.005751530732104,4.142556051850787,-0.13680452111868302,True,11106,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_006,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.520987765299895,0.04430692360544692,0.07620331801874708,8.318360767325949,3.9367951408873862,4.067732474140915,-0.13093733325352908,True,11107,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_007,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.584737765299895,0.05264025693878025,0.08620331801874707,8.746932195897376,3.9993247135283485,4.152397641723729,-0.15307292819538043,True,11108,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_008,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.499737765299895,0.06375136804989137,0.09620331801874708,9.236728114264723,3.928125879409139,4.107729180116522,-0.17960330070738273,True,11109,20261001,dfn_and_2rc_do_not_share_current_history
phase7cr2f5_development_25c_009,development,25.0,25.0,startup_transient_stress,-1,bounded_design,0.457237765299895,0.047084701383224695,0.05820331801874708,9.665299542836152,3.894871020177181,4.026565171373921,-0.13169415119674,True,11110,20261001,dfn_and_2rc_do_not_share_current_history
