role,trajectory_id,ambient_temperature_c,target_reached,charge_time_s,maximum_voltage_v,maximum_temperature_c,minimum_current_a,maximum_current_a,maximum_current_step_a,guard_exceedance_count,maximum_positive_residual_growth_v,empty_voltage_slew_count,empty_thermal_slew_count,solver_failure_count,prediction_infeasible_count,sustained_oscillation_count,voltage_intervention_fraction,thermal_intervention_fraction,both_layers_fraction,maximum_voltage_correction_a,maximum_thermal_correction_a,teacher_retry_count,alternative_selected_count,total_thermal_supervisor_time_s
development,phase7cr2f_development_30c_000,30.0,True,1190.0,4.173565809588537,34.72803181085493,0.0847775623471389,5.544573306044355,2.0,0,0.0014046103822051,0,0,0,0,0,0.16806722689075632,0.6470588235294118,0.16806722689075632,0.2484611434040409,1.990517621260678,3,1,0.1306587998987989
development,phase7cr2f_development_30c_001,30.0,True,1560.0,4.168721065178296,34.865174895192524,0.0823811418206117,5.563257740915242,2.0,0,0.0041701791294221,0,0,0,0,0,0.07371794871794872,0.7371794871794872,0.07371794871794872,0.1410295252734701,2.037084568748317,140,53,0.17743590009193472
development,phase7cr2f_development_30c_002,30.0,True,855.0,4.178389897430637,34.039818502636194,0.0852264569602019,5.58683698686745,1.5176991276421274,0,0.0103398243723411,0,0,0,0,0,0.25146198830409355,0.29239766081871343,0.029239766081871343,0.2776551123015442,0.1351993759220864,0,0,0.0817517000686992
development,phase7cr2f_development_30c_003,30.0,True,2025.0,4.1659994585724585,34.9000317249305,0.0846236824649806,5.5866720572157424,0.1068391608810719,0,0.0050243800053384,0,0,0,0,0,0.01728395061728395,0.8,0.01728395061728395,0.0466260508713602,2.037339336067696,244,110,0.23407030002997828
development,phase7cr2f_development_30c_004,30.0,True,1280.0,4.171713474096018,34.784325821720415,0.0841296707247236,5.587097701803936,1.3391830145642434,0,0.0048859546097679,0,0,0,0,0,0.140625,0.6796875,0.140625,0.2179837503347625,2.616430442258517,35,14,0.12476280001281839
development,phase7cr2f_development_30c_005,30.0,True,1650.0,4.167728972478766,34.877501623161606,0.0842982752292668,6.354852144939608,2.0,0,0.0150678068001779,0,0,0,0,0,0.06060606060606061,0.7545454545454545,0.06060606060606061,0.1219123524572656,3.106420962609836,162,68,0.1714615999589862
development,phase7cr2f_development_30c_006,30.0,True,1840.0,4.166655003038177,34.89181770637464,0.0834795592076399,5.541235971828142,2.0,0,0.0069696044789093,0,0,0,0,0,0.035326086956521736,0.7744565217391305,0.035326086956521736,0.0785140697516304,2.037254970629279,205,84,0.1897475999139533
development,phase7cr2f_development_30c_007,30.0,True,1100.0,4.175796763387698,34.64881184503963,0.0842125755051308,5.561276551436899,1.999999999999999,0,0.0104721550673518,0,0,0,0,0,0.18636363636363637,0.6181818181818182,0.18636363636363637,0.2687599160284075,1.0477741094923383,1,0,0.1055523000104476
development,phase7cr2f_development_30c_008,30.0,True,995.0,4.177942203147376,34.50228651900329,0.0845606770532374,5.709287796751354,2.0,0,0.0093582324811674,0,0,0,0,0,0.22613065326633167,0.5477386934673367,0.19095477386934673,0.3079120906468739,0.8651393565528398,0,0,0.08953209998434361
development,phase7cr2f_development_30c_009,30.0,True,1225.0,4.172727825495464,34.75459507004439,0.0840923586899531,6.852144939608497,2.0,0,0.0194398933440167,0,0,0,0,0,0.1510204081632653,0.6653061224489796,0.1510204081632653,0.2324406084854975,1.6497757958952954,0,0,0.1223276999808022
development,phase7cr2f_development_30c_010,30.0,True,830.0,4.178465636123649,33.88311170086433,0.0838156296860959,5.587102604917753,0.4212272576395151,0,0.0127406595643657,0,0,0,0,0,0.25301204819277107,0.03614457831325301,0.0,0.2715406206777464,0.0569085386091883,0,0,0.0629563999827876
development,phase7cr2f_development_30c_011,30.0,True,1155.0,4.174270991780611,34.70093276624817,0.0828117732945516,5.587002119884944,0.9927563141008956,0,0.0090100421620293,0,0,0,0,0,0.17316017316017315,0.6406926406926406,0.17316017316017315,0.2550313408673048,1.444388612785792,0,0,0.1153488999843718
development,phase7cr2f_development_30c_012,30.0,True,885.0,4.178309214857103,34.17499337365746,0.0841856288482109,5.58694599493057,1.5642410104838405,0,0.0123675922926755,0,0,0,0,0,0.23728813559322035,0.3502824858757062,0.05649717514124294,0.2791109807597824,0.1917955998973219,0,0,0.0725011999820617
development,phase7cr2f_development_30c_013,30.0,True,1015.0,4.177935317067312,34.53332759458954,0.0821916935011067,5.722615576842982,2.0,0,0.0152754795060472,0,0,0,0,0,0.21182266009852216,0.5665024630541872,0.1921182266009852,0.2937328697185224,0.7095908942346476,0,0,0.0966547000425535
development,phase7cr2f_development_30c_014,30.0,True,1190.0,4.173634966603823,34.73043416062552,0.0831432997452535,6.865472719700126,2.0,0,0.0175571286580003,0,0,0,0,0,0.1638655462184874,0.6554621848739496,0.1638655462184874,0.2423899968934559,1.6608347581122187,0,0,0.1208552000680235
development,phase7cr2f_development_30c_015,30.0,True,1050.0,4.17752998991169,34.58562638561796,0.0818938443041521,5.586537835797584,0.5034246798209088,0,0.0098629506015974,0,0,0,0,0,0.20476190476190476,0.6,0.20476190476190476,0.2859644038838711,0.8630965757601796,0,0,0.1120346999959922
development,phase7cr2f_development_30c_016,30.0,True,815.0,4.178566044056032,33.62334199222363,0.0832088042248316,5.165567421753917,1.4958236652931465,0,0.0117912868031337,0,0,0,0,0,0.20245398773006135,0.0,0.0,0.2386499192367122,0.0,0,0,0.0667689999900099
development,phase7cr2f_development_30c_017,30.0,True,1120.0,4.175367858063151,34.6679080833502,0.0822618557004383,5.586984665043158,1.6458349934324774,0,0.0135673061802252,0,0,0,0,0,0.17857142857142858,0.6294642857142857,0.17857142857142858,0.2624586549931118,1.0920720588684567,0,0,0.1099760000724814
