trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,historical_evidence,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,initial_dfn_voltage_v,initial_2rc_voltage_v,initial_measured_residual_v,initial_residual_extreme,design_candidate_index,design_seed,initial_state_history_contract
phase7cr3_confirmation_15c_000,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5706274466457925,0.05542935204684085,0.08612921197723716,8.809824504641677,4.0133221169606035,4.143797426586113,-0.1304753096255098,True,13101,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_001,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5281274466457925,0.06376268538017418,0.09612921197723716,9.238395933213106,3.9805431666563873,4.1331530929942115,-0.15260992633782422,True,13102,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_002,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.6290649466457924,0.05079972241721122,0.06612921197723716,7.15676328015188,4.041193080991874,4.141433261250087,-0.10024018025821224,True,13104,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_003,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5440649466457924,0.059133055750544554,0.07812921197723716,7.585334708723309,3.973242808215087,4.089541944868563,-0.1162991366534758,True,13105,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_004,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5865649466457924,0.053577500194989,0.09812921197723716,8.442477565866167,4.021784817964346,4.1604024568721965,-0.13861763890785017,True,13107,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_005,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5653149466457924,0.045244166861655666,0.06812921197723716,9.299620423009024,4.015104341114425,4.1212994903932225,-0.1061951492787978,True,13109,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_006,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5228149466457924,0.05635527797276678,0.08012921197723716,9.728191851580451,3.981667693545176,4.115432934579098,-0.13376524103392207,True,13110,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_007,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.6078149466457924,0.06468861130610011,0.09012921197723717,7.217987769947799,4.022483316846037,4.1578211729704835,-0.1353378561244467,True,13111,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_008,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.6396899466457924,0.04802194463943345,0.05012921197723716,7.646559198519227,4.0595495772822545,4.144511991360774,-0.0849624140785199,False,13112,20261101,dfn_and_2rc_do_not_share_current_history
phase7cr3_confirmation_15c_009,confirmation,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5546899466457924,0.05172564834313715,0.060129211977237154,8.075130627090655,3.9896453828690355,4.084118211629657,-0.09447282876062157,False,13113,20261101,dfn_and_2rc_do_not_share_current_history
