trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,historical_evidence,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,initial_dfn_voltage_v,initial_2rc_voltage_v,initial_measured_residual_v,initial_residual_extreme,design_candidate_index,design_seed,initial_state_history_contract
phase7cr3t2_confirmation_30c_000,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.525812679166468,0.054632809410434635,0.07192996145928474,7.376272505086324,3.917106205116925,4.05800801363002,-0.14090180851309464,True,18101,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_001,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.653312679166468,0.04074392052154575,0.08192996145928473,7.8660684234536715,4.042568408550748,4.188340500389546,-0.1457720918387979,True,18102,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_002,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.568312679166468,0.04907725385487908,0.09192996145928473,8.2946398520251,3.9678823561816525,4.130175116140033,-0.16229275995838055,True,18103,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_003,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.600187679166468,0.0574105871882124,0.051929961459284725,8.723211280596528,3.99994215826836,4.136280514958339,-0.13633835668997918,True,18104,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_004,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.557687679166468,0.060188364965990185,0.08392996145928473,7.008925566310814,3.9413904661810086,4.096316876499719,-0.15492641031871024,True,18107,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_005,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.621437679166468,0.0638920686696939,0.09392996145928473,7.437496994882243,4.001718645701279,4.180131163480737,-0.17841251777945732,True,18108,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_006,confirmation,30.0,30.0,historical_exceedance_neighborhood,0,legacy_30c_thermal_boundary,0.6227152200367296,0.055801212014447626,0.010075181500456668,1.5587110130596136,3.899331969191576,3.9640976641392793,-0.06476569494770335,False,18109,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_007,confirmation,30.0,30.0,historical_exceedance_neighborhood,1,legacy_30c_thermal_development,0.6183597512867296,0.024701074840236453,0.01468318150045667,7.603900517432792,4.0011168778001345,4.061941071961256,-0.06082419416112117,False,18110,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_008,confirmation,30.0,30.0,historical_exceedance_neighborhood,0,legacy_30c_thermal_boundary,0.6302152200367296,0.05224565645889207,0.02063518150045667,1.987282441631042,3.9165483831296974,3.9882979718959772,-0.07174958876627979,False,18111,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_009,confirmation,30.0,30.0,general_high_risk,-1,bounded_design,0.599220756862558,0.04700381573696599,0.08311595375114167,8.950676265285168,4.001991950269165,4.161013620612919,-0.15902167034375392,True,18112,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_010,confirmation,30.0,30.0,general_high_risk,-1,bounded_design,0.6392207568625581,0.04033714907029934,0.04711595375114167,6.09353340814231,4.000828621308668,4.100167267790403,-0.09933864648173518,False,18114,20261204,dfn_and_2rc_do_not_share_current_history
phase7cr3t2_confirmation_30c_011,confirmation,30.0,30.0,global_coverage,-1,bounded_design,0.480032432597747,0.03323048965231521,0.03585992291856945,1.662404948927203,3.773240284979366,3.838695168865833,-0.06545488388646703,False,18115,20261204,dfn_and_2rc_do_not_share_current_history
