trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,historical_evidence,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,initial_dfn_voltage_v,initial_2rc_voltage_v,initial_measured_residual_v,initial_residual_extreme,design_candidate_index,design_seed,initial_state_history_contract
phase7d1_development_15c_000,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5710940484752989,0.04882155439276088,0.07727542356557991,9.417536361515197,4.021544200821539,4.141723562171607,-0.12017936135006746,True,21101,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_001,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5285940484752989,0.059932665503872,0.08727542356557991,9.846107790086624,3.9886385814551755,4.133857006357482,-0.14521842490230696,True,21102,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_002,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.6135940484752989,0.04326599883720533,0.0972754235655799,7.274679218658054,4.028332879424632,4.150957317468598,-0.1226244380439665,True,21103,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_003,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.6295315484752988,0.051599332170538664,0.05727542356557991,7.703250647229482,4.049465795158113,4.145542460102734,-0.09607666494462119,False,21104,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_004,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5445315484752988,0.055303035874242366,0.0692754235655799,8.193046565596829,3.982085134480174,4.0902458582318335,-0.1081607237516593,True,21105,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_005,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5870315484752988,0.046969702540909035,0.08927542356557991,9.050189422739686,4.0301581492264535,4.158328592457689,-0.1281704432312356,True,21107,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_006,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5657815484752988,0.04141414698535348,0.05927542356557991,9.907332279882542,4.023131421904721,4.1220034037564925,-0.09887198185177137,False,21109,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_007,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5232815484752988,0.04974748031868681,0.0712754235655799,7.335903708453971,3.9501789535145484,4.049336135352032,-0.09915718183748368,False,21110,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_008,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.6082815484752988,0.06085859142979792,0.0812754235655799,7.7644751370254,4.030650052768133,4.157300742193502,-0.12665068942536983,True,21111,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_009,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5551565484752988,0.05252525809646459,0.0512754235655799,8.682842483964176,3.998222508501854,4.089451754622557,-0.09122924612070271,False,21113,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_010,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5764065484752988,0.05653760377547694,0.09327542356557991,7.397128198249891,3.9988888649405308,4.12708759990256,-0.12819873496202927,True,21117,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_011,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.5339065484752988,0.06487093710881027,0.053275423565579905,7.825699626821319,3.9671785821131826,4.066443266310658,-0.09926468419747492,False,21118,20261301,dfn_and_2rc_do_not_share_current_history
phase7d1_development_15c_012,development,15.0,15.0,startup_transient_stress,-1,bounded_design,0.6189065484752988,0.04820427044214361,0.06327542356557991,7.895670472302369,4.0418935271566925,4.140850041842667,-0.0989565146859741,False,21119,20261301,dfn_and_2rc_do_not_share_current_history
