trajectory_id,role,ambient_temperature_c,initial_temperature_c,risk_stratum,historical_center_index,historical_evidence,initial_soc,initial_polarization_1_v,initial_polarization_2_v,initial_previous_current_a,initial_dfn_voltage_v,initial_2rc_voltage_v,initial_measured_residual_v,initial_residual_extreme,design_candidate_index,design_seed,initial_state_history_contract
phase7d3_confirmation_30c_000,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5344594095469759,0.062202428505432554,0.05270844635733161,9.174113767437632,3.948598882976481,4.092480190672486,-0.14388130769600505,True,26103,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_001,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5663344095469759,0.045535761838765884,0.06270844635733162,9.602685196009059,3.9825260329430128,4.123552507902885,-0.14102647495987242,True,26104,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_002,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6513344095469759,0.05386909517209922,0.0747084463573316,7.031256624580488,4.028733203578076,4.174305188032227,-0.14557198445415054,True,26105,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_003,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6088344095469759,0.06498020628321033,0.0847084463573316,7.4598280531519165,3.9907263451321384,4.158947297338248,-0.16822095220610933,True,26106,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_004,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5238344095469759,0.048313539616543666,0.09470844635733161,7.8883994817233445,3.922102017283092,4.083621951032172,-0.16151993374908002,True,26107,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_005,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5875844095469759,0.056646872949877,0.05470844635733161,8.316970910294774,3.984314694581327,4.118287118614986,-0.13397242403365883,True,26108,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_006,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5450844095469759,0.04954810751777823,0.0867084463573316,9.663909685804978,3.964420640647146,4.133809543853333,-0.16938890320618727,True,26111,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_007,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5455824564219759,0.060659218628889344,0.09670844635733161,7.092481114376406,3.9316889299340105,4.1004906169832935,-0.168801687049283,True,26112,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_008,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.6305824564219759,0.04399255196222268,0.05670844635733161,7.521052542947834,4.011822129774848,4.1346083535658895,-0.12278622379104132,True,26113,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_009,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5880824564219759,0.05232588529555601,0.06670844635733161,7.949623971519264,3.979932898541616,4.118573351209149,-0.13864045266753333,True,26114,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_010,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5668324564219759,0.04677032974000046,0.0887084463573316,8.80676682866212,3.9731438190268786,4.134248162507953,-0.1611043434810746,True,26116,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_011,confirmation,30.0,30.0,startup_transient_stress,-1,bounded_design,0.5243324564219759,0.04214070011037083,0.06870844635733162,9.733880531286028,3.9458214654342383,4.091280245790744,-0.14545878035650528,True,26119,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_012,confirmation,30.0,30.0,historical_exceedance_neighborhood,0,level4_thermal_boundary,0.6217351886909323,0.05952863686310846,0.061888886050861375,6.741395137131193,3.992312231888861,4.129190477815193,-0.13687824592633202,True,26120,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_013,confirmation,30.0,30.0,historical_exceedance_neighborhood,1,repeatability_boundary,0.5322022302997579,0.060447301925516374,0.07947001571080387,6.921784199300767,3.916871142630831,4.0673949582207936,-0.15052381558996242,True,26121,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_014,confirmation,30.0,30.0,historical_exceedance_neighborhood,0,level4_thermal_boundary,0.6292351886909323,0.05597308130755291,0.04748888605086137,7.169966565702621,4.005643684468981,4.128430785571889,-0.12278710110290803,True,26122,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_015,confirmation,30.0,30.0,historical_exceedance_neighborhood,1,repeatability_boundary,0.5397022302997578,0.05511396859218304,0.06507001571080387,7.350355627872195,3.929830857011388,4.063535487926797,-0.13370463091540863,True,26123,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_016,confirmation,30.0,30.0,historical_exceedance_neighborhood,0,level4_thermal_boundary,0.6254851886909323,0.065,0.057088886050861376,7.629150239172009,4.00818328622781,4.152832268178377,-0.1446489819505672,True,26124,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_017,confirmation,30.0,30.0,historical_exceedance_neighborhood,1,repeatability_boundary,0.5359522302997579,0.05155841303662748,0.07010041571080386,7.809539301341583,3.932528173862979,4.071445896421739,-0.13891772255876011,True,26125,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_018,confirmation,30.0,30.0,general_high_risk,-1,bounded_design,0.5540776060442126,0.0586799512435561,0.08942613562879793,6.298235266204499,3.928013321433575,4.08189946463858,-0.15388614320500515,True,26127,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_019,confirmation,30.0,30.0,general_high_risk,-1,bounded_design,0.5690776060442126,0.0386799512435561,0.04142613562879792,6.86966383763307,3.9493118675347603,4.039549768354154,-0.09023790081939342,False,26128,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_020,confirmation,30.0,30.0,general_high_risk,-1,bounded_design,0.6490776060442126,0.048679951243556105,0.05342613562879793,7.441092409061642,4.031602088465433,4.1541578088349365,-0.1225557203695038,True,26129,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_021,confirmation,30.0,30.0,general_high_risk,-1,bounded_design,0.6090776060442127,0.06201328457688944,0.06782613562879793,8.012520980490212,3.9983190998008147,4.1511540948005985,-0.1528349949997838,True,26130,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_022,confirmation,30.0,30.0,global_coverage,-1,bounded_design,0.6829337594440822,0.015195449916593773,0.06637689271466321,6.663955512450023,4.0629407477798685,4.153376921081695,-0.09043617330182663,False,26131,20261402,dfn_and_2rc_do_not_share_current_history
phase7d3_confirmation_30c_023,confirmation,30.0,30.0,global_coverage,-1,bounded_design,0.5266837594440822,0.03686211658326043,0.08637689271466321,8.092526941021452,3.92750689053569,4.070751208075378,-0.14324431753968803,True,26132,20261402,dfn_and_2rc_do_not_share_current_history
