profile_name,variant,temperature_c,initial_soc,c_rate,holdout_soc,horizon_s,voltage_rmse_mv,voltage_maximum_absolute_error_mv,temperature_rmse_c,temperature_maximum_absolute_error_c,true_voltage_feasible,predicted_voltage_feasible,voltage_classification,true_temperature_feasible,predicted_temperature_feasible,temperature_classification
t15_soc0.60_c0.5,fixed_2rc_dual,15.0,0.6,0.5,False,5.0,34.63487738296332,34.69079263600028,0.011181444101258833,0.015812949894916883,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,fixed_2rc_dual,15.0,0.6,0.5,False,25.0,34.19262855323733,34.69079263600028,0.045276528549852375,0.07372120510373037,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,fixed_2rc_dual,15.0,0.6,0.5,False,300.0,30.105539572439667,34.69079263600028,0.37813754570872726,0.578799205547659,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,related_2rc_dual,15.0,0.6,0.5,False,5.0,27.150305448642428,27.940296768081296,0.005601123744534614,0.007921185164050826,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,related_2rc_dual,15.0,0.6,0.5,False,25.0,27.937452006013224,28.43482183700452,0.02012905437402092,0.031476280477798824,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,related_2rc_dual,15.0,0.6,0.5,False,300.0,28.23605645307664,30.73860876125689,0.05128122947156767,0.06477593858565811,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,related_2rc_single,15.0,0.6,0.5,False,5.0,27.150305448642428,27.940296768081296,0.005710169104725353,0.008075398591346428,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,related_2rc_single,15.0,0.6,0.5,False,25.0,27.937452006013224,28.43482183700452,0.02062993099109581,0.03231915704568067,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c0.5,related_2rc_single,15.0,0.6,0.5,False,300.0,28.23605645307664,30.73860876125689,0.05502197336764138,0.0688511924364743,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c1,fixed_2rc_dual,15.0,0.6,1.0,False,5.0,33.44264636944186,33.46359671360011,0.029968073763679087,0.042381256354792285,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c1,fixed_2rc_dual,15.0,0.6,1.0,False,25.0,32.39239608282106,33.46359671360011,0.11816298824472128,0.1910847520783605,True,True,true_feasible,True,True,true_feasible
t15_soc0.60_c1,fixed_2rc_dual,15.0,0.6,1.0,False,300.0,32.35712296174014,33.46359671360011,0.8542397240637442,1.2257832665386346,True,True,true_feasible,True,True,true_feasible
