mode_group,sample_count,neighbor_count,feature_set,features,auditable,feature_count,effective_variable_feature_count,mean_conditional_variance_a2,median_conditional_variance_a2,p95_conditional_variance_a2,mean_local_standard_deviation_a,p95_local_standard_deviation_a,nearest_neighbor_label_difference_mean_a,nearest_neighbor_label_difference_p95_a,knn_leave_one_out_rmse_a,knn_leave_one_out_nrmse_percent_of_10a,mean_neighbor_distance,locally_sufficient
all,1776,5,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.2271786566756651,0.036798075999081206,1.3998988611617473,0.3268244207796751,1.1831724040485678,0.22604664405002753,1.0207779267706103,0.3434245075647701,3.434245075647701,0.5271275591081097,False
all,1776,5,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.1377577209512503,0.03075298453881705,0.6700282406307185,0.27085284383723435,0.8185524506007744,0.21553658821404137,0.8099173553718888,0.3016855488158304,3.0168554881583036,0.7178749798930656,False
all,1776,5,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.11335061232919243,0.02708761521527958,0.5723146422844028,0.2445247056896715,0.7565036700006238,0.1890459473557839,0.561323742372565,0.2973694591135138,2.9736945911351382,0.7937318526488345,False
all,1776,10,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.27173838525058575,0.06622856810023081,1.4524684535670285,0.40263987232279713,1.205183986490953,0.22604664405002753,1.0207779267706103,0.3521319695504597,3.521319695504597,0.66105423516648,False
all,1776,10,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.17122352688718806,0.052836341343468964,0.7307573928081436,0.3320784009468592,0.8548433852618865,0.21553658821404137,0.8099173553718888,0.30752019919192436,3.0752019919192435,0.8861740576920557,False
all,1776,10,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.14280883203658318,0.04355400731286433,0.7286397009838949,0.29818076594382936,0.8536038894040496,0.1890459473557839,0.561323742372565,0.2993695862050108,2.993695862050108,0.9839780127549568,False
all,1776,25,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.3592296749304412,0.12483734422587953,1.53346962778102,0.5026104988270095,1.2383329618844727,0.22604664405002753,1.0207779267706103,0.409254777368937,4.09254777368937,0.8658798499907927,False
all,1776,25,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.2434591470526989,0.09177071307990545,0.9556226457851866,0.420473887171042,0.9775544100856288,0.21553658821404137,0.8099173553718888,0.34102320726040536,3.4102320726040536,1.1472100021644172,False
all,1776,25,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.19577322061501862,0.07169587985608106,0.9223197638585438,0.36993594111885547,0.9603746103247354,0.1890459473557839,0.561323742372565,0.3257641815155292,3.257641815155292,1.2777777357604563,False
all,1776,50,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",True,5.0,5.0,0.44726530648744756,0.17591103917357992,1.7529064476401788,0.5794150622573254,1.3239728131137922,0.22604664405002753,1.0207779267706103,0.4810657660178023,4.810657660178023,1.0401623049409914,False
all,1776,50,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",True,10.0,10.0,0.3190939571783737,0.12859864229843698,1.1806200989379942,0.4923508099271734,1.086563393415855,0.21553658821404137,0.8099173553718888,0.3891685973295057,3.891685973295057,1.3840611995128396,False
all,1776,50,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",True,18.0,18.0,0.23869597011803537,0.09955783528989968,0.9923477336362596,0.4224746067745459,0.9961663724850977,0.1890459473557839,0.561323742372565,0.37227776121667433,3.7227776121667433,1.5481483112894476,False
interior,0,5,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
interior,0,5,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
interior,0,5,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
interior,0,10,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
interior,0,10,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
interior,0,10,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
interior,0,25,five_state,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a",False,,,,,,,,,,,,,
interior,0,25,five_state_plus_summary,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_first_a,previous_plan_mean_a,previous_plan_last_a,previous_plan_range_a,previous_plan_available",False,,,,,,,,,,,,,
interior,0,25,five_state_plus_full_previous_sequence,"state_soc,state_polarization_fast_v,state_polarization_slow_v,state_average_temperature_c,state_previous_current_a,previous_plan_block_00_a,previous_plan_block_01_a,previous_plan_block_02_a,previous_plan_block_03_a,previous_plan_block_04_a,previous_plan_block_05_a,previous_plan_block_06_a,previous_plan_block_07_a,previous_plan_block_08_a,previous_plan_block_09_a,previous_plan_block_10_a,previous_plan_block_11_a,previous_plan_available",False,,,,,,,,,,,,,
