state_id,successful_feasible_count,feasible_count,fallback_count,optimizer_success_count,first_action_range_a,near_optimal_first_action_range_a,objective_range,near_optimal_solution_count,active_mode_count,status_count,near_optimal_multivalued,warm_start_sensitive
state_000,15,15,0,15,0.06018069441200247,0.06018069441200247,1.294343535906961e-05,15,1,1,True,True
state_001,15,15,0,15,0.05034228110267325,0.05034228110267325,4.868785857592428e-05,15,1,1,True,True
state_002,15,15,0,15,0.03537462744494846,0.03537462744494846,3.5429280664800444e-06,15,1,1,False,False
state_003,15,15,0,15,0.04615300450775006,0.04615300450775006,4.550620004373229e-06,15,1,1,False,False
state_004,15,15,0,15,0.11082465416513898,0.11082465416513898,1.2463589872169223e-05,15,1,1,True,True
state_005,15,15,0,15,0.05262078920261093,0.05262078920261093,2.5681139144140275e-06,15,1,1,True,True
state_006,15,15,0,15,0.04170769440644406,0.04170769440644406,2.194794572751846e-06,15,1,1,False,False
state_007,15,15,0,15,0.06557759968761001,0.06557759968761001,1.3293832870076017e-05,15,1,1,True,True
state_008,15,15,0,15,0.12068411520317301,0.12068411520317301,4.20351860332957e-05,15,1,1,True,True
state_009,15,15,0,15,0.03663381997832893,0.03663381997832893,5.800434283109723e-06,15,1,1,False,False
state_010,15,15,0,15,0.07476467689358124,0.07476467689358124,7.578637164940005e-06,15,1,1,True,True
state_011,15,15,0,15,0.04395333513577082,0.04395333513577082,5.2947905979650045e-06,15,1,1,False,False
state_012,15,15,0,15,0.026571467118698955,0.026571467118698955,2.3880100439299667e-06,15,1,1,False,False
state_013,15,15,0,15,0.04994534719764321,0.04994534719764321,2.499372106612441e-06,15,1,1,False,False
state_014,15,15,0,15,0.035972885921244036,0.035972885921244036,3.5619033464939776e-06,15,1,1,False,False
state_015,15,15,0,15,0.028925473649909605,0.028925473649909605,4.047834222475899e-06,15,1,1,False,False
state_016,15,15,0,15,0.1516434720778541,0.1516434720778541,5.530202385184424e-05,15,1,1,True,True
state_017,15,15,0,15,0.14016776829669286,0.14016776829669286,4.691092731157198e-05,15,1,1,True,True
state_018,15,15,0,15,0.2755443648444924,0.2755443648444924,0.00011941601128206969,15,1,1,True,True
state_019,15,15,0,15,0.2317557997648816,0.2317557997648816,5.793956158850477e-05,15,1,1,True,True
state_020,15,15,0,15,0.0510907657041022,0.0510907657041022,4.710309156052972e-06,15,1,1,True,True
state_021,15,15,0,15,0.05305391118802394,0.05305391118802394,7.114438925981403e-06,15,1,1,True,True
state_022,15,15,0,15,0.22159898737880646,0.22159898737880646,6.664078676976715e-05,15,1,1,True,True
state_023,15,15,0,15,0.053003436189417386,0.053003436189417386,5.552711042078329e-06,15,1,1,True,True
state_024,15,15,0,15,0.08697458976431083,0.08697458976431083,8.561912633986424e-06,15,1,1,True,True
state_025,15,15,0,15,0.04335527057062283,0.04335527057062283,1.3668348086248727e-05,15,1,1,False,False
state_026,15,15,0,15,0.025958213531047214,0.025958213531047214,1.0556595615440756e-06,15,1,1,False,False
state_027,15,15,0,15,0.1222822258126337,0.1222822258126337,1.3560137730905808e-05,15,1,1,True,True
state_028,15,15,0,15,0.0821186629124,0.0821186629124,1.8133685965704416e-05,15,1,1,True,True
