run_key,architecture,hidden_layer_sizes,optimizer,seed,parameter_count,fit_time_s,optimization_iterations,warning_count,warnings,train_mae_a,train_rmse_a,train_nrmse,train_maximum_absolute_error_a,train_bias_a,train_r2,train_abs_bias_a,train_low_current_sample_count,train_low_current_bias_a,train_low_current_abs_bias_a,validation_mae_a,validation_rmse_a,validation_nrmse,validation_maximum_absolute_error_a,validation_bias_a,validation_r2,validation_abs_bias_a,validation_low_current_sample_count,validation_low_current_bias_a,validation_low_current_abs_bias_a,test_mae_a,test_rmse_a,test_nrmse,test_maximum_absolute_error_a,test_bias_a,test_r2,test_abs_bias_a,test_low_current_sample_count,test_low_current_bias_a,test_low_current_abs_bias_a,terminal_test_mae_a,terminal_test_rmse_a,terminal_test_nrmse,terminal_test_maximum_absolute_error_a,terminal_test_bias_a,terminal_test_r2,terminal_test_abs_bias_a,terminal_test_low_current_sample_count,terminal_test_low_current_bias_a,terminal_test_low_current_abs_bias_a
deep_32_32_16__adam__seed-101,deep_32_32_16,32-32-16,adam,101,1697,45.64831419999973,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.01658265147420882,0.028677384307130953,0.0028677384307130953,0.2399483819783752,0.003983020804151488,0.9999382335477611,0.003983020804151488,282,0.018942837599557345,0.018942837599557345,0.016179939097174325,0.02902173432867596,0.002902173432867596,0.21881938697663195,0.004922165479787099,0.9999363471767547,0.004922165479787099,22,0.027032899296807533,0.027032899296807533,0.00883799489827254,0.02127677661917438,0.002127677661917438,0.13482405383993168,-0.0012378477250244435,0.9997103955983966,0.0012378477250244435,0,,,0.021845498338543854,0.033870772086317606,0.003387077208631761,0.14300682070216908,0.004063418972569558,0.9995911335375471,0.004063418972569558,4,0.011713707587653985,0.011713707587653985
deep_32_32_16__adam__seed-137,deep_32_32_16,32-32-16,adam,137,1697,43.53535330000159,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.01870906039823218,0.028562579776342925,0.0028562579776342926,0.34162768154391365,-0.008103197807796648,0.9999387270986798,0.008103197807796648,282,-0.00705749226308352,0.00705749226308352,0.01812863485262353,0.027935716962908662,0.002793571696290866,0.264990951331483,-0.0052368008330081275,0.9999410219253949,0.0052368008330081275,22,-0.004523588810633176,0.004523588810633176,0.019187220971304698,0.029124742313686548,0.0029124742313686547,0.1570132628623,-0.013286138651335485,0.9994573526664494,0.013286138651335485,0,,,0.020549672195660302,0.030698295485239516,0.0030698295485239516,0.13496140101149834,-0.004337781458135233,0.9996641388120311,0.004337781458135233,4,-0.009946925499895301,0.009946925499895301
deep_32_32_16__adam__seed-22,deep_32_32_16,32-32-16,adam,22,1697,39.922231899996405,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.01710133875176596,0.02718090899833638,0.002718090899833638,0.34158260434011734,-0.00330803211742096,0.9999445116849538,0.00330803211742096,282,-0.01234761151318042,0.01234761151318042,0.01820804144101863,0.029281839139127925,0.0029281839139127927,0.28379608586365546,0.00039756891571859676,0.999935201097887,0.00039756891571859676,22,-0.012132170841683198,0.012132170841683198,0.012228907763614806,0.025808183743636907,0.0025808183743636906,0.1302169051263391,0.0037070806669686576,0.9995739031002433,0.0037070806669686576,0,,,0.022867618534775296,0.03098362255906816,0.003098362255906816,0.12541129211899005,-0.0022567845944776103,0.9996578664351108,0.0022567845944776103,4,-0.013920623994681317,0.013920623994681317
deep_32_32_16__adam__seed-42,deep_32_32_16,32-32-16,adam,42,1697,38.809918999999354,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.01827721149493361,0.02832261507508898,0.0028322615075088977,0.3102904955228576,3.932580751328182e-05,0.9999397523260597,3.932580751328182e-05,282,0.020617128045574126,0.020617128045574126,0.017408336105073544,0.02814439264181588,0.002814439264181588,0.256185411060013,0.0018233238170854542,0.999940137519486,0.0018233238170854542,22,0.018997018830628806,0.018997018830628806,0.014158169800732666,0.026367785157832172,0.002636778515783217,0.15240688339328123,-0.007393524335171773,0.9995552245650003,0.007393524335171773,0,,,0.021431728312183044,0.031101324999933722,0.003110132499993372,0.13989977422976008,0.0015916472390208002,0.9996552620627155,0.0015916472390208002,4,0.01930535691299605,0.01930535691299605
deep_32_32_16__adam__seed-73,deep_32_32_16,32-32-16,adam,73,1697,39.85061229999701,2500,1,"[""Stochastic Optimizer: Maximum iterations (2500) reached and the optimization hasn't converged yet.""]",0.021973453887572738,0.030867182554885905,0.0030867182554885904,0.3128784345904725,0.008428153473420368,0.9999284404558939,0.008428153473420368,282,0.027470468363238725,0.027470468363238725,0.02117009612885419,0.03053766179626765,0.003053766179626765,0.2787556138099543,0.009739118876156836,0.9999295237952395,0.009739118876156836,22,0.02629865758603148,0.02629865758603148,0.013909384388856968,0.026814133462713777,0.0026814133462713776,0.154126023141135,-0.005336141420440085,0.9995400389851037,0.005336141420440085,0,,,0.02711858393435722,0.03426358665155149,0.0034263586651551493,0.1282792839975313,0.013950829315171782,0.9995815949284526,0.013950829315171782,4,0.025157512848874006,0.025157512848874006
deep_32_32_16__lbfgs__seed-101,deep_32_32_16,32-32-16,lbfgs,101,1697,9.776731300000392,702,0,[],0.010861426833903608,0.017866995574930187,0.0017866995574930186,0.365613947445814,-0.0007943049386986577,0.9999760240047518,0.0007943049386986577,282,0.008899026982760835,0.008899026982760835,0.012003298374656362,0.019523953244276814,0.0019523953244276813,0.24039370263307624,-0.0002449607850254718,0.9999711924406971,0.0002449607850254718,22,0.011171301266499383,0.011171301266499383,0.008418561920339903,0.01583626625732053,0.001583626625732053,0.09123937672601734,-0.001203314838390439,0.9998395650141896,0.001203314838390439,0,,,0.014087954926561471,0.01931361633370162,0.001931361633370162,0.09006720522304335,-0.001072178331563196,0.9998670591364862,0.001072178331563196,4,0.004379267732090283,0.004379267732090283
deep_32_32_16__lbfgs__seed-137,deep_32_32_16,32-32-16,lbfgs,137,1697,9.19453419999627,688,0,[],0.015048775463106972,0.024343509156958237,0.002434350915695824,0.24361197441974625,-0.0006831958017968426,0.9999554918083412,0.0006831958017968426,282,0.009611530735790049,0.009611530735790049,0.01616419885673668,0.025581620145703438,0.0025581620145703437,0.1751560547002633,0.00011553717165323912,0.999950543083188,0.00011553717165323912,22,0.015562616332154638,0.015562616332154638,0.011227704100285297,0.023716465141059195,0.0023716465141059196,0.12382655199196435,0.0017824435877713356,0.9996401732808551,0.0017824435877713356,0,,,0.0203413780419795,0.028203235738431007,0.0028203235738431007,0.12122417598429713,-0.0001967167497825105,0.9997165155962356,0.0001967167497825105,4,0.0013547291556511437,0.0013547291556511437
deep_32_32_16__lbfgs__seed-22,deep_32_32_16,32-32-16,lbfgs,22,1697,7.556167700000515,572,0,[],0.007512534017540366,0.014479975829037312,0.0014479975829037313,0.15775744736783448,-0.0008096058384352118,0.9999842525855382,0.0008096058384352118,282,-0.002382751085482476,0.002382751085482476,0.008784710347704998,0.01667285832164709,0.001667285832164709,0.11929489358152878,-0.0014277779896620369,0.9999789916924702,0.0014277779896620369,22,-0.0024602654079364863,0.0024602654079364863,0.008790916485777591,0.017361104342836556,0.0017361104342836556,0.09952614712964625,-0.0035626699699490404,0.9998071817287687,0.0035626699699490404,0,,,0.009478558881397535,0.015503975617564541,0.001550397561756454,0.07934676947468411,0.00011694684827506345,0.9999143322325509,0.00011694684827506345,4,-0.00119170949972415,0.00119170949972415
deep_32_32_16__lbfgs__seed-42,deep_32_32_16,32-32-16,lbfgs,42,1697,9.859460000006948,751,0,[],0.012698685321527087,0.023310188873938556,0.0023310188873938557,0.2496426127670972,-0.001625068030247658,0.9999591901339681,0.001625068030247658,282,-0.005852075350870789,0.005852075350870789,0.015170340249056316,0.027293930176203882,0.0027293930176203883,0.22449545820055583,0.0041877716025107,0.9999437006865138,0.0041877716025107,22,-0.008478710145281537,0.008478710145281537,0.020073583424208966,0.03665951827342571,0.003665951827342571,0.15171663600239071,0.0023513097622181087,0.9991402602677668,0.0023513097622181087,0,,,0.012970240830742484,0.01935653193114806,0.0019356531931148061,0.08384096800191543,0.0004967849151825115,0.9998664676806851,0.0004967849151825115,4,-0.001530696645825405,0.001530696645825405
deep_32_32_16__lbfgs__seed-73,deep_32_32_16,32-32-16,lbfgs,73,1697,10.997940900000685,791,0,[],0.01728911520575483,0.028091427299554116,0.002809142729955412,0.21762843434296286,-0.0018931583111364335,0.9999407318739438,0.0018931583111364335,282,0.010897258445950967,0.010897258445950967,0.020517729633809382,0.033409252559557255,0.0033409252559557256,0.23679278258681613,0.0015346485827257815,0.9999156462360719,0.0015346485827257815,22,0.015627121999988128,0.015627121999988128,0.02012048301780565,0.03715583487080711,0.0037155834870807114,0.1457679894386601,0.0017354108530411676,0.9991168234312416,0.0017354108530411676,0,,,0.020341438371542994,0.028356407360500338,0.002835640736050034,0.11470013797716394,-0.0011994927587921248,0.9997134280301103,0.0011994927587921248,4,0.0028356813070019443,0.0028356813070019443
